硬件名称（字符型）,应用领域（字符型）,应用场景（字符型）,使用技术（字符型）,应用行业（字符型）,采集来源,来源链接,采集时间,备注
多模跳频通信终端,智能城市,城市监控与数据集成,多模OFDM跳频,城市管理,智能城市研究网络,https://www.smartcityresearch.com/,,
高频跳频构建设备,能源监控,可再生能源数据传输,OFDM、跳频通信,能源,国际能源署,https://www.iea.org/,,
下一代卫星OFDM系统,国防通信,战场数据链接,OFDM跳频、相位调制,国防,国防科技新闻,https://www.defense.gov/,,
车载高效跳频接收器,智能交通系统,快速路信号传输,车载OFDM、动态频率跳频,交通工程,中国智能交通协会,http://www.cita.com.cn/,,
海洋监测跳频设备,海洋科学,海洋数据实时传送,OFDM与跳频技术,科学研究,海洋科技论坛,http://www.oceanforum.org/,,
快速移动跳频基站,赛事直播,大型活动视频传输,增强型OFDM、频率跳变,媒体与娱乐,赛事直播技术网,https://www.livetech.com/,,
智能手持跳频装置,紧急响应,灾害救援通信,OFDM跳频、加密技术,公共安全,应急管理局,https://www.fema.gov/,,
低时延跳频麦克风,音频传输,实时音乐会直播,高效OFDM跳频,音乐与艺术,音乐科技在线,https://www.musitech.com/,,
量子跳频通信机,量子计算,量子数据传输,量子OFDM与跳频,高科技,量子科技研究所,https://www.quantumtech.org/,,
移动卫星OFDM跳频收发机,人道救援,受灾地区通信支持,OFDM跳频技术,非营利组织,红十字国际委员会,https://www.icrc.org/,,
便携式5G跳频装置,临时活动,短期展会信号传送,5G OFDM跳频,展览与会议,展览服务网,https://www.exhibitions.com/,,
汽车碰撞避免跳频系统,汽车安全,实时安全警报,OFDM跳频技术,汽车制造,汽车工程协会,http://www.automotive.org/,,
农业传感器跳频网络,精准农业,土壤与作物监测,OFDM与跳频技术,农业,全球农业科技网,https://www.agritech.org/,,
中继跳频转发器,无线网络,网络信号增强,OFDM跳频技术,信息技术,无线技术研究所,https://www.wirelesstechnology.org/,,
高速桥梁跳频设备,交通监控,桥梁状态实时传输,OFDM跳频技术,土木工程,国际桥梁与结构工程协会,https://www.ice.org.uk/,,
无缝跳频数据中心,数据存储,大数据实时分析,OFDM跳频、数据传输管理,信息科技,数据存储与管理联盟,https://www.datastorage.org/,,
移动式跳频基站,突发事件,紧急情况下的快速响应,OFDM跳频,公共服务,应急响应无障碍网络,https://www.emergencyresponse.org/,,
多频段跳频通信设备,智能农业,智能灌溉系统,多频段同步跳频技术,农业,农业科技杂志,https://www.agritechjournal.com/,,
高速卫星跳频收发器,广播电视,卫星直播传输,跳频卫星链路,传媒,全球广播网,https://www.worldbroadcasting.net/,,
车载智能跳频系统,公路交通管理,实时交通信息传递,OFDM、V2X通信,交通,交通运输部,http://www.mot.gov.cn/,,
