可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
高,1.5 Gbps,20 ms,6 ms,2,90 ms,2%,网络规划与管理,https://www.networkplanning.org,,
中,750 Mbps,35 ms,8 ms,4,150 ms,4%,通信行业观察,https://www.ticwatch.com,,
低,30 Mbps,100 ms,30 ms,6,350 ms,15%,信息科技月刊,https://www.itmonthly.com,,
高,3 Gbps,7 ms,1 ms,1,50 ms,1%,全球数据网络,https://www.worlddatenetwork.com,,
中,500 Mbps,30 ms,10 ms,3,120 ms,5%,电信网信研究,https://www.tcresearch.com,,
低,45 Mbps,85 ms,28 ms,5,320 ms,12%,电子工程专辑,https://www.electronicengineer.com,,
高,1.2 Gbps,15 ms,4 ms,1,80 ms,3%,科技日报,http://www.stdaily.com,,
高,5 Gbps,6 ms,1 ms,0,30 ms,0%,网络与通信研究,https://www.networkandcommunication.com,,
中,300 Mbps,40 ms,15 ms,2,200 ms,6%,互联网技术论坛,https://www.itforum.com,,
低,20 Mbps,95 ms,24 ms,8,400 ms,18%,新技术时评,http://www.newtechreview.com,,
高,1.8 Gbps,10 ms,2 ms,0,55 ms,1%,科技前沿,https://www.techfrontier.com,,
中,850 Mbps,27 ms,7 ms,3,160 ms,5%,通信行业趋势,https://www.comindustrytrends.com,,
低,35 Mbps,101 ms,31 ms,7,350 ms,14%,光通信前沿,http://www.opticalfrontiers.com,,
高,2.8 Gbps,9 ms,3 ms,1,70 ms,1%,网络架构研究中心,https://www.nrc.com,,
中,600 Mbps,30 ms,10 ms,4,140 ms,8%,智能通信技术,https://www.smartcomtech.com,,
低,55 Mbps,83 ms,26 ms,6,300 ms,10%,数据连接,http://www.dataconnect.com,,
高,1.3 Gbps,12 ms,4 ms,0,65 ms,2%,技术评论,http://www.techreview.com,,
高,2.2 Gbps,8 ms,2 ms,2,40 ms,1%,网络经济,http://www.networkeconomy.com,,
高,1.5 Gbps,14 ms,5 ms,1,90 ms,2%,中国移动通信集团有限公司,http://www.chinamobileltd.com,,
中,400 Mbps,35 ms,15 ms,4,150 ms,5%,网络工程师周刊,https://www.networkengineeringweekly.com,,
低,75 Mbps,100 ms,30 ms,9,320 ms,25%,网络技术论坛,https://www.networkforum.com,,
高,3.2 Gbps,8 ms,2 ms,0,70 ms,1%,国家无线电监测中心,http://www.radio.gov.cn,,
中,500 Mbps,25 ms,10 ms,2,140 ms,3%,Telecom Review,https://www.telecomreview.com,,
高,1 Gbps,20 ms,4 ms,1,80 ms,1.5%,中国科学院,http://www.cas.cn,,
低,30 Mbps,95 ms,20 ms,6,400 ms,15%,虚拟网络技术杂志,http://www.virtualnetworktech.com,,
高,2.5 Gbps,9 ms,3 ms,0,60 ms,0.5%,数字通信技术研究会,http://www.digitalcomms.org,,
高,1.8 Gbps,16 ms,7 ms,0,110 ms,2.5%,光纤通信网络年会,http://www.ofcconference.org,,
中,300 Mbps,45 ms,11 ms,3,160 ms,7%,CNET科技新闻网,https://www.cnet.com,,
低,40 Mbps,120 ms,35 ms,8,450 ms,30%,国际通信联盟,https://www.itu.int,,
高,1 Gbps,18 ms,5 ms,1,85 ms,2%,MIT技术评论,https://www.technologyreview.com,,
低,65 Mbps,80 ms,20 ms,10,370 ms,18%,科技日报,http://www.stdaily.com,,
高,4 Gbps,7 ms,2 ms,0,50 ms,0.8%,华为官网,http://www.huawei.com,,
中,600 Mbps,35 ms,10 ms,3,200 ms,4%,科技前沿,http://www.techfrontiers.com,,
高,2 Gbps,11 ms,4 ms,0,75 ms,1%,全球通信协会,http://www.gcf.org,,
低,20 Mbps,110 ms,30 ms,12,500 ms,35%,国际数据公司,https://www.idc.com,,
高,1.2 Gbps,15 ms,5 ms,0,90 ms,2%,网络与信息安全研究院,https://www.nisri.edu.cn,,
中,300 Mbps,35 ms,10 ms,2,150 ms,5%,全球网络通讯论坛,https://www.globalnetforum.com,,
