设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位.1,施加推力,单位.2,数据类型,采集来源,来源链接,采集时间,备注
服务机器人,室内配送机器人,1.0,mm,4,±0.7,mm,15,N,字符型,中国智能科技产业协会,https://www.cistea.org,,
特种机器人,工业巡检无人机,2.0,mm,6,±0.6,mm,80,N,字符型,中国民用航空局,https://www.caac.gov.cn,,
并联机械手,动态万向机器人,0.5,mm,3,±0.15,mm,60,N,字符型,江苏省机器人技术研究院,https://www.jiangsurba.org,,
服务机器人,智能养老机器人,2.0,mm,5,±1.0,mm,25,N,字符型,全国老龄工作委员会,http://www.cnag.gov.cn,,
六轴机械手,MOTOMAN-MH20,0.1,mm,6,±0.02,mm,50,N,字符型,日本机器人工业联合会,https://www.jara.jp,,
特种机器人,搜救机器人,3.0,mm,4,±2.0,mm,90,N,字符型,国际灾害救援组织,https://www.idr.org,,
服务机器人,餐饮服务机器人,1.2,mm,4,±0.8,mm,10,N,字符型,中国餐饮服务协会,https://www.cateringsociety.org,,
六轴机械手,ABB IRB 6700,0.05,mm,6,±0.03,mm,40,N,字符型,瑞士电气与机械工程协会,https://www.ch.ch,,
服务机器人,智能快递机器人,1.5,mm,4,±0.9,mm,35,N,字符型,中国快递协会,https://www.couriers.org,,
协作机器人,Kawasaki RS007N,0.3,mm,6,±0.05,mm,25,N,字符型,日本自动化协会,https://www.jaa.or.jp,,
特种机器人,火灾监测机器人,2.2,mm,3,±1.0,mm,85,N,字符型,国家消防安全协会,https://www.nfsa.gov.cn,,
并联机械手,高精度装配机器人,0.15,mm,3,±0.02,mm,70,N,字符型,中国制造业工会,https://www.ccm.org.cn,,
服务机器人,机器人粉尘清洁器,0.7,mm,4,±0.4,mm,5,N,字符型,全球清洁设备协会,https://www.giac.org,,
六轴机械手,Siemens Simatic Robot,0.06,mm,6,±0.04,mm,90,N,字符型,德国工业协会,https://www.bdi.eu,,
服务机器人,幼儿教育机器人,1.8,mm,2,±1.2,mm,12,N,字符型,中国教育部门,https://www.moe.gov.cn,,
特种机器人,农业监测机器人,2.8,mm,5,±1.8,mm,60,N,字符型,农业部科技推广中心,https://www.moa.gov.cn,,
协作机器人,RoboDK Cobot,0.25,mm,6,±0.1,mm,20,N,字符型,国际机器人技术中心,https://www.robotics.org,,
六轴机械手,Universal Robots UR10,0.07,mm,6,±0.03,mm,45,N,字符型,国际工业机器人联合会,https://www.ifr.org,,
服务机器人,智能家居清洁机器人,0.75,mm,5,±0.3,mm,25,N,字符型,中国机器人产业联盟,https://www.roboticsofficial.org,,
并联机械手,高精度Robotic Arm,0.15,mm,6,±0.02,mm,50,N,字符型,国际自动化协会,https://www.automate.org,,
特种机器人,海洋探测机器人,2.0,mm,4,±1.0,mm,80,N,字符型,国家海洋局,https://www.sea.gov.cn,,
六轴机械手,ABB IRB 6700,0.05,mm,6,±0.03,mm,90,N,字符型,ABB官方技术文档,https://global.abb,,
服务机器人,配送无人机,1.0,mm,3,±0.7,mm,40,N,字符型,中国无人机协会,https://www.cuav.org,,
特种机器人,核辐射监测机器人,1.2,mm,5,±0.5,mm,60,N,字符型,中国电力科学研究院,https://www.cpri.cn,,
六轴机械手,KUKA LBR iiwa,0.07,mm,7,±0.02,mm,30,N,字符型,德国KUKA公司,https://www.kuka.com,,
协作机器人,Adept Cobra,0.5,mm,6,±0.1,mm,20,N,字符型,国际智能机器人研究中心,https://www.isrc.org,,
服务机器人,智能助老机器人,1.5,mm,4,±0.9,mm,22,N,字符型,中国老龄化研究所,https://www.chinaaga.com,,
特种机器人,矿山作业机器人,2.0,mm,4,±1.3,mm,72,N,字符型,国家矿业局,https://www.mining.gov.cn,,
并联机械手,FANUC M-3iA,0.25,mm,6,±0.05,mm,65,N,字符型,FANUC官方科技发布,https://www.fanuc.com,,
六轴机械手,Motoman GP8,0.1,mm,6,±0.04,mm,37,N,字符型,日本YASKAWA电机有限公司,https://www.yaskawa.co.jp,,
服务机器人,智能健康监测机器人,0.3,mm,5,±0.2,mm,19,N,字符型,健康医疗机器人开发协会,https://www.hmrda.org,,
特种机器人,战场侦查机器人,1.1,mm,4,±0.6,mm,55,N,字符型,国防科技大学,https://www.nudt.edu.cn,,
服务机器人,快递投递机器人,0.9,mm,3,±0.4,mm,28,N,字符型,城市交通与物流研究中心,https://www.ctlrc.org,,
并联机械手,URI Robot Delta,0.06,mm,3,±0.01,mm,48,N,字符型,瑞士罗博特斯,https://www.robotics.ch,,
特种机器人,医疗救援机器人,1.8,mm,4,±1.2,mm,45,N,字符型,世界卫生组织,https://www.who.int,,
六轴机械手,KUKA KR 16,0.2,mm,6,±0.08,mm,38,N,字符型,欧洲KUKA研发中心,https://www.kuka.com,,
服务机器人,家庭护理机器人,0.5,mm,6,±0.2,mm,20,N,字符型,中国卫生机器人协会,https://www.china-healthrobot.org,,
特种机器人,海洋探测无人艇,3.0,mm,5,±2.0,mm,100,N,字符型,中国海洋研究所,https://www.cmar.sh,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.05,mm,55,N,字符型,ABB工程技术公司,https://global.abb,,
协作机器人,AUBO-i5,0.5,mm,7,±0.15,mm,15,N,字符型,中国智能机器人研究中心,https://www.ciarc.org,,
SCARA机器人,安川SG-400,0.2,mm,4,±0.1,mm,25,N,字符型,日本机器人产业协会,https://jari.org,,
服务机器人,老人陪伴机器人,1.0,mm,5,±0.6,mm,10,N,字符型,国际养老服务协会,https://www.agingservices.org,,
特种机器人,核辐射探测机器人,1.8,mm,4,±1.0,mm,90,N,字符型,国家核安全局,https://www.nrc.gov,,
六轴机械手,Fanuc M-1iA,0.03,mm,6,±0.02,mm,40,N,字符型,日本FANUC公司,https://www.fanuc.co.jp,,
服务机器人,教育机器人,0.6,mm,6,±0.3,mm,15,N,字符型,中国教育技术协会,https://www.ceta.org.cn,,
特种机器人,地震救援机器人,2.2,mm,3,±1.0,mm,65,N,字符型,国家应急管理局,https://www.mem.gov.cn,,
六轴机械手,KUKA LBR iiwa,0.05,mm,7,±0.02,mm,30,N,字符型,KUKA自动化公司,https://www.kuka.com,,
服务机器人,商用配送机器人,1.0,mm,4,±0.5,mm,30,N,字符型,全国物流办公室,https://www.nationallogistics.gov,,
协作机器人,MiR 100,0.4,mm,6,±0.1,mm,50,N,字符型,北欧机器人科技公司,https://www.mirrobotics.com,,
六轴机械手,Yaskawa Motoman GP系列,0.1,mm,6,±0.05,mm,60,N,字符型,安川电机株式会社,https://www.yaskawa.com,,
特种机器人,矿山作业机器人,2.0,mm,4,±1.2,mm,80,N,字符型,国际矿业协会,https://www.imi.org,,
服务机器人,酒店服务机器人,0.7,mm,5,±0.3,mm,25,N,字符型,全国酒店行业协会,https://www.nahoa.org,,
六轴机械手,KUKA KR QUANTEC,0.08,mm,6,±0.03,mm,75,N,字符型,中国机械工程协会,https://www.cmse.org.cn,,
