机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
农业机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.7,m/s,字符型,中国农业科学院,http://www.caas.cn,,
安防机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,中国公安部,http://www.mps.gov.cn,,
养老护理机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.3,m/s,字符型,中国老龄化研究中心,http://www.ccrc.org.cn,,
仓储机器人,1.9,m/s,0.8,m/s,2.5,m/s,1.2,m/s,字符型,中国电子商务研究中心,http://www.cbresearch.com,,
配送机器人,1.8,m/s,0.5,m/s,2.1,m/s,0.9,m/s,字符型,中国电商协会,http://www.ecommerce.org.cn,,
教育机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
特殊环境机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.4,m/s,字符型,国家自然灾害防治中心,http://www.ndrc.gov.cn,,
救援机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.5,m/s,字符型,中国应急管理部,http://www.mem.gov.cn,,
售货机器人,1.6,m/s,0.3,m/s,2.0,m/s,0.8,m/s,字符型,中国零售行业协会,http://www.cria.org.cn,,
运输机器人,2.4,m/s,1.1,m/s,3.0,m/s,1.5,m/s,字符型,国家物流与购置部门,http://www.national-logistics.gov.cn,,
巡检机器人,2.0,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,工业和信息化部,http://www.miit.gov.cn,,
海洋探测机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,国家海洋局,http://www.nmd.gov.cn,,
探索机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国探险协会,http://www.exploration.org.cn,,
语言翻译机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,全国翻译职业资格认证中心,http://www.natc.org.cn,,
室内导航机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,中国室内设计协会,http://www.cida.org.cn,,
视觉识别机器人,1.3,m/s,0.5,m/s,1.7,m/s,0.9,m/s,字符型,中国计算机学会,http://www.ccf.org.cn,,
智能助理机器人,1.4,m/s,0.4,m/s,1.9,m/s,0.7,m/s,字符型,中国智能科技协会,http://www.cita.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,食品农业部,https://www.moa.gov.cn,,
配送机器人,2.5,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,中国配送行业协会,https://www.cda.org.cn,,
教育机器人,0.7,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,教育部,http://www.moe.gov.cn,,
巡逻机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,公安部,https://www.mps.gov.cn,,
餐饮服务机器人,1.6,m/s,0.8,m/s,2.1,m/s,0.9,m/s,字符型,中国餐饮协会,http://www.cra.org.cn,,
