机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
清洁机器人,定制化移动底盘,智能路径规划、自动充电,家庭清洁、商用清洁,中国家用电器协会,http://www.cheaa.org,,
安防机器人,固定监控平台,实时监控、运动检测,公共安全、家庭安防,中国安防行业协会,http://www.caaonline.com,,
农业机器人,多功能拖拉机,精准施肥、自动驾驶,农业生产、智能种植,中国农业机械化协会,http://www.camda.org,,
医疗机器人,手术辅助臂,高精度、微创手术,外科手术、康复治疗,中国医疗器械行业协会,http://www.cmde.org.cn,,
陪伴机器人,友好互动界面,情感识别、语音互动,老年人陪伴、儿童玩具,中国智能机器人产业技术创新战略联盟,http://www.ciri.org.cn,,
建筑机器人,自动化砖砌设备,高效施工、自主定位,建筑施工、土木工程,中国建筑业协会,http://www.cahb.org.cn,,
幼儿教育机器人,儿童互动学习平台,趣味学习、语言学习,幼儿园、早期教育,科技部教育科技司,http://www.most.gov.cn,,
矿山机器人,低重心稳定底盘,强负载、自动导航,矿山开采、资源管理,中国煤炭工业协会,http://www.coal.gov.cn,,
无人驾驶汽车,集成传感器系统,高速自动驾驶、实时路况分析,公共交通、个性化出行,中国智能网联汽车产业发展联盟,http://www.cae.org.cn,,
物流配送机器人,自主导航平台,货物自动分类、高效路径规划,电商配送、仓储管理,中国供应链与物流政策研究中心,http://www.csclm.org,,
救援飞行器,垂直起降无人机,高空侦察、环境光学分辨,灾后救援、事故现场监测,中国应急管理部,http://www.mem.gov.cn,,
餐饮服务机器人,人形交互设计,主动服务、顾客识别,智能餐厅、快餐服务,中国餐饮行业协会,http://www.catercn.org,,
个人助理机器人,语音交互终端,日程管理、语音识别,家庭助理、办公室助手,中国人工智能产业发展联盟,http://www.caict.ac.cn,,
娱乐机器人,多功能音乐交互设备,音乐识别、情感交互,家庭娱乐、儿童玩具,中国玩具和婴童用品协会,http://www.ctjpa.org.cn,,
信息检索机器人,数据分析平台,大数据处理、智能查询,企业决策支持、学术研究,中国人工智能研究院,http://www.aiia.org.cn,,
救护机器人,高速移动平台,患者监测、急救反馈,医院急救、公共救援,国家卫生健康委员会,http://www.nhc.gov.cn,,
海洋探测机器人,水下移动系统,深海探测、高精度数据收集,海洋研究、资源探测,中国海洋研究所,http://www.cqu.edu.cn,,
体育训练机器人,智能运动监测系统,实时反馈、个性化训练计划,运动员训练、康复训练,中国体育科学学会,http://www.csss.org.cn,,
医疗机器人,手术机械臂,微创手术、远程操作,外科手术、癌症治疗,中国医药科技发展研究中心,http://www.nmpa.gov.cn,,
服务机器人,导航小车,自动导航、自主避障,酒店服务、客服,全国智能服务机器人产业联盟,http://www.csria.org.cn,,
农业机器人,自动播种机,精准播种、土壤分析,智能农业、精准农业,中国农业机械化协会,http://www.cama.org.cn,,
安防机器人,监控巡逻车,实时监控、数据分析,公共安全、企业安防,中国安防技术协会,http://www.cpsa.org.cn,,
教育机器人,学习助手,个性化辅导、在线互动,中小学教育、小组学习,全国教育信息化技术研究中心,http://www.goe.gov.cn,,
家用机器人,智能扫地机器人,自动清洁、语音控制,家庭清洁、家务辅助,中国家电协会,http://www.cec.org.cn,,
物流机器人,智能堆垛车,自动堆放、空间优化,仓储管理、配送中心,中国物流与采购联合会,http://www.clp.org.cn,,
无人机,固定翼无人机,长时间飞行、大范围测绘,地质勘探、环境监测,中国无人机产业联盟,http://www.caca.org.cn,,
互动机器人,带触控屏幕的圆形机身,多角色互动、亲和力高,家庭娱乐、儿童陪伴,全国机器人产业技术创新战略联盟,http://www.irobot.com.cn,,
工业机器人,多关节机械手臂,灵活性高、适用多种工艺,汽车制造、电子装配,中国机器人产业发展报告,http://www.cria.org.cn,,
卫生机器人,消毒车,高效消毒、人员避让,医院、公共场所,中国公共卫生协会,http://www.china-pharm.com,,
搜索与救援机器人,多功能移动机器人,抗摔、防水、远程操控,灾后救援、探测被困人员,中国应急管理学会,http://www.cemisc.com,,
健康监测机器人,智能手环,生理数据实时监测、警报,个人健康管理,国家卫健委,http://www.nhc.gov.cn,,
环境监测机器人,水下机器人,实际操作、深海环境适应,海洋科研、环境保护,中国海洋学会,http://www.coi.gov.cn,,
协作机器人,重量轻的柔性机器人臂,安全协助、灵活搬运,生产线、人机协作,中国机械工业标准化技术委员会,http://www.cmec.org.cn,,
娱乐机器人,角色扮演智能机器人,互动性强、故事讲述,主题公园、儿童教育,中国机器人旅游文化协会,http://www.robotpark.com,,
服务机器人,语音助手,自然语言处理、人性化交互,家庭协助、健康咨询,国家数字经济发展调研中心,http://www.cdedc.org,,
清洗机器人,全自动清洗设备,超高效、定时自动清扫,工厂、公共设施,中国清洗行业协会,http://www.cleansociety.cn,,
家庭清洁机器人,圆形底盘,自动充电、智能规划,家庭清扫、地面清洁,中国家用电器研究院,http://www.cheari.com,,
医疗辅助机器人,移动臂结构,药品输送、病患监测,医院、老年护理中心,中国医疗器械行业协会,http://www.cmda.org.cn,,
农业机器人,移动底盘,精准施肥、智能收割,农田作业、无人播种,中国农业科学院,https://www.caas.cn,,
娱乐机器人,模块化结构,互动游戏、情感陪伴,儿童教育、家庭娱乐,中国玩具和婴童用品协会,http://www.ctta.org.cn,,
救援机器人,履带式平台,全地形行走、智能感知,灾害救援、火灾现场,中国应急科技协会,https://www.cesta.org.cn,,
送餐机器人,移动服务平台,导航避障、客人点餐交互,餐饮业、酒店服务,中国酒店业协会,http://www.chinahotel.org,,
安防机器人,多功能移动平台,视频监控、即时警报,商业楼宇、公共场所,中国安防行业协会,http://www.caasa.org.cn,,
工业机器人,并联机器人,高速高精度、柔性作业,智能制造、自动化生产,中国机器人产业协会,http://www.robotic.org.cn,,
探测机器人,四轮驱动平台,环境采样、气体探测,环境监测、核辐射检测,中国环境保护部,http://www.mee.gov.cn,,
物流无人车,货物运输车,智能调度、自动驾驶,城市配送、快递行业,全国物流科技创新协会,http://www.logisticsinnovation.org,,
建设机器人,自动化施工平台,高效施工、材料搬运,建筑工地、基础设施建设,中国建筑业协会,http://www.chinabuilding.org,,
舞蹈机器人,可编程关节,优雅舞姿、音乐同步,广告表演、舞台演出,中国文艺机器人协调委员会,http://www.wr.org.cn,,
气候监测机器人,移动传感器平台,气象数据收集、实时监测,气象服务、环境保护,中国气象局,http://www.cma.gov.cn,,
美妆助手机器人,智能全息设备,个性化妆容、虚拟试妆,美容美发行业、电子商务平台,中国美容行业协会,http://www.china-beauty.org,,
扫雪机器人,履带式清雪平台,高效除雪、环境保护,城市防雪、机场除雪,国家气象中心,http://www.nmc.cn,,
金融服务机器人,交互式终端,智能咨询、交易指导,银行、投资机构,中国金融科技协会,http://www.cfta.org.cn,,
海洋探测机器人,潜水器结构,深海探测、数据收集,海洋研究、环境调查,中国海洋科学研究院,http://www.ioc.gov.cn,,
医疗机器人,手术机器人,高精度、微创手术,外科手术、康复治疗,中国医疗器械行业协会,http://www.camdi.org.cn,,
无人机,固定翼无人机,长航时、大范围覆盖,环境监测、勘探,无人机产业应用联盟,http://www.uavunion.org.cn,,
