机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
清洁机器人,办公楼,3.0,米,3.5,米,0.4,米,5,智能清洁研究机构,https://www.cleanrobot.org,,
安防机器人,居民小区,8.0,米,9.0,米,1.2,米,10,中国安防科技协会,https://www.security.org.cn,,
物流机器人,配送中心,4.5,米,5.0,米,0.5,米,9,国家物流工程研究中心,https://www.nlesrc.gov.cn,,
教育机器人,在线课堂,2.0,米,2.5,米,0.1,米,7,在线教育技术中心,https://www.edonline.org.cn,,
救援机器人,火灾现场,6.2,米,7.0,米,0.5,米,18,中国消防救援队,https://www.firesafety.cn,,
建筑机器人,施工现场,5.0,米,6.0,米,0.6,米,8,中国建筑科学研究院,https://www.cbri.gov.cn,,
移动机器人,展览中心,7.4,米,8.5,米,0.7,米,13,国际机器人展览会,https://www.robotexpo.org,,
医疗机器人,手术室,1.0,米,1.5,米,0.05,米,3,医学机器人协会,https://www.medrobotics.org,,
环境监测机器人,水体监测,3.5,米,4.0,米,0.3,米,6,中国环境监测总站,https://www.cnem.gov.cn,,
无人机,高空巡查,15.0,米,16.2,米,1.0,米,20,民用无人机安全管理局,https://www.casa.gov.cn,,
配送机器人,城市街道,4.0,米,4.5,米,0.4,米,11,城市社区服务中心,https://www.communityservice.org.cn,,
无人驾驶汽车,市区道路,9.5,米,10.5,米,0.7,米,14,科技部智能驾驶研究中心,https://www.autonomous.gov.cn,,
陪伴机器人,居家环境,2.5,米,3.0,米,0.25,米,6,家庭智能设备研究院,https://www.homeai.org.cn,,
农业机器人,田间地头,10.0,米,11.5,米,0.9,米,12,国家农业机器人研发中心,https://www.agrobotics.gov.cn,,
会议机器人,商务会议室,3.2,米,3.8,米,0.2,米,5,会议技术研究中心,https://www.conferencetech.org.cn,,
服务机器人,机场候机厅,6.0,米,7.0,米,0.5,米,8,中国民航局,https://www.caac.gov.cn,,
监控机器人,工厂车间,2.8,米,3.2,米,0.4,米,6,智能制造技术研究院,https://www.smartmanufacturing.org.cn,,
医疗机器人,医院走廊,1.0,米,1.5,米,0.1,米,5,华东医院研究所,http://www.easthospital.org,,
农业机器人,果园,10.0,米,12.0,米,0.5,米,8,中央农业科技中心,http://www.natc.gov.cn,,
服务机器人,机场航站楼,6.0,米,7.2,米,0.3,米,9,国际航空运输协会,http://www.iata.org,,
教育机器人,大学实验室,3.0,米,3.8,米,0.25,米,5,高等教育技术研究协会,https://www.higheredtech.org,,
工业机器人,生产工厂,2.2,米,3.1,米,0.4,米,6,机械工程学会,http://www.asme.org,,
物流机器人,配送中心,7.0,米,8.5,米,0.7,米,10,全球物流科技与创新中心,https://www.glti.org,,
清洁机器人,商场,4.3,米,5.0,米,0.2,米,8,清洁科技协会,http://www.cleantech.org,,
救援机器人,山地灾区,12.0,米,14.5,米,1.0,米,25,中国矿难救援中心,https://www.chinarescue.org,,
移动机器人,公园小道,2.5,米,3.3,米,0.3,米,4,城市公园协会,https://www.urbanparks.org,,
探险机器人,极地探险,15.5,米,17.0,米,1.2,米,30,极地研究所,http://www.polarresearch.org,,
社交机器人,社区活动中心,3.0,米,4.0,米,0.2,米,3,社会科学研究中心,https://www.socialscience.org,,
水下机器人,海洋勘探,8.0,米,9.0,米,0.5,米,18,海洋与环境研究中心,http://www.oceanresearch.org,,
建筑机器人,建筑工地,4.8,米,6.2,米,0.4,米,7,建筑工程学会,http://www.constructeng.org,,
配送机器人,校园环境,3.5,米,4.5,米,0.3,米,6,校园科技与创新中心,http://www.campusinnovation.org,,
安全机器人,商场出入口,2.0,米,2.5,米,0.2,米,8,公共安全研究中心,http://www.publicsafety.org,,
餐饮机器人,餐厅厨房,1.5,米,2.0,米,0.1,米,4,餐饮技术协会,http://www.cateringtech.org,,
巡逻机器人,校园巡逻,3.0,米,4.0,米,0.25,米,5,校园安全研究中心,http://www.campussafety.org,,
耐高温机器人,冶炼厂,9.0,米,10.5,米,0.8,米,15,金属加工技术研究院,http://www.metaltech.org,,
海洋机器人,深海探测,15.0,米,17.0,米,1.2,米,8,中国海洋研究院,http://www.cma.gov.cn,,
清扫机器人,大型商场,3.0,米,3.8,米,0.2,米,5,全球清洁技术大会,https://www.cleaningtech.org,,
