细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光焊接,武汉光电科技有限公司,650,1-4500 kHz,10-400 ns,8,≤1.2,湖北省科技厅,https://www.hubei.gov.cn,,
激光切割,上海星辰激光设备有限公司,700,1-8000 kHz,5-250 ns,6,<1.4,上海市经济和信息化委员会,http://www.sheit.gov.cn,,
激光打孔,深圳创佳激光技术有限公司,400,1-6000 kHz,4-350 ns,5,≤1.6,广东省科技厅,http://www.gdstc.gov.cn,,
激光清洗,成都光电清洗科技有限公司,240,1-5300 kHz,8-300 ns,14,≤1.5,成都市清洗行业协会,http://www.cdcleaning.org.cn,,
激光打标,北京豪迈激光技术有限公司,190,1-5000 kHz,10-400 ns,6,<1.4,北京市市场监管局,https://www.bjmp.gov.cn,,
激光精密制造,南京华科激光设备有限公司,500,1-4200 kHz,12-450 ns,10,≤1.3,江苏省科技厅,http://www.jiangsu.gov.cn,,
激光镭射,吉林长春光电科技有限公司,380,1-4800 kHz,6-500 ns,20,≤1.4,吉林省科技局,https://www.jilin.gov.cn,,
激光混合焊接,青岛铭辉激光技术有限公司,500,1-7000 kHz,5-200 ns,12,≤1.1,山东省科技厅,http://www.shandong.gov.cn,,
激光焊接,西安瑞光激光技术有限公司,720,1-6000 kHz,8-350 ns,9,<1.5,陕西省科学技术厅,http://www.shaanxi.gov.cn,,
激光清洗,厦门新世纪激光科技有限公司,250,1-5500 kHz,10-320 ns,15,≤1.6,福建省科技局,http://www.fujian.gov.cn,,
激光切割,苏州维克激光有限公司,630,1-8000 kHz,3-400 ns,7,<1.8,江苏省质监局,http://www.jssupervision.gov.cn,,
激光打标,甬舟激光科技有限公司,210,1-6000 kHz,7-450 ns,4,<1.7,浙江省经济和信息化厅,http://www.zhejiang.gov.cn,,
激光精密制造,沈阳超光激光科技有限公司,650,1-5000 kHz,6-300 ns,11,≤1.4,辽宁省科技厅,http://www.liaoning.gov.cn,,
激光镭射,郑州光纤激光科技有限公司,380,1-7000 kHz,2-480 ns,19,≤1.3,河南省科技局,http://www.henan.gov.cn,,
激光焊接,桂林激光科技有限公司,580,1-5500 kHz,12-400 ns,10,<1.6,广西壮族自治区科技厅,http://www.guangxi.gov.cn,,
激光打孔,大连优质激光设备有限公司,320,1-6500 kHz,4-300 ns,3,≤1.5,大连市科技局,http://www.dalian.gov.cn,,
激光清洗,海南卓尔激光技术有限公司,220,1-5800 kHz,9-220 ns,13,≤1.2,海南省科技厅,http://www.hainan.gov.cn,,
激光混合焊接,银川激光尖端科技有限公司,490,1-5400 kHz,5-450 ns,11,≤1.4,宁夏回族自治区科技厅,http://www.nx.gov.cn,,
激光焊接,深圳市九天激光研发有限公司,700,1-6000 kHz,10-400 ns,8,<1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,北京博威激光设备有限公司,850,1-8000,7-350,5,≤1.3,中国光学学会,https://www.cos.org.cn,,
激光清洗,西安兴业激光科技有限公司,150,1-5000,14-260,9,<1.5,西安市经济和信息化局,https://www.xa.gov.cn,,
激光打标,北京方锐激光设备有限公司,280,1-4500 kHz,8-440 ns,6,<1.6,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,,
激光打孔,厦门市海天激光科技有限公司,360,1-5000,4-220,5,≤1.5,厦门市科技局,https://www.xm.gov.cn,,
激光镭射,佛山市光辉激光有限公司,300,1-6000,6-350,10,≤1.2,佛山市科学技术局,http://www.foshangov.cn,,
激光混合焊接,苏州雷霆激光技术有限公司,650,1-7000,3-450,12,≤1.1,江苏省工业和信息化厅,http://www.js.gov.cn,,
激光切割,大连增辉激光设备有限公司,720,1-6000,5-300 ns,4,<1.6,大连市科学技术局,http://www.dalian.gov.cn,,
激光打标,合肥格瑞激光科技股份有限公司,250,1-4800 kHz,12-400 ns,6,<1.5,安徽省市场监督管理局,http://www.ah.gov.cn,,
激光焊接,哈尔滨光迅激光制造有限公司,550,1-5000 kHz,8-430 ns,7,≤1.3,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光切割,郑州时代激光科技有限公司,400,1-6500,10-330,3,<1.4,河南省经济和信息化委员会,http://www.henan.gov.cn,,
激光清洗,宁波宏锻激光科技有限公司,180,1-5500,12-220,9,<1.5,浙江省科技局,http://www.zj.gov.cn,,
激光打孔,南昌天虹激光有限公司,320,1-8000,4-300 ns,5,≤1.5,江西省科技厅,http://www.jiangxi.gov.cn,,
激光镭射,舟山蓝光激光科技有限公司,500,1-7000,5-400,11,≤1.3,舟山市科技局,http://www.zhoushan.gov.cn,,
激光焊接,贵阳华南激光技术有限公司,600,1-6000 kHz,10-500,9,<1.4,贵州省科技厅,http://www.guizhou.gov.cn,,
激光打标,沈阳恒星激光有限公司,220,1-4000 kHz,6-500 ns,4,<1.5,辽宁省市场监督管理局,http://www.ln.gov.cn,,
激光混合焊接,南宁东信激光科技有限公司,490,1-8500,9-300,13,≤1.2,广西壮族自治区科技厅,http://www.gx.gov.cn,,
激光焊接,上海蓝图激光科技有限公司,700,1-5000 kHz,10-450 ns,10,<1.5,中国机械工程学会,https://www.cmes.org,,
激光切割,深圳锐云激光设备有限公司,800,1-6000,5-320,4,≤1.4,深圳市科技创新局,https://www.sz.gov.cn,,
激光打标,厦门火炬激光科技有限公司,250,1-4000 kHz,15-450 ns,6,<1.6,福建省工业和信息化厅,https://www.fj.gov.cn,,
激光清洗,成都蓝激光有限公司,300,1-5500,10-350,8,≤1.5,四川省科学技术厅,https://www.sc.gov.cn,,
激光精密制造,北京天禾激光科技有限公司,500,1-8000,4-200,12,<1.3,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光打孔,南京光电科技有限公司,420,1-3000,6-500,5,≤1.6,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光焊接,武汉新光激光技术有限公司,650,1-5000 kHz,5-300 ns,15,<1.4,湖北省科技厅,https://www.hubei.gov.cn,,
激光激光切割,沈阳导光科技有限公司,600,1-6500,8-400,9,≤1.3,辽宁省工业和信息化厅,https://www.ln.gov.cn,,
激光打标,长春光明激光设备制造有限公司,300,1-5000 kHz,10-300 ns,7,<1.5,吉林省经济和信息化厅,https://www.jilin.gov.cn,,
激光混合焊接,天津天力激光科技有限公司,450,1-7000,3-250,20,≤1.2,天津市科学技术局,https://www.tianjin.gov.cn,,
激光镭射,青岛光谱激光设备有限公司,360,1-5500,6-400,11,<1.4,山东省科技厅,https://www.shandong.gov.cn,,
激光清洗,西安拓普激光科技有限责任公司,280,1-4800,10-250,14,≤1.5,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光切割,哈尔滨精艺激光设备有限公司,750,1-6000,5-320,5,<1.3,黑龙江省科技厅,https://www.heilongjiang.gov.cn,,
激光精密制造,南昌激光技术有限公司,400,1-3800,9-480,6,≤1.4,江西省经济和信息化厅,https://www.jiangxi.gov.cn,,
激光打标,合肥快马激光设备有限公司,290,1-4000 kHz,10-450 ns,5,<1.6,安徽省科技厅,https://www.anhui.gov.cn,,
激光焊接,宁波激光科技有限公司,520,1-5500,7-300 ns,9,<1.5,浙江省科技厅,https://www.zhejiang.gov.cn,,
激光切割,佛山金铂激光设备有限公司,680,1-9000,3-370,8,≤1.2,广东省科技和信息局,https://www.gd.gov.cn,,
激光混合焊接,石家庄斯图尔激光科技有限公司,490,1-3000,4-200,13,<1.4,河北省科技厅,https://www.heb.gov.cn,,
激光焊接,深圳激光科技有限公司,650,1-5000 kHz,10-450 ns,9,≤1.2,中国电子科技集团公司,http://www.cegs.com.cn,,
激光切割,苏州杰克激光科技有限公司,550,1-6000 kHz,8-300 ns,2,<1.4,工业和信息化部,https://www.miit.gov.cn,,
激光打孔,北京华创激光技术有限公司,400,1-5500 kHz,5-350 ns,6,<1.5,北京科技大学,http://www.bjtu.edu.cn,,
激光清洗,上海有信激光技术有限公司,300,1-5700 kHz,12-420 ns,10,≤1.5,上海市科技委员会,http://www.stcsm.gov.cn,,
激光镭射,成都铭道激光有限公司,500,1-6000 kHz,7-380 ns,20,≤1.4,四川省科技厅,http://www.sctd.gov.cn,,
激光打标,海南海洋激光科技有限公司,250,1-4600 kHz,6-400 ns,4,<1.5,海南省发展和改革委员会,http://www.hainan.gov.cn,,
激光混合焊接,西安未来激光设备有限公司,350,1-8000 kHz,5-220 ns,18,≤1.1,陕西省科学技术厅,http://www.shaanxi.gov.cn,,
激光焊接,长沙激光精工有限公司,700,1-4000 kHz,10-460 ns,8,≤1.3,湖南省工业和信息化厅,http://www.hunan.gov.cn,,
激光切割,南京光宇激光科技有限公司,650,1-7500 kHz,4-250 ns,4,<1.5,江苏省科学技术厅,http://www.jiangsu.gov.cn,,
激光打孔,桂林绿光激光设备有限公司,200,1-5000 kHz,10-280 ns,7,≤1.6,广西科技厅,http://www.gxst.gov.cn,,
激光清洗,郑州新光激光设备有限公司,150,1-6100 kHz,15-220 ns,11,≤1.8,河南省科技厅,http://www.henan.gov.cn,,
激光镭射,青岛科技激光设备有限公司,550,1-5000 kHz,6-450 ns,15,≤1.4,中国光学学会,http://www.cos.org.cn,,
激光打标,福州福光激光科技有限公司,220,1-4300 kHz,8-380 ns,5,<1.6,福建省科学技术厅,http://www.fujian.gov.cn,,
激光混合焊接,哈尔滨锐光激光科技有限公司,400,1-7900 kHz,3-250 ns,12,≤1.2,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光焊接,济南亮信激光科技有限公司,670,1-4800 kHz,10-300 ns,10,≤1.1,山东省科技局,http://www.shandong.gov.cn,,
激光切割,南昌创意激光设备有限公司,600,1-6800 kHz,9-360 ns,5,<1.3,江西省科技厅,http://www.jiangxi.gov.cn,,
激光打孔,银川宁光激光科技有限公司,350,1-5500 kHz,5-350 ns,9,<1.5,宁夏自治区科技厅,http://www.nx.gov.cn,,
激光清洗,乌鲁木齐光洁激光设备有限公司,100,1-6000 kHz,15-500 ns,14,≤1.9,新疆生产建设兵团,http://www.xjbt.gov.cn,,
激光焊接,深圳市华强激光科技有限公司,700,1-6000 kHz,10-400 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,四川激光科技有限公司,500,1-5000,5-350,6,<1.4,四川省经济和信息化厅,https://www.sc.gov.cn,,
激光清洗,湖北大禾激光科技股份有限公司,250,1-4800,8-280,10,≤1.5,武汉市科技局,https://www.wuhan.gov.cn,,
激光打标,深圳市铭品激光设备有限公司,300,1-4500 kHz,10-450 ns,4,<1.3,广东省市场监督管理局,https://www.gdma.gov.cn,,
激光打孔,沈阳激光科技有限公司,320,1-6000,5-300,5,≤1.6,辽宁省科技厅,https://www.ln.gov.cn,,
激光混合焊接,西安辉光激光有限公司,550,1-8000,6-200,16,≤1.2,中国激光工业协会,http://www.clia.org.cn,,
激光雕刻,北京精准激光技术有限公司,200,1-4000,7-350,9,<1.4,北京市科学技术协会,https://www.bjsta.gov.cn,,
激光塑料焊接,吉林激光智能技术有限公司,600,1-3000,12-550,14,≤1.5,吉林省智能制造局,http://www.jl.gov.cn,,
激光去毛刺,天津市新能激光科技公司,280,1-5800,10-300,7,≤1.4,天津市科技信息中心,http://www.tianjin.gov.cn,,
激光医疗,华东激光医疗科技有限公司,500,1-7000,5-250,11,<1.6,中国医疗器械行业协会,http://www.cmda.gov.cn,,
激光材料处理,浙江智创激光有限公司,400,1-6000,5-400,12,≤1.3,浙江省科技厅,http://www.zj.gov.cn,,
激光焊接,南京强光激光科技有限公司,620,1-5500,10-480,6,<1.5,江苏省科技厅,http://www.js.gov.cn,,
激光清洗,海南蓝海激光科技有限公司,280,1-3000,8-200,13,≤1.6,海南省科技局,http://www.hainan.gov.cn,,
激光切割,福州立信激光设备有限公司,750,1-4000,6-380,9,<1.3,福州市科技局,https://www.fuzhou.gov.cn,,
激光打标,上海高精度激光科技有限公司,190,1-5000 kHz,10-450 ns,3,<1.5,上海市经济和信息化委员会,http://www.shanghai.gov.cn,,
激光气体切割,重庆天以激光技术有限公司,650,1-5000,10-200,7,<1.5,重庆市科技局,http://www.cq.gov.cn,,
激光成型,合肥激光应用技术公司,600,1-7500,12-300,10,≤1.4,合肥市科技局,https://www.hefei.gov.cn,,
激光焊接,深圳云光激光科技有限公司,720,1-6000,10-450,10,<1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
