激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
短脉冲光纤激光器,1550 nm,20%-25%,1200,W,1.5,优良,中等,优秀,金属、玻璃,中,中型,每年,中等,较便捷,15000,小时,光纤激光技术研究中心,https://www.fiberlasertech.org,,
高能量固体激光器,1064 nm,30%-40%,5000,W,2.5,良好,优秀,优秀,金属、陶瓷,中高,大型,每两年,中等,较便捷,30000,小时,全球激光器网络,https://www.laserworld.com,,
紫外激光器,355 nm,25%-35%,200,W,1.1,优良,优良,良好,金属、塑料,低,小型,每年,较高,便捷,18000,小时,激光技术发展研究院,https://www.lasertd.org,,
超快激光器,800 nm,15%-25%,1000,W,1.4,良好,优良,优秀,塑料、金属,中,中型,每年,中等,便捷,20000,小时,国际激光协会,https://www.international-laser-association.org,,
双波长激光器,1064 nm / 532 nm,22%-30%,1500,W,1.6,优良,中等,良好,木材、纸张、塑料,中,大型,每年,中等,较便捷,22000,小时,中国科学技术协会,https://www.cast.org.cn,,
可调激光器,400 nm-700 nm,20%-30%,350,W,1.2,优良,优良,良好,塑料、金属,低,中型,每年,较高,便捷,19000,小时,中国激光器技术研究院,https://www.laserinstitute.cn,,
大功率光纤激光器,1070 nm,45%-55%,3000,W,1.1,优良,优秀,优秀,金属、树脂,中高,大型,每年,较高,非常便捷,40000,小时,国家激光技术研究中心,https://www.national-laser-tech.org,,
激光打标机,1064 nm,15%-20%,500,W,1.3,一般,中等,一般,塑料、金属、玻璃,中,中型,每半年,中等,便捷,15000,小时,中央激光技术技术研究院,https://www.cnltt.org,,
高能紫外激光器,355 nm,18%-28%,600,W,1.4,良好,优良,优秀,陶瓷、金属,中,大型,每一年,较高,便捷,18000,小时,激光应用研究中心,https://www.laserapplications.org,,
绿色固态激光器,532 nm,22%-32%,800,W,2.0,良好,优良,中等,塑料、木材,低,小型,每半年,中等,较复杂,7000,小时,机械工程研究院,https://www.mei.org.cn,,
低温激光器,1060 nm,10%-15%,900,W,1.8,一般,良好,一般,金属、塑料,中,小型,每半年,中等,便捷,8000,小时,制造业研究中心,https://www.manufacturing.org,,
高倍率激光器,532 nm,20%-27%,450,W,1.0,优良,优秀,优良,陶瓷、非金属材料,低,小型,每年,较低,非常便捷,25000,小时,超光技术研究院,https://www.superlasertech.org,,
超短脉冲纳米激光器,800 nm,35%-45%,500,W,1.2,优良,中等,优秀,细金属、塑料,中,中型,每年,中等,较便捷,15000,小时,新兴激光科技,https://www.newlasertech.cn,,
生物医用激光器,650 nm,15%-22%,250,W,1.9,一般,优良,中等,生物组织、聚合物,低,小型,每年,较高,较复杂,10000,小时,国际医疗激光技术研究中心,https://www.imlt.org,,
新星激光器,850 nm,40%-50%,480,W,1.4,良好,优良,优秀,金属、高强度塑料,中,中型,每半年,中等,便捷,12000,小时,现代激光研究所,https://www.modernlaserresearch.org,,
工业激光器,1064 nm,22-30%,5000,W,1.4,优良,优秀,优秀,金属、塑料、复合材料,中,大型,每年,较高,中等,30000,小时,上海激光技术研究院,https://www.shlasertech.org,,
钕钇铝石榴石激光器,1064 nm,30-36%,1500,W,1.6,良好,优良,良好,金属、非金属,中,中型,每年,中等,便捷,25000,小时,中国材料科学研究所,https://www.materialscience.cn,,
波长可调激光器,700-800 nm,20-25%,450,W,1.2,优良,中等,优良,陶瓷、金属,低,小型,每六个月,中等,便捷,18000,小时,中国光学学会,https://www.cos.org.cn,,
紫外激光器,355 nm,10-15%,600,W,1.5,良好,优良,良好,塑料、玻璃,低,中型,每年,中等,较复杂,20000,小时,中国光电技术研究院,https://www.chinaopto.org,,
