标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
ITU-T H.661,视频编码扩展标准,30.0,fps,10bit,高清晰度,16:09,2023-09-01,全球,ITU,https://www.itu.int/en,,
DVB-T2,数字视频广播标准T2,50.0,fps,10bit,超高清晰度,16:09,2022-06-01,欧洲,DVB,https://www.dvb.org,,
HEVC,高效视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2021-01-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AVS3,视频编码国际标准,120.0,fps,10bit,超高清晰度,16:09,2023-04-01,中国,中国国家广播电视总局,http://www.nrta.gov.cn,,
SMPTE ST 2036,超高清视听应用标准,24.0,fps,12bit,高画质,16:09,2020-11-01,全球,SMPTE,https://www.smpte.org,,
ISO/IEC 21000,媒体管理标准,30.0,fps,8bit,高清晰度,16:09,2019-08-15,全球,ISO,https://www.iso.org,,
H.265,视频编码标准,30.0,fps,10bit,超高清晰度,16:09,2016-10-01,全球,Wikipedia,https://en.wikipedia.org/wiki/HEVC,,
AV1,开放视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2022-02-28,全球,Alliance for Open Media,https://aomediacodec.github.io,,
DASH,动态自适应流媒体标准,60.0,fps,8bit,高画质,16:09,2021-09-15,全球,MPEG,https://mpeg.chiariglione.org,,
H.264/AVC,高级视频编码标准,30.0,fps,10bit,高清晰度,16:09,2020-05-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.261,视频编码标准,30.0,fps,8bit,标准画质,4:3,2023-01-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2084,高动态范围视频编码,24.0,fps,12bit,超高清晰度,16:09,2021-07-20,全球,SMPTE,https://www.smpte.org,,
