品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注
气体传感器,敏感元件 + 测量电路 + 数据分析单元,探测层、数据服务层,北京环境监测中心,模块式,中国环境科学网,https://www.cae.cn,,
雷达传感器,微波发射单元 + 接收单元 + 信号处理单元,感知层、决策层,海洋科技研究院,集成式,海洋研究期刊,https://www.oceanresearch.com,,
智能停车传感器,光学传感器 + 数据传输单元,感知层、服务层,城市交通科技,模块式,智能交通网,https://www.smarttraffic.com,,
无线温湿度传感器,敏感元件 + 无线传输模块,采集层、云层,智慧城市服务,集成式,智慧城市技术论坛,https://www.smartcityforum.com,,
烟雾传感器,光电传感器 + 信号处理模块,检测层、报警层,消防安全技术,集成式,消防技术网,https://www.firetech.com,,
能量监测传感器,电流传感器 + 磁场传感器,数据收集层、分析层,能源科技研究所,模块式,可再生能源杂志,https://www.renewableenergyjournal.com,,
光照传感器,敏感元件 + 信号转换电路,感知层、处理层,光能技术公司,集成式,光能技术网,https://www.lightenergytech.com,,
运动传感器,加速度计 + 陀螺仪 + 数据处理单元,感知层、应用层,智能穿戴技术,模块式,科技前沿论坛,https://www.techfrontier.com,,
压力传感器,敏感元件 + 信号调理单元 + 数据采集单元,传感层、处理层、输出层,传感器开发实验室,集成式,传感器开发网,https://www.sensordevelopment.com,,
超声波传感器,超声波发射元件 + 接收器 + 信号处理单元,探测层、分析层,声学传感技术研究中心,模块式,声学技术杂志,https://www.acousticjournal.com,,
振动传感器,电压传感器 + 信号处理模块,监测层、反馈层,机械工程中心,集成式,国际机械工程网,https://www.imech.org,,
温度传感器,敏感元件 + 模块化设计,数据接收层、控制层,汽车技术研究院,模块式,汽车电子技术,https://www.autoelectronics.com,,
湿度传感器,敏感元件 + 微控制器 + 模块接口,感知层、控制层,食品安全研究所,集成式,食品科学期刊,https://www.foodsciencejournal.com,,
生物气体传感器,生物识别元件 + 数据处理模块,监测层、反应层,生物医学工程学院,模块式,生物工程论坛,https://www.bioengineeringforum.com,,
面部识别传感器,图像传感器 + 处理芯片,感知层、决策层,计算机视觉研究中心,集成式,计算机视觉协会,https://www.computervision.org,,
智能门锁传感器,电磁传感元件 + 控制单元,识别层、安全层,智能家居研究所,集成式,智能家居博览会,https://www.smarthomeexpo.com,,
融合传感器,多种传感器 + 数据融合算法,综合层、应用层,集成传感技术公司,集成式,集成技术论坛,https://www.integrationtechforum.com,,
气体传感器,敏感元件 + 处理单元 + 无线传输模块,检测层、处理层、传输层,气体监测科技,集成式,气体监测网络,https://www.gasmeter.com,,
电流传感器,灵敏元件 + 模块化处理单元,采集层、处理层,能源解决方案,模块式,电力系统研究所,https://www.energyres.com,,
亮度传感器,敏感元件 + 信号调理单元 + 输出接口,测量层、输出层,光学传感技术,集成式,光学传感器协会,http://www.opticalsensors.org,,
气象传感器,多种敏感元件 + 数据融合单元,气象层、分析层,国家气象局,集成式,气象科学期刊,https://www.meteorologyscience.org,,
电压传感器,敏感元件 + 处理器 + 无线单元,监测层、数据层,电子测量科技,模块式,电力设备公司,http://www.electricaldevices.com,,
