公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注
中信科技,金融、保险,智能投顾平台,自动化投资组合管理,机器学习与数据分析,中信官网,https://www.citic.com,,
华为技术,电信、云计算,5G网络优化方案,网络性能监测与分析,AI优化算法,华为官网,https://www.huawei.com,,
腾讯云,社交、云计算,企业级即时通讯解决方案,团队协作与信息共享,实时消息推送技术,腾讯官网,https://cloud.tencent.com,,
阿里云,电子商务、IT服务,智能客服解决方案,自动化客户服务与支持,自然语言处理技术,阿里巴巴官网,https://www.aliyun.com,,
百度智能云,AI、云计算,图像识别平台,视觉数据分析与识别,深度学习算法,百度官网,https://cloud.baidu.com,,
中兴通讯,电信、网络安全,网络安全管理平台,多层级安全防护,网络入侵防御系统,中兴官网,https://www.zte.com.cn,,
网易云,娱乐、音乐,在线音乐平台解决方案,音频流服务与管理,内容分发网络(CDN),网易官网,https://www.163.com,,
紫光集团,大数据、人工智能,城市数据综合管理平台,城市运营数据整合,大数据处理与分析,紫光官网,https://www.unisoc.com,,
用友网络,企业管理、ERP,企业资源计划(ERP)系统,业务流程自动化管理,云端ERP解决方案,用友官网,https://www.yonyou.com,,
数联科技,数据分析、商业智能,商业智能分析平台,企业数据可视化分析,数据挖掘技术,数联官网,https://www.shulian.com,,
万达信息,零售、物流,智慧零售解决方案,在线商城与供应链管理,人工智能推荐系统,万达官网,https://www.wanda.com,,
飞书科技,协作、办公,远程办公解决方案,在线会议与团队协作,一体化办公平台,飞书官网,https://www.feishu.cn,,
海尔集团,家电、智能家居,智能家居管理平台,设备远程控制与监控,物联网技术,海尔官网,https://www.haier.com,,
京东数字科技,电子商务、金融,数字金融服务平台,在线银行与支付服务,区块链技术,京东官网,https://www.jd.com,,
SAP中国,企业管理、软件开发,综合企业管理解决方案,企业各项资源的集成管理,云计算与大数据,SAP官网,https://www.sap.com/china,,
英特尔中国,硬件、云计算,智能计算解决方案,高性能数据处理与分析,高效能处理器,英特尔官网,https://www.intel.com/content/www/cn/zh/homepage.html,,
美团点评,本地生活服务、移动互联网,餐饮管理平台,在线订餐与评价管理,数据挖掘与大数据分析,美团官网,https://www.meituan.com,,
字节跳动,社交、短视频,短视频运营解决方案,内容创作与用户互动,智能推荐系统,字节官网,https://www.bytedance.com,,
亿联网络,政府、公共安全,智能警务支撑平台,安全事件管理与响应,深度学习与大数据,亿联官网,https://www.yilian.com/,,
云知声,教育、语音识别,智能语音互动平台,课堂互动与评估,语音识别技术,云知声官网,https://www.yunzhi.com/,,
中科院软件所,科研、数据分析,科研数据管理平台,数据共享与分析,数据挖掘与人工智能,中科院官网,https://www.cas.cn/,,
神州数码,金融、云服务,云金融服务平台,在线支付与信贷申请,区块链技术,神州数码官网,https://www.digimatic.com/,,
