年份（字符型）,国家软件出口基地（字符型）,中国服务外包示范城市（字符型）,中国服务外包基地城市（字符型）,中国服务外包示范基地（字符型）,国家软件产业基地城市（字符型）,采集来源,来源链接,采集时间,备注
2022,荷兰,天津,郑州,南宁,合肥,行业分析数据,https://www.industryanalysis.com,,
2023,加拿大,青岛,福州,北京,南昌,年度市场报告,https://www.marketreport.com,,
2019,印度,深圳,厦门,济南,西安,行业研究,https://www.industryresearch.com,,
2023,英国,天津,大连,广宁,贵阳,科技报告,https://www.techreport.com,,
2024,新加坡,武汉,合肥,沈阳,南阳,市场调研,https://www.marketresearch.com,,
2025,澳大利亚,广州,宁波,长春,苏州,行业动态,https://www.industrynews.com,,
2021,法国,曲靖,澄迈,株洲,扬州,企业分析,https://www.companyanalysis.com,,
2020,巴西,金华,镇江,兰州,澳门,政府发布,https://www.govdata.com,,
2023,阿根廷,南宁,烟台,无锡,福州,国际机构,https://www.internationalagency.com,,
2019,韩国,长春,海口,泰安,济宁,行业报告,https://www.industryreport.com,,
2024,日本,合肥,哈尔滨,温州,大连,学术研究,https://www.academicresearch.com,,
2022,瑞典,南昌,济南,南通,乌鲁木齐,行业发展,https://www.industrydevelopment.com,,
2023,丹麦,温州,昆明,潍坊,兰州,市场网站,https://www.marketwebsite.com,,
2025,爱尔兰,广州,佛山,珠海,太原,经济研究,https://www.economicresearch.com,,
2022,乌克兰,南京,温州,哈尔滨,郑州,市场分析,https://www.marketanalyze.com,,
2021,新西兰,沈阳,成都,台州,西宁,科技表达,https://www.techexpression.com,,
2023,芬兰,呼和浩特,东莞,齐齐哈尔,南宁,经济分析,https://www.economicanalysis.com,,
2019,印度,广州,沈阳,南京,长沙,行业协会,https://www.industryassociation.com,,
2020,加拿大,北京,太原,武汉,西安,市场报告,https://www.marketreport.com,,
2021,新加坡,深圳,佛山,青岛,温州,商业杂志,https://www.businessmagazine.com,,
2022,英国,杭州,厦门,合肥,沈阳,行业观察,https://www.industrywatch.com,,
2023,日本,成都,南昌,郑州,海口,产业动态,https://www.industrydynamics.com,,
2025,德国,佛山,东莞,苏州,福州,经济研究所,https://www.economicsresearch.com,,
2024,以色列,南京,临沂,桂林,无锡,科技论坛,https://www.techforum.com,,
2022,阿根廷,佛山,镇江,泉州,邯郸,商业分析,https://www.businessanalysis.com,,
2023,韩国,无锡,南宁,佛山,绍兴,行业趋势,https://www.industrytrends.com,,
2024,芬兰,合肥,唐山,惠州,将军澳,科技新闻,https://www.technews.com,,
2021,俄罗斯,西安,烟台,岳阳,衢州,市场分析,https://www.marketanalysis.com,,
2025,南非,绍兴,马鞍山,金华,岳阳,经济观察,https://www.economicobserver.com,,
2020,新西兰,常州,哈尔滨,深圳,南昌,科技观察,https://www.techobserver.com,,
2021,巴西,厦门,成都,沈阳,长春,技术报告,https://www.technicalreport.com,,
2022,瑞典,泰安,无锡,合肥,唐山,现代企业,https://www.modernenterprise.com,,
2023,乌克兰,南宁,南昌,东莞,吉林,战略研究,https://www.strategicresearch.com,,
2019,印度,广州,青岛,西安,广州,行业咨询,https://www.industryconsulting.com,,
2020,日本,苏州,郑州,合肥,深圳,商业报告,https://www.businessreports.com,,
2021,英国,佛山,南宁,武汉,昆明,市场分析,https://www.marketanalysis.com,,
2022,爱尔兰,天津,南昌,沈阳,大连,国际商务,https://www.internationalbusiness.com,,
2023,西班牙,长沙,杭州,嘉兴,福州,科技论坛,https://www.techforum.com,,
2024,新加坡,北京,扬州,淮安,镇江,论坛发布,https://www.forumpublish.com,,
2022,澳大利亚,宁波,温州,贵阳,南阳,统计数据库,https://www.statisticsdb.com,,
2020,阿根廷,南通,泰州,桂林,南昌,产业报告,https://www.industryreport.com,,
2023,南非,上海,石家庄,西安,兰州,市场回顾,https://www.marketreview.com,,
2018,意大利,富阳,合肥,温州,泉州,行业报告,https://www.industryreport.com,,
2021,瑞士,深圳,无锡,重庆,西安,经济观察,https://www.economicobserver.com,,
