日期,剧名,播放平台,所属单位,播放次数,单位,播放时长,单位.1,是否网剧,采集来源,来源链接,采集时间,备注
2024-03-25,梦境探险,优酷、爱奇艺,梦圆影视有限公司,15.7,亿次,1150,分钟,是,影视数据平台,https://lmtw.com/,,
2024-01-15,追梦时代,腾讯视频,战略传媒,30.4,亿次,1480,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2023-12-01,秋水共长天,爱奇艺、优酷,四海游龙影视,18.5,亿次,940,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2024-05-22,来生不再见,腾讯视频、爱奇艺,时光影业,27.1,亿次,1600,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-06-30,遗忘的时光,优酷,流星影视,33.3,亿次,1500,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-11-24,风云变幻,爱奇艺,东海影视制作,24.7,亿次,1210,分钟,是,豆瓣,https://movie.douban.com/,,
2024-01-10,深山孤影,腾讯视频、优酷,天空影视集团,40.8,亿次,2000,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2024-03-30,时间的旅人,优酷、爱奇艺,光影合盟,36.5,亿次,1360,分钟,是,腾讯影视数据,https://v.qq.com/,,
2024-02-14,夺梦者,爱奇艺、腾讯视频,博瑞宇航影视,29.9,亿次,970,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2024-04-05,黑夜的光明,优酷、爱奇艺,星辰影业,55.0,亿次,2100,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-10-15,无尽回忆,腾讯视频,梦幻影视,20.2,亿次,1250,分钟,是,影视数据平台,https://lmtw.com/,,
2023-12-20,城市边缘,爱奇艺,星河影业,22.7,亿次,900,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-07-01,裂痕与光芒,优酷、胡子视频,时光影视,31.6,亿次,1410,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2024-02-01,重启未来,腾讯视频、爱奇艺,未来影视,38.3,亿次,1780,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-09-05,浮华世界,优酷、腾讯视频,幻影影业,23.1,亿次,810,分钟,是,豆瓣,https://movie.douban.com/,,
2024-08-15,星际迁徙,爱奇艺、优酷,浩瀚影视,52.0,亿次,2340,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2023-11-30,时间的真相,腾讯视频、爱奇艺、优酷,先锋影视,26.3,亿次,1325,分钟,是,影视数据报告,https://www.yingshidata.com/,,
