年份,省份,网络新闻,单位,网络音乐,单位.1,网络文学,单位.2,网络游戏,单位.3,网络视频,单位.4,网络直播,单位.5,短视频,单位.6,采集来源,来源链接,采集时间,备注
2023,四川,0.1298,亿人,0.1152,亿人,0.0944,亿人,0.1197,亿人,0.1784,亿人,0.0676,亿人,0.1753,亿人,CNMC,https://www.cnmc.gov.cn/,,
2022,湖南,0.2102,亿人,0.1948,亿人,0.1463,亿人,0.1353,亿人,0.3051,亿人,0.1512,亿人,0.2385,亿人,iResearch,https://www.iresearch.com.cn/,,
2023,山东,0.1453,亿人,0.1351,亿人,0.0904,亿人,0.1249,亿人,0.1991,亿人,0.0764,亿人,0.211,亿人,Statista,https://www.statista.com/,,
2022,福建,0.1873,亿人,0.1724,亿人,0.1137,亿人,0.1426,亿人,0.2359,亿人,0.0874,亿人,0.2193,亿人,中国互联网协会,http://www.isc.org.cn/,,
2021,河南,0.2561,亿人,0.2275,亿人,0.1668,亿人,0.1973,亿人,0.3098,亿人,0.0984,亿人,0.305,亿人,艾媒咨询,http://www.iimedia.cn/,,
2023,陕西,0.1156,亿人,0.1088,亿人,0.0801,亿人,0.1013,亿人,0.1801,亿人,0.0613,亿人,0.1622,亿人,QuestMobile,https://www.questmobile.com/,,
2022,浙江,0.2154,亿人,0.1962,亿人,0.1435,亿人,0.1625,亿人,0.3087,亿人,0.1746,亿人,0.2921,亿人,网易科技,https://tech.163.com/,,
2021,重庆,0.1702,亿人,0.1583,亿人,0.1132,亿人,0.1451,亿人,0.2278,亿人,0.0799,亿人,0.2006,亿人,腾讯新闻,https://news.qq.com/,,
2020,内蒙古,0.0864,亿人,0.0793,亿人,0.0581,亿人,0.0712,亿人,0.1225,亿人,0.0456,亿人,0.0977,亿人,搜狐科技,https://www.sohu.com/,,
2020,广西,0.1754,亿人,0.1578,亿人,0.1126,亿人,0.1463,亿人,0.2967,亿人,0.089,亿人,0.2413,亿人,今日头条,https://www.toutiao.com/,,
2023,海南,0.0923,亿人,0.0861,亿人,0.0712,亿人,0.0854,亿人,0.1375,亿人,0.0482,亿人,0.0956,亿人,中国数字文化产业网,http://www.digitalculture.org.cn/,,
2021,西藏,0.0378,亿人,0.0346,亿人,0.0225,亿人,0.0284,亿人,0.0563,亿人,0.0234,亿人,0.0421,亿人,中青在线,https://www.cyol.com/,,
2020,云南,0.0843,亿人,0.079,亿人,0.0667,亿人,0.0759,亿人,0.1356,亿人,0.0498,亿人,0.0884,亿人,北京商报,http://www.bbtnews.com/,,
2023,天津,0.1491,亿人,0.1398,亿人,0.1093,亿人,0.1307,亿人,0.1999,亿人,0.0753,亿人,0.1906,亿人,澎湃新闻,https://www.thepaper.cn/,,
2023,山西,0.1092,亿人,0.1025,亿人,0.0783,亿人,0.0946,亿人,0.165,亿人,0.0528,亿人,0.1562,亿人,蓝鲸财经,https://www.lanjinger.com/,,
2023,四川,0.1453,亿人,0.1324,亿人,0.0975,亿人,0.1203,亿人,0.1762,亿人,0.0653,亿人,0.1821,亿人,国家统计局,http://www.stats.gov.cn/,,
2023,浙江,0.1984,亿人,0.1758,亿人,0.1356,亿人,0.1624,亿人,0.2543,亿人,0.0857,亿人,0.2135,亿人,腾讯研究院,https://research.tencent.com/,,
2022,福建,0.1149,亿人,0.0987,亿人,0.0723,亿人,0.0841,亿人,0.1214,亿人,0.0523,亿人,0.1428,亿人,新华网,http://www.xinhuanet.com/,,
2021,湖南,0.1302,亿人,0.1125,亿人,0.0894,亿人,0.1039,亿人,0.1457,亿人,0.0752,亿人,0.1376,亿人,百度文化焱,https://wenyanyan.baidu.com/,,
2021,陕西,0.0864,亿人,0.0798,亿人,0.0623,亿人,0.0725,亿人,0.0962,亿人,0.0497,亿人,0.0863,亿人,艾瑞咨询,http://www.iresearch.com.cn/,,
2022,安徽,0.2052,亿人,0.1863,亿人,0.1255,亿人,0.1453,亿人,0.2021,亿人,0.1012,亿人,0.1825,亿人,今日头条,https://www.toutiao.com/,,
2023,海南,0.0579,亿人,0.0513,亿人,0.039,亿人,0.0476,亿人,0.0683,亿人,0.0224,亿人,0.0545,亿人,搜狐,https://www.sohu.com/,,
2021,山西,0.0897,亿人,0.0754,亿人,0.0532,亿人,0.0674,亿人,0.0928,亿人,0.0421,亿人,0.0798,亿人,盖世汽车,https://www.gasgoo.com/,,
2022,天津,0.2175,亿人,0.1967,亿人,0.1384,亿人,0.1712,亿人,0.2458,亿人,0.1284,亿人,0.2296,亿人,电商研究中心,http://www.100ec.cn/,,
2020,云南,0.0643,亿人,0.0591,亿人,0.0478,亿人,0.0554,亿人,0.0845,亿人,0.0339,亿人,0.0596,亿人,中国互联网信息中心,https://www.cnnic.net.cn/,,
2020,广西,0.1195,亿人,0.1027,亿人,0.0714,亿人,0.0879,亿人,0.1281,亿人,0.0485,亿人,0.1076,亿人,Gartner,https://www.gartner.com/,,
2023,内蒙古,0.0775,亿人,0.0654,亿人,0.0526,亿人,0.0572,亿人,0.0945,亿人,0.0304,亿人,0.0692,亿人,Investopedia,https://www.investopedia.com/,,
2022,重庆,0.1988,亿人,0.1699,亿人,0.1173,亿人,0.1447,亿人,0.2112,亿人,0.0922,亿人,0.1456,亿人,前瞻网,https://www.qianzhan.com/,,
