年月,平台,剧集播放数,单位,剧集播出时长,单位.1,剧集上新数,单位.2,独播上新数,单位.3,采集来源,来源链接,采集时间,备注
2023-11,爱奇艺,90.0,亿次,58.0,小时,60.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2023-10,腾讯视频,72.5,亿次,50.5,小时,40.0,部,30.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-09,芒果TV,45.0,亿次,42.0,小时,20.0,部,18.0,部,经济日报,https://www.ce.cn/,,
2023-07,优酷,85.0,亿次,59.0,小时,55.0,部,35.0,部,视频研究中心,https://www.videoresearch.com,,
2023-06,Bilibili,29.5,亿次,36.0,小时,28.0,部,20.0,部,中国网络视听,https://www.cntv.com,,
2023-01,爱奇艺,75.0,亿次,70.0,小时,10.0,部,5.0,部,今日头条,https://www.toutiao.com,,
2022-12,腾讯视频,60.0,亿次,55.0,小时,50.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2022-09,Bilibili,40.0,亿次,48.0,小时,33.0,部,15.0,部,视频研究中心,https://www.videoresearch.com,,
2022-06,优酷,65.0,亿次,52.0,小时,70.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2021-12,芒果TV,22.0,亿次,25.5,小时,15.0,部,10.0,部,骨朵数据,https://www.36kr.com,,
2021-08,优酷,35.0,亿次,40.0,小时,25.0,部,20.0,部,诚传媒,https://www.chengmedia.com/,,
2021-05,腾讯视频,50.0,亿次,45.0,小时,35.0,部,15.0,部,中国网络视听,https://www.cntv.com,,
2021-04,爱奇艺,28.0,亿次,27.0,小时,10.0,部,5.0,部,新流媒体观察,https://www.lmtm.com,,
2020-12,Bilibili,20.0,亿次,35.0,小时,18.0,部,13.0,部,视频研究中心,https://www.videoresearch.com,,
2020-09,芒果TV,10.0,亿次,20.0,小时,12.0,部,8.0,部,骨朵数据,https://www.36kr.com,,
2020-03,优酷,15.0,亿次,30.0,小时,20.0,部,10.0,部,经济日报,https://www.ce.cn/,,
2020-01,爱奇艺,22.0,亿次,32.0,小时,11.0,部,6.0,部,今日头条,https://www.toutiao.com,,
2023-11,爱奇艺,90.0,亿次,60.5,小时,38.0,部,25.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-10,腾讯视频,100.0,亿次,70.2,小时,62.0,部,35.0,部,中国网络视听,https://www.cntv.com,,
2023-09,Bilibili,45.0,亿次,40.0,小时,22.0,部,16.0,部,今日头条,https://www.toutiao.com,,
2023-07,优酷,55.0,亿次,57.0,小时,30.0,部,20.0,部,骨朵数据,https://www.36kr.com,,
2023-01,芒果TV,50.0,亿次,42.0,小时,12.0,部,8.0,部,新流媒体观察,https://www.lmtm.com,,
2022-12,爱奇艺,75.0,亿次,50.5,小时,53.0,部,30.0,部,瑞华咨询,https://www.ruihua.com,,
