年月,企业,直营收入占比,单位,经销收入占比,单位.1,电商收入占比,单位.2,前五大客户占比,单位.3,最大客户占比,单位.4,采集来源,来源链接,采集时间,备注
2022,Nike,35.0,%,50.0,%,15.0,%,72.0,%,20.0,%,Nike官方网站,https://www.nike.com,,
2023,Zara,28.0,%,57.0,%,15.0,%,65.0,%,18.0,%,Inditex集团年报,https://www.inditex.com,,
2022,Adidas,30.0,%,45.0,%,25.0,%,80.0,%,12.0,%,Adidas年度报告,https://www.adidas.com,,
2023,Forever 21,15.0,%,55.0,%,30.0,%,10.0,%,5.0,%,Forever 21官方网站,https://www.forever21.com,,
2022,Lululemon,60.0,%,30.0,%,10.0,%,90.0,%,25.0,%,Lululemon年度报告,https://www.lululemon.com,,
2023,H&M,27.0,%,50.0,%,23.0,%,62.0,%,12.0,%,H&M集团年度财务报告,https://www.hmgroup.com,,
2022,Mango,32.0,%,53.0,%,15.0,%,55.0,%,10.0,%,Mango官网,https://shop.mango.com,,
2023,Puma,40.0,%,40.0,%,20.0,%,75.0,%,15.0,%,Puma财务官网,https://about.puma.com,,
2022,Uniqlo,33.0,%,40.0,%,27.0,%,20.0,%,5.0,%,优衣库官网,https://www.uniqlo.com,,
2023,Lands' End,29.0,%,61.0,%,10.0,%,36.0,%,9.0,%,Lands' End官网,https://www.landsend.com,,
2022,Ivy Park,25.0,%,50.0,%,25.0,%,45.0,%,11.0,%,Ivy Park官方,https://www.ivypark.com,,
2023,American Eagle,30.0,%,50.0,%,20.0,%,67.0,%,13.0,%,American Eagle年度报告,https://www.ae.com,,
2022,Abercrombie & Fitch,20.0,%,55.0,%,25.0,%,65.0,%,15.0,%,Abercrombie年报,https://www.abercrombie.com,,
2023,Billabong,38.0,%,39.0,%,23.0,%,50.0,%,12.0,%,Billabong官网,https://www.billabong.com,,
2022,Old Navy,30.0,%,50.0,%,20.0,%,30.0,%,7.0,%,Old Navy官方网站,https://www.oldnavy.com,,
2022,Roxy,34.0,%,51.0,%,15.0,%,45.0,%,9.0,%,Roxy官网,https://www.roxy.com,,
2023,Cotton On,25.0,%,55.0,%,20.0,%,40.0,%,10.0,%,Cotton On官网,https://cottonon.com,,
2023,ZARA,28.5,%,50.0,%,21.5,%,40.0,%,8.0,%,Inditex年度报告,https://www.inditex.com,,
2022,H&M,35.0,%,45.0,%,20.0,%,55.0,%,9.5,%,H&M官方网站,https://hm.com,,
2023,Nike,32.0,%,38.0,%,30.0,%,50.0,%,15.0,%,Nike Investor Relations,https://investors.nike.com,,
2022,Adidas,40.0,%,35.0,%,25.0,%,45.0,%,10.5,%,Adidas年度报告,https://www.adidas-group.com,,
2022,Forever 21,20.0,%,50.0,%,30.0,%,15.0,%,2.0,%,Forever 21官网,https://www.forever21.com,,
2023,PUMA,42.0,%,30.0,%,28.0,%,30.0,%,12.0,%,PUMA官方财报,https://about.puma.com,,
2021,Lululemon,60.0,%,20.0,%,20.0,%,45.0,%,14.0,%,Lululemon年度报告,https://www.lululemon.com,,
2022,Lee,25.0,%,55.0,%,20.0,%,35.0,%,10.0,%,Lee官方网站,https://www.lee.com,,
2023,Hollister,33.0,%,47.0,%,20.0,%,52.0,%,11.0,%,Abercrombie & Fitch年度报告,https://www.abercrombie.com,,
2022,Gant,30.0,%,40.0,%,30.0,%,25.0,%,7.5,%,Gant财务报告,https://www.gant.com,,
2023,Mango,27.0,%,55.0,%,18.0,%,42.0,%,9.0,%,Mango官方网站,https://shop.mango.com,,
2021,AEO,50.0,%,30.0,%,20.0,%,38.0,%,6.0,%,American Eagle Outfitters财务报告,https://www.aeo-inc.com,,
2022,Benetton,36.0,%,40.0,%,24.0,%,45.0,%,12.0,%,Benetton集团报告,https://www.benetton.com,,
2023,Ochirly,29.0,%,49.0,%,22.0,%,41.0,%,10.5,%,Ochirly官方统计,https://www.ochirly.com,,
2021,UNIQLO,45.0,%,30.0,%,25.0,%,60.0,%,15.0,%,UNIQLO财务报告,https://www.uniqlo.com,,
2022,Van Heusen,28.0,%,52.0,%,20.0,%,48.0,%,14.0,%,Van Heusen官方网站,https://www.vanheusen.com,,
2023,Esprit,36.0,%,44.0,%,20.0,%,20.0,%,8.0,%,Esprit财务报告,https://www.esprit.com,,
