产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注
数控车床,宁波精密机械有限公司,7500,1500,±0.012,±0.006,±0.020,±0.010,浙江省机械工业协会,https://www.zjmachinery.org,,
数控激光切割机,上海激光设备制造有限公司,12000,2000,±0.005,±0.002,±0.015,±0.008,上海市激光技术协会,https://www.shlaser.org,,
数控铣床,广州铣刀机床有限公司,7000,1200,±0.018,±0.009,±0.022,±0.011,广东省机电工程学会,http://www.gdmachine.org,,
数控折弯机,重庆精细机器有限公司,3500,1100,±0.030,±0.012,±0.025,±0.013,重庆市机械工程协会,https://www.cqme.org,,
数控冲床,绍兴冲压科技有限公司,750,1400,±0.040,±0.015,±0.045,±0.020,浙江省冲压技术研究中心,https://www.zjpress.org,,
数控切割机,江苏激光科技有限公司,8000,1600,±0.009,±0.003,±0.020,±0.010,江苏省科技信息网,https://www.jstsi.org,,
数控铣床,北京数控机床有限公司,8000,1000,±0.014,±0.007,±0.022,±0.011,北京市机械工程协会,https://www.bjme.org,,
数控激光刻印机,昆明激光设备有限公司,9500,800,±0.007,±0.004,±0.014,±0.005,云南省激光科技协会,http://www.yunnanlaser.org,,
数控切削机,武汉精密机械有限公司,20500,900,±0.008,±0.004,±0.017,±0.009,湖北省机电协会,http://www.hbme.org,,
数控铣床,成都高科技机床有限公司,6000,1300,±0.016,±0.007,±0.023,±0.012,四川省机械工程视点,https://www.scmachine.org,,
数控冲床,福州冲压制造有限公司,1200,1100,±0.035,±0.014,±0.038,±0.019,福建省工业协会,https://www.fjindustry.org,,
数控激光切割机,南昌激光工业有限公司,9000,2000,±0.006,±0.002,±0.012,±0.006,江西省激光行业协会,http://www.jxlaser.org,,
数控冲床,哈尔滨精密机床有限公司,700,1400,±0.045,±0.018,±0.035,±0.022,黑龙江省机械制造联盟,http://www.hljsme.org,,
数控磨床,武汉磨具技术有限公司,4500,900,±0.020,±0.008,±0.028,±0.014,湖北省磨具行业协会,https://www.hbgrind.org,,
数控车床,兰州重型机械有限公司,8500,1150,±0.011,±0.005,±0.018,±0.009,甘肃省机电工程学会,http://www.gsmachinery.org,,
数控折弯机,南宁数控设备有限公司,3000,900,±0.027,±0.015,±0.030,±0.018,广西省智能制造协会,http://www.gxsmart.org,,
高速切削机,合肥高速加工有限公司,23000,1000,±0.010,±0.004,±0.016,±0.008,安徽省机电设备制造行业党委,https://www.ahmachinery.org,,
数控车床,上海机械重工有限公司,7500,1500,±0.013,±0.006,±0.022,±0.011,上海市机械行业协会,https://www.shmachinery.org,,
数控铣床,天津精益机械有限公司,12000,800,±0.009,±0.004,±0.017,±0.008,天津市机械工程协会,https://www.tianjinmachinery.com,,
数控磨床,成都数控科技有限公司,10000,1000,±0.015,±0.007,±0.02,±0.009,四川省机械工业协会,https://www.scmi.org,,
数控激光切割机,南京激光设备制造有限公司,5000,1200,±0.021 mm,±0.010 mm,±0.027 mm,±0.015 mm,江苏省激光行业协会,https://www.nanjinglaser.com,,
数控冲床,长沙数控机床制造有限公司,700,1400,±0.030,±0.015,±0.035,±0.018,湖南省机械工程学会,https://www.hunanmech.com,,
数控折弯机,沈阳机床股份有限公司,3000,1050,±0.023,±0.012,±0.028,±0.014,全国机床行业协会,https://www.sytz.com,,
数控木工机械,哈尔滨木业机械有限公司,6000,1100,±0.026,±0.013,±0.023,±0.011,黑龙江省木材加工协会,https://www.hrbwood.com,,
水刀切割机,深圳宏图水刀科技有限公司,9500,1600,±0.015 mm,±0.008 mm,±0.020 mm,±0.010 mm,水切割技术研究院,https://www.waterjet.com,,
数控铣削机床,广州数控科技有限公司,11000,900,±0.011,±0.005,±0.018,±0.007,广东省机械设备制造业协会,https://www.guangzhoucnc.com,,
数控车床,合肥精工机床有限公司,7200,1300,±0.015,±0.008,±0.026,±0.013,安徽省机械工业协会,https://www.hefeimachinery.com,,
数控激光切割机,郑州激光科技有限公司,4200,1250,±0.019,±0.007,±0.029,±0.011,河南省激光产业协会,https://www.zzlaser.com,,
数控磨床,无锡磨具机械有限公司,8500,950,±0.008,±0.004,±0.022,±0.009,无锡市机械制造业协会,https://www.wuximachine.com,,
数控冲床,玉溪数控设备制造有限公司,560,1300,±0.030,±0.010,±0.038,±0.017,云南省机械工程学会,https://www.yuximachine.com,,
数控折弯机,福州机械进出口公司,3200,1150,±0.024,±0.012,±0.027,±0.014,福建省机械工业协会,https://www.fuzhoumachinery.com,,
数控木工机械,厦门木业设备有限公司,4800,1400,±0.025,±0.011,±0.023,±0.012,福建省木材协会,https://www.xmwood.com,,
高速切削机,宁波精密机械制造有限公司,19000,780,±0.006,±0.002,±0.014,±0.006,浙江省智能制造产业协会,https://www.ningbomachine.com,,
数控铣床,东莞精密机电有限公司,11500,1000,±0.010,±0.005,±0.019,±0.007,东莞市机械行业协会,https://www.dongguanmachinery.com,,
数控冲床,烟台机床制造有限公司,580,1200,±0.027,±0.015,±0.039,±0.018,山东省机械工业协会,https://www.yantai-machinery.com,,
数控车床,南京高新制造有限公司,7500,1300,±0.012,±0.005,±0.022,±0.010,江苏省制造业协会,https://www.jiangsumachinery.org,,
数控激光切割机,上海激光设备有限公司,50000,2000,±0.015,±0.006,±0.035,±0.013,中国激光行业协会,https://www.clia.org.cn,,
数控铣床,杭州铣削科技有限公司,12000,900,±0.008,±0.004,±0.020,±0.009,浙江机械行业协会,http://www.zjmachinery.org,,
数控磨床,成都精密工具有限公司,4000,850,±0.020,±0.008,±0.028,±0.011,四川省机械制造协会,https://www.scma.org.cn,,
数控电火花加工机,北京火花机有限公司,3000,600,±0.027,±0.014,±0.042,±0.017,中国电加工协会,https://www.edm.org.cn,,
数控折弯机,宁波机床机械有限公司,4000,1500,±0.018,±0.009,±0.030,±0.015,浙江省机床工具进出口协会,http://www.zjtia.org,,
数控冲床,厦门数控设备有限公司,800,1000,±0.030,±0.018,±0.045,±0.022,福建省机械工业协会,https://www.fjmachinery.com.cn,,
数控激光切割机,天津晨光科技有限公司,60000,2500,±0.005,±0.002,±0.012,±0.005,北京市激光技术研究所,https://www.bjlaser.org.cn,,
数控机床,华东机电集团,10000,1100,±0.015,±0.007,±0.025,±0.012,国家机电产品质量监督检测中心,https://www.cqzj.gov.cn,,
数控木工机械,沈阳木工机械有限公司,4500,1300,±0.020,±0.007,±0.035,±0.018,全国木材机械制造协会,http://www.woodmachinery.org.cn,,
数控铣床,烟台机床厂,11000,1000,±0.010,±0.005,±0.024,±0.011,山东省机械行业联合会,https://www.sdjxh.com,,
数控水刀切割机,青岛切割技术有限公司,8500,1700,±0.016,±0.008,±0.022,±0.009,中国水切割技术协会,https://www.watercutting.org.cn,,
数控磨床,南昌机械科技有限公司,7500,950,±0.019,±0.008,±0.034,±0.016,江西省机械工程学会,http://www.jxmachine.com.cn,,
数控车床,合肥数控机床有限公司,6000,1450,±0.017,±0.009,±0.026,±0.014,安徽省机械制造协会,http://www.ahems.org.cn,,
数控多功能加工中心,武汉多维制造公司,12000,1600,±0.012,±0.006,±0.024,±0.011,湖北省机械工业联合会,http://www.hbjit.org.cn,,
数控折弯机,长春机器研究所,4000,900,±0.021,±0.009,±0.015,±0.008,吉林省机械工程学会,https://www.jlme.org.cn,,
数控冲床,青岛数控机床有限公司,900,800,±0.025,±0.012,±0.040,±0.020,国家数控机床质量监督中心,https://www.ncqc.org.cn,,
数控磨床,昆明精密机床公司,7000,1200,±0.014,±0.007,±0.021,±0.010,云南省机械协会,http://www.ynmch.org.cn,,
数控铣床,宁波机械制造有限公司,4500,950,±0.012,±0.005,±0.02,±0.010,浙江省机床行业协会,https://www.zjmachinery.org,,
数控冲床,成都冲压技术有限公司,800,1300,±0.030,±0.015,±0.035,±0.020,四川省机械行业协会,http://www.scme.org,,
