年份,国家,机床类,最小切割厚度,机床热度,点位控制金属微细切削,采集来源,来源链接,采集时间,备注
2023-11-15,美国,高精密数控车床,1.5,中,支持,美国机械制造商协会,https://www.sme.org,,
2023-08-22,德国,激光切割机,0.7,高,支持,德国机械工程学会,https://www.vdma.org,,
2024-04-10,中国,多轴数控加工中心,5.0,高,支持,中国数控机床及设备协会,https://www.cnc.org.cn,,
2023-12-05,法国,电火花加工机,0.1,中,支持,法国机械制造协会,https://www.afm.fr,,
2023-09-30,瑞士,超精密数控磨床,0.02,高,支持,瑞士机床协会,https://www.swissmechanic.ch,,
2024-01-15,加拿大,高效能数控铣床,1.0,高,支持,加拿大制造商协会,https://www.cme-bc.ca,,
2023-10-20,西班牙,高级数控冲床,4.0,中,支持,西班牙工程师协会,https://www.caminos.org,,
2023-11-10,澳大利亚,数控带锯,3.0,中,支持,澳大利亚机械工程协会,https://www.engineersaustralia.org.au,,
2024-02-05,新加坡,自动化数控切割机,2.0,高,支持,新加坡机械工程协会,https://www.singaporeme.org,,
2024-03-01,巴西,数控磨床,2.5,中,支持,巴西机械工程师协会,https://www.abimaq.org.br,,
2024-05-15,印度,数控激光切割机,0.5,高,支持,印度机械行业协会,https://www.imtma.in,,
2024-06-22,阿根廷,五轴数控加工中心,7.5,中,支持,阿根廷机械制造商协会,https://www.cma.org.ar,,
2023-07-19,南非,多功能数控机床,1.2,中,支持,南非机械制造协会,https://www.sami.org.za,,
2024-04-18,俄罗斯,激光雕刻机,0.3,中,支持,俄罗斯机械工程协会,https://www.mem.ru,,
2024-01-28,希腊,数控水刀切割机,1.0,高,支持,希腊工业四方合作组织,https://www.grieksebusinessdirectory.com,,
2023-10-11,荷兰,高端数控铣床,0.4,高,支持,荷兰机械制造协会,https://www.nvbm.nl,,
2024-02-22,瑞典,电动数控切割机,1.5,中,支持,瑞典机械协会,https://www.svenskamaklarforbundet.se,,
2023-11-15,德国,数控铣床,1.5,中,支持,德国机械制造协会,https://www.vdma.org,,
2023-07-20,瑞士,高精度数控车床,0.1,高,支持,瑞士制造协会,https://www.swissmechanic.ch,,
2024-01-10,美国,高效能数控激光切割机,0.8,高,支持,美国机械工程师学会,https://www.asme.org,,
2024-04-05,法国,数控水刀切割机,15.0,低,支持,法国机械及工业协会,https://www.symop.com,,
2023-09-16,中国,全自动数控冲孔机,3.0,高,支持,中国机床工具工业协会,https://www.cmmt.org.cn,,
2023-05-28,澳大利亚,精密切割机,0.05,中,支持,澳大利亚制造业协会,https://www.amwu.org.au,,
2023-12-03,新加坡,数控加工中心,0.25,中,支持,新加坡机械协进会,https://www.sgmechanical.org,,
2024-02-12,巴西,数控折弯机,10.0,中,支持,巴西机械制造商协会,https://www.abraman.org.br,,
2023-08-25,印度,数控钻床,6.0,中,支持,印度机械工程协会,https://www.imeindia.in,,
2024-05-07,南非,多轴数控加工机,0.5,低,支持,南非工程师协会,https://www.chamberofmines.org.za,,
2024-03-29,西班牙,数控激光刻蚀机,1.0,中,支持,西班牙机械工程联盟,https://www.sme.es,,
2024-07-18,俄罗斯,数控车铣复合机,4.0,高,支持,俄罗斯机械工业协会,https://www.rusmash.ru,,
2023-10-22,加拿大,数控电火花加工机,0.15,中,支持,加拿大机械制造协会,https://www.cme-mec.ca,,
2023-11-30,瑞典,专用数控切削机,2.0,低,支持,瑞典机械工程学会,https://www.sve.se,,
2024-08-14,挪威,激光熔化沉积机,5.0,中,支持,挪威制造协会,https://www.norskprod.no,,
2024-09-01,芬兰,数控切割技术平台,0.75,高,支持,芬兰机械工程协会,https://www.finnishmachinery.fi,,
2023-11-15,美国,高速度加工中心,1.0,中,支持,美国机械制造协会,https://www.nam.org,,
2024-01-30,德国,高精度数控车床,0.5,高,支持,德国机床工业协会,https://www.vdw.de,,
2023-12-20,中国,数控铣床,4.0,中,支持,中国机床工具工业协会,https://www.cmtba.org.cn,,
2024-05-05,瑞士,高效数控磨床,0.1,高,支持,瑞士机械工程师协会,https://www.swissmechanic.ch,,
2024-03-15,法国,多尺寸数控切割机,0.4,中,支持,法国机械制造协会,https://www.mecatronic.fr,,
2024-07-01,印度,数控激光切割机,3.0,高,支持,印度机床协会,https://www.imtma.in,,
2023-08-10,巴西,数控铣削中心,2.8,中,支持,巴西机械工程协会,https://www.abimaq.org.br,,
2024-02-05,韩国,自动化数控车床,0.6,高,支持,韩国机械产业协会,https://www.kims.or.kr,,
2023-10-30,加拿大,数控冲床,1.5,中,支持,加拿大制造业协会,https://www.cme-abc.ca,,
2024-04-22,澳大利亚,精密激光切割机,0.7,高,支持,澳大利亚机械工程协会,https://www.amca.com.au,,
2023-09-25,新加坡,数控加工设备,0.9,中,支持,新加坡制造业协会,https://www.sgmanufacturers.com,,
2024-06-11,西班牙,五轴数控机床,3.5,高,支持,西班牙机床协会,https://www.afm.es,,
2024-08-20,俄罗斯,CNC电火花加工机,2.2,高,支持,俄罗斯机械协会,https://www.machinery.ru,,
2023-07-15,南非,经济型数控机床,1.2,低,支持,南非机械制造协会,https://www.samme.org.za,,
2024-09-14,阿根廷,高效能数控激光切割机,2.9,中,支持,阿根廷机械工程师协会,https://www.aimea.org.ar,,
2023-10-17,丹麦,低能耗数控磨床,0.03,中,支持,丹麦机械制造协会,https://www.danishmachinery.dk,,
2023-04-15,德国,高性能数控铣床,0.5,高,支持,德国机械工业联合会,https://www.vdma.org,,
2023-11-01,美国,数控电火花加工机,0.1,中,支持,美国制造业协会,https://www.nam.org,,
2024-01-10,法国,激光切割机,7.5,高,支持,法国机械制造协会,https://www.symop.com,,
2023-09-22,瑞士,数控磨床,0.2,中,支持,瑞士机械工程协会,https://www.swissmechanics.org,,
2024-05-15,加拿大,数控转塔铣床,0.7,低,支持,加拿大机械制造商协会,https://www.cme-mec.ca,,
2023-12-30,西班牙,数控激光切割机,2.8,高,支持,西班牙金属加工协会,https://www.amef.org,,
2023-10-15,巴西,数控加工中心,4.5,中,支持,巴西制造业协会,https://www.abimaq.org.br,,
2024-02-22,印度,数控车床,0.8,高,支持,印度机械行业协会,https://www.imtma.in,,
2023-03-05,澳大利亚,端面铣削机,1.0,中,支持,澳大利亚制造业协会,https://www.aim.org.au,,
2024-06-01,新加坡,多轴加工中心,3.2,高,支持,新加坡机械工程协会,https://www.sma.org.sg,,
2023-05-15,南非,数控冲床,1.5,中,支持,南非机械与工程协会,https://www.saimm.co.za,,
2024-08-20,俄罗斯,数控锯床,6.0,中,支持,俄罗斯机械工程协会,https://www.rosmet.org,,
2023-07-18,挪威,数控加工车床,0.6,低,支持,挪威机械制造协会,https://www.maskinentreprenor.no,,
2024-04-10,墨西哥,六轴机器手臂,2.4,高,支持,墨西哥制造商协会,https://www.camimex.org,,
2024-09-25,阿根廷,数控铣床,1.2,中,支持,阿根廷机械工业协会,https://www.adimra.org.ar,,
2023-10-30,土耳其,数控线切割机,1.8,高,支持,土耳其机械行业协会,https://www.tumtas.org.tr,,
2023-12-15,智利,数控精密车床,0.4,中,支持,智利机械与金属协会,https://www.cmmchile.cl,,
2023-05-15,德国,高精度数控铣床,1.5,高,支持,德国机械制造协会,https://www.vdma.org,,
2023-07-22,美国,复合型数控车床,0.6,中,支持,美国制造业协会,https://www.nam.org,,
2024-04-30,瑞士,超声波数控切割机,0.8,高,支持,瑞士机床协会,https://www.swissmem.ch,,
2023-11-10,中国,激光回弹传感器机床,4.0,中,支持,中国科学技术协会,https://www.cast.org.cn,,
2024-01-15,韩国,激光焊接切割机,1.2,高,支持,韩国制造业研究院,https://www.kimma.or.kr,,
2024-02-01,法国,高性能数控铣削机,0.1,高,支持,法国机械协会,https://www.symop.com,,
2024-03-20,加拿大,数控减速机加工机,0.2,中,支持,加拿大机械设备协会,https://www.cme-mec.ca,,
2023-12-05,新加坡,智能化数控加工系统,0.7,中,支持,新加坡工程学会,https://www.singaporeengineers.org,,
2024-05-22,巴西,高效能五轴机床,3.5,高,支持,巴西机械和设备委员会,https://www.abimaq.org.br,,
2023-08-18,西班牙,轻型数控激光切割机,0.9,高,支持,西班牙机械制造商协会,https://www.anmape.es,,
2024-02-10,印度,多功能数控铣床,1.0,中,支持,印度机械工程协会,https://www.ime.org.in,,
2024-06-15,澳大利亚,数控管切割机,5.5,中,支持,澳大利亚制造业协会,https://www.amgc.org.au,,
2023-10-30,南非,精密数控磨床,0.4,高,支持,南非机械工程协会,https://www.sampec.org.za,,
2024-01-05,以色列,电火花加工机,0.5,中,支持,以色列制造业协会,https://www.ime.org.il,,
2023-09-28,俄罗斯,数控激光焊接机,6.0,中,支持,俄罗斯机械工业协会,https://www.remhid.ru,,
2024-05-05,新西兰,自动化数控车床,0.25,高,支持,新西兰工程协会,https://www.engineeringnz.com,,
2023-10-12,阿根廷,数控铣削机,2.8,高,支持,阿根廷机械制造者协会,https://www.adimra.org.ar,,
2023-12-15,美国,高精度数控铣床,1.0,高,支持,美国机床制造协会,https://www.sme.org/,,
2024-01-10,德国,数控车床,0.5,中,支持,德国机械制造协会,https://www.vdma.org,,
2024-07-21,中国,五轴联动数控中心,4.0,高,支持,中国机械工业联合会,https://www.cmif.org.cn,,
2023-11-05,瑞士,精密光纤激光切割机,0.8,中,支持,瑞士机械工程协会,https://www.swissmechanics.ch,,
2024-03-15,加拿大,数控冲床,2.0,高,支持,加拿大机床技术协会,https://www.cmtc.ca,,
2024-05-30,法国,数控切割机,3.5,中,支持,法国金属加工业工会,https://www.syndicats.org,,
2023-08-10,西班牙,高效数控钻床,1.2,中,支持,西班牙机械工程协会,https://www.ciri.es,,
2024-02-05,比利时,数控磨床,0.1,高,支持,比利时制造联盟,https://www.federgon.be,,
2024-04-18,荷兰,高端数控切割机,7.0,高,支持,荷兰工程技术协会,https://www.nlint.org,,
2023-10-30,新加坡,数控激光切割机,1.5,中,支持,新加坡制造业理事会,https://www.smf.sg,,
2024-06-24,澳大利亚,多功能数控加工中心,0.3,中,支持,澳大利亚制造业协会,https://www.amca.com.au,,
2024-05-05,巴西,数控车床,0.6,中,支持,巴西机械工程协会,https://www.abimaq.org.br,,
2023-09-15,印度,大型数控加工平台,5.5,高,支持,印度机械制造协会,https://www.imma.co.in,,
2023-07-04,瑞典,数控磨床,0.2,中,支持,瑞典制造业理事会,https://www.teknikforetagen.se,,
2024-08-12,阿根廷,数控激光切割机,1.8,高,支持,阿根廷机械工程协会,https://www.adimra.org.ar,,
2023-11-21,俄罗斯,高效能数控切割机,0.9,中,支持,俄罗斯机床制造商协会,https://www.metalworking.ru,,
2024-09-15,南非,五轴数控加工中心,4.4,中,支持,南非制造商协会,https://www.namc.co.za,,
2023-08-15,德国,高精度数控车床,0.5,高,支持,德国机械工程协会,https://www.vdma.org,,
2024-01-10,美国,数控铣床,1.0,中,支持,美国机床制造商协会,https://www.amtonline.org,,
2024-03-25,中国,数控切割机,8.0,高,支持,中国数控机床行业协会,https://www.cnc.org.cn,,
2023-12-05,法国,激光焊接机,0.1,中,支持,法国机电一体化协会,https://www.syntec.fr,,
2025-05-30,瑞士,磨床,0.02,高,支持,瑞士制造商协会,https://www.swissmem.ch,,
2024-07-18,加拿大,智能数控机床,0.7,高,支持,加拿大机床与计算机数控协会,https://www.cmc.ca,,
2023-11-12,巴西,数控激光切割机,5.0,中,支持,巴西机械工程协会,https://www.abimaq.org.br,,
2023-10-22,澳大利亚,多轴数控加工机,2.0,中,支持,澳大利亚制造业协会,https://www.australianmanufacturing.com.au,,
2024-02-15,荷兰,高速切削机,0.5,高,支持,荷兰机械工程协会,https://www.nmt.nl,,
2023-05-06,新加坡,高效切割中心,9.0,高,支持,新加坡制造委员会,https://www.smf.sg,,
2024-04-20,印度,数控激光刻蚀机,4.0,中,支持,印度机械制造协会,https://www.imma.org.in,,
2023-09-28,西班牙,数控铣床,1.5,高,支持,西班牙机床制造商协会,https://www.amaf.de,,
2025-01-05,南非,多功能数控设备,0.8,高,支持,南非机械工程协会,https://www.metalworkingnews.co.za,,
2024-10-10,挪威,激光切割与焊接机,0.4,中,支持,挪威金属加工协会,https://www.nordicmanufacturing.no,,
2023-07-15,俄罗斯,精密数控磨床,0.06,高,支持,俄罗斯机械工程联合会,https://www.metalworking.ru,,
2025-03-30,阿根廷,数控激光切割机,6.0,高,支持,阿根廷机械设备制造商协会,https://www.camm.com.ar,,
2023-11-15,德国,激光雕刻机,1.5,中,支持,德国机械制造协会,https://www.vdma.org,,
2024-05-22,美国,高速数控铣床,3.5,高,支持,美国制造业协会,https://www.nam.org,,
2024-01-10,中国,数控锯切机,4.0,高,支持,中国机电产品进出口商会,https://www.ccpit.org,,
2023-07-18,法国,多轴数控机床,2.2,中,支持,法国机械制造业协会,https://www.secopar.com,,
2024-03-05,瑞士,超声波清洗机,0.01,中,不支持,瑞士机械工程协会,https://www.swissmechanics.ch,,
2024-02-15,日本,超高速度数控车床,0.5,高,支持,日本金属加工协会,https://www.jmta.or.jp,,
2023-08-30,加拿大,数控铣削机,1.8,高,支持,加拿大制造业联合会,https://www.cme-mec.ca,,
2024-04-20,巴西,精密切割机,1.0,中,支持,巴西机械制造业协会,https://www.abimaq.org.br,,
2024-06-01,新加坡,智能数控刀具,0.7,高,支持,新加坡制造业协会,https://www.snef.org.sg,,
2023-12-30,印度,CNC镗床,6.0,中,支持,印度机械工程协会,https://www.imeindia.in,,
2023-05-14,瑞典,数控电火花机,0.03,低,支持,瑞典工业协会,https://www.svenskindustriforening.se,,
2024-07-15,丹麦,数控车铣复合机,0.04,中,支持,丹麦制造商协会,https://www.danskemaskinmekaniker.dk,,
2023-10-25,南非,多功能雕刻机,2.0,中,支持,南非机械工程师协会,https://www.nsme.co.za,,
2024-08-02,澳大利亚,高精度数控切割机,5.5,高,支持,澳洲机械工程协会,https://www.engineersaustralia.org.au,,
