机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
纳米加工中心,0.002,±0.005 μm,Ra < 0.007 μm,高,7.0,g,纳米制造技术协会,http://www.nano-manufacturing.org,,
激光切割机,0.005,±0.01 μm,Ra < 0.006 μm,中,4.5,g,国际激光工业协会,http://www.laser-industries.org,,
超精密电火花成型机,0.005,±0.002 μm,Ra < 0.003 μm,高,6.5,g,中国电火花制造协会,http://www.edm.org.cn,,
三维打印机,0.01,±0.02 μm,Ra < 0.01 μm,中,4.0,g,增材制造研究中心,http://www.additive-manufacturing.org,,
超精密光刻机,0.003,±0.001 μm,Ra < 0.002 μm,高,8.0,g,半导体制造协会,http://www.semi.org,,
超精密磨削机,0.007,±0.008 μm,Ra < 0.016 μm,中,4.2,g,机床及磨具工业协会,http://www.grinding.org.cn,,
超精密抛光机,0.009,±0.007 μm,Ra < 0.005 μm,高,5.5,g,磨削与抛光技术研究院,http://www.polishingtech.org,,
超精密齿轮加工机,0.004,±0.003 μm,Ra < 0.012 μm,高,6.0,g,齿轮制造技术协会,http://www.geartech.org,,
超快激光加工机,0.002,±0.002 μm,Ra < 0.009 μm,高,7.0,g,高能激光研究所,http://www.highpowerlaser.org,,
超薄膜涂层机,0.006,±0.006 μm,Ra < 0.017 μm,中,3.5,g,薄膜技术工程协会,http://www.filmtech.org,,
超精密激光切削机,0.003,±0.005 μm,Ra < 0.003 μm,高,7.5,g,国际光电激光工程学会,http://www.oemlasers.org,,
超精密复合加工机,0.006,±0.004 μm,Ra < 0.008 μm,中,4.8,g,复合加工技术研究中心,http://www.composite-machining.org,,
超硬材料切割机,0.004,±0.002 μm,Ra < 0.004 μm,高,8.0,g,超硬材料研究所,http://www.superhard.org,,
电子束焊接机,0.003,±0.002 μm,Ra < 0.005 μm,高,6.5,g,电子束技术中心,http://www.e-beam.org,,
超新材料切削机,0.008,±0.006 μm,Ra < 0.020 μm,中,4.3,g,新材料应用技术协会,http://www.new-materials.org,,
3D高速切割机,0.005,±0.004 μm,Ra < 0.011 μm,高,5.6,g,高速切削技术论坛,http://www.highspeedslicing.org,,
超精密变形机,0.007,±0.006 μm,Ra < 0.015 μm,中,5.0,g,加工科技发展中心,http://www.processingtech.org,,
精密颗粒制造机,0.005,±0.001 μm,Ra < 0.002 μm,高,6.0,g,颗粒技术协会,http://www.particle-tech.org,,
激光切割机,0.012,±0.02 μm,Ra < 0.006 μm,高,5.5,g,全联机床设备行业协会,https://www.cma.org.cn,,
超精密铣削机,0.005,±0.02 μm,Ra < 0.007 μm,高,7.0,g,中国机械工程学会,https://www.cmes.org,,
超精密电火花加工中心,0.007,±0.004 μm,Ra < 0.003 μm,中,6.0,g,中国电力设备管理协会,https://www.cdlg.org.cn,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.005 μm,高,6.5,g,中国激光产业技术创新战略联盟,https://www.cltta.org.cn,,
超精密磨削机,0.008,±0.006 μm,Ra < 0.012 μm,中,5.0,g,中国磨料磨具协会,https://www.cba.org.cn,,
超精密数控车床,0.004,±0.007 μm,Ra < 0.002 μm,高,9.0,g,国家数控机床标准化技术委员会,https://www.ccmt.org.cn,,
超精密水刀切割机,0.016,±0.025 μm,Ra < 0.015 μm,中,3.5,g,中国机械制造业协会,https://www.cmmi.org.cn,,
超精密三维打印机,0.002,±0.002 μm,Ra < 0.001 μm,高,8.0,g,中国增材制造产业技术创新战略联盟,https://www.camt.org.cn,,
超精密放电加工机,0.006,±0.005 μm,Ra < 0.009 μm,中,4.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密抛光机,0.007,±0.003 μm,Ra < 0.007 μm,高,6.5,g,中国表面工程协会,https://www.cses.org.cn,,
超精密快速成型机,0.004,±0.005 μm,Ra < 0.005 μm,中,7.5,g,中国制造业数字化转型促进中心,https://www.cmdcenter.org,,
超精密微切割机,0.003,±0.001 μm,Ra < 0.001 μm,高,8.5,g,中国微纳制造技术研究院,https://www.mntia.org.cn,,
超精密电子束加工机,0.008,±0.004 μm,Ra < 0.006 μm,高,7.0,g,国家电子束加工技术委员会,https://www.electrontool.org.cn,,
超精密线切割机,0.009,±0.002 μm,Ra < 0.003 μm,中,5.5,g,中国线切割技术研究院,https://www.wirecutting.org.cn,,
数控激光焊接机,0.005,±0.003 μm,Ra < 0.002 μm,高,6.0,g,中国焊接协会,https://www.welding.org.cn,,
超精密成型机,0.007,±0.006 μm,Ra < 0.009 μm,中,4.0,g,中国高新技术产业协会,https://www.hightech.org.cn,,
超精密气动切割机,0.001,±0.001 μm,Ra < 0.001 μm,高,10.0,g,中国气动技术协会,https://www.pneumatic.org.cn,,
超精密冲压机,0.007,±0.005 μm,Ra < 0.012 μm,高,7.0,g,中国机械制造产业联盟,https://www.cmmi.org.cn,,
超精密五轴加工中心,0.005,±0.002 μm,Ra < 0.007 μm,高,10.0,g,中国高精度工具科技协会,https://www.cgtia.org,,
超精密激光切割机,0.003,±0.008 μm,Ra < 0.006 μm,中,4.5,g,中国激光技术产业协会,https://www.cltia.org,,
超精密铣削机,0.002,±0.004 μm,Ra < 0.002 μm,高,12.0,g,国家金属加工协会,https://www.nmpa.org.cn,,
超精密超声波加工机,0.008,±0.006 μm,Ra < 0.015 μm,中,5.5,g,中国超声波技术研究院,https://www.usresearch.org,,
超精密数控机床,0.006,±0.003 μm,Ra < 0.009 μm,高,8.5,g,中国机械科学研究院,https://www.cams.org.cn,,
超精密热处理设备,0.005,±0.002 μm,Ra < 0.001 μm,高,6.0,g,中国工业炉协会,http://www.cifa.org.cn,,
超精密电子束束流工艺机,0.004,±0.001 μm,Ra < 0.003 μm,高,9.5,g,国家电子工业标准化技术委员会,https://www.nei.sg,,
超精密钻孔机,0.009,±0.01 μm,Ra < 0.020 μm,中,3.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
超精密气动切削机,0.005,±0.007 μm,Ra < 0.008 μm,中,4.0,g,中国气动工具协会,http://www.cpai.org.cn,,
超精密滤波器制造机,0.01,±0.006 μm,Ra < 0.005 μm,高,5.8,g,中国过滤技术研究会,https://www.cfrp.com.cn,,
超精密切割片制造机,0.002,±0.005 μm,Ra < 0.011 μm,高,7.0,g,中国切削工具协会,https://www.cuttingtools.org.cn,,
超精密电火花成形机,0.007,±0.004 μm,Ra < 0.009 μm,中,4.0,g,中国电火花加工技术协会,https://www.edm.org.cn,,
超精密仿生切割机,0.008,±0.002 μm,Ra < 0.012 μm,中,6.0,g,中国仿生技术与应用协会,https://www.bionic.org.cn,,
超精密陶瓷加工机,0.003,±0.003 μm,Ra < 0.017 μm,高,5.5,g,中国陶瓷工艺协会,http://www.ceramic.org.cn,,
超精密锻造机,0.004,±0.003 μm,Ra < 0.013 μm,高,8.0,g,中国锻造协会,http://www.chinafb.org,,
超精密切削机器人,0.008,±0.006 μm,Ra < 0.014 μm,高,7.8,g,国家智能制造技术创新中心,https://www.nimc.org.cn,,
超精密喷墨打印机,0.005,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国电子科技集团有限公司,https://www.cetc.com.cn,,
超精密电铣床,0.004,±0.004 μm,Ra < 0.007 μm,中,5.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
超精密激光切割机,0.002,±0.005 μm,Ra < 0.006 μm,高,8.0,g,中国激光行业协会,https://www.clia.org.cn,,
超精密立铣机,0.007,±0.002 μm,Ra < 0.012 μm,高,6.5,g,中国先进制造技术协会,http://www.camt.org.cn,,
超精密坐标磨床,0.006,±0.002 μm,Ra < 0.005 μm,中,4.5,g,中国工业技术研究院,https://www.citr.cn,,
超精密复合加工中心,0.003,±0.004 μm,Ra < 0.009 μm,高,7.5,g,全国机床工具标准化技术委员会,http://www.nbsa.org,,
超精密磨削机,0.008,±0.001 μm,Ra < 0.002 μm,高,6.0,g,中国机械科学研究院,https://www.cmsri.cn,,
超精密电刀,0.002,±0.003 μm,Ra < 0.004 μm,中,5.0,g,中国国防科技工业局,http://www.mod.gov.cn,,
超精密激光装配机,0.001,±0.001 μm,Ra < 0.002 μm,高,8.5,g,中国激光装备协会,http://www.clia.org.cn,,
超精密超声加工机,0.003,±0.002 μm,Ra < 0.006 μm,中,4.0,g,中国超声波技术学会,http://www.cuws.org.cn,,
超精密3D打印机,0.005,±0.002 μm,Ra < 0.007 μm,高,7.0,g,3D打印技术协会,https://www.3dprint.org.cn,,
超精密镜片加工机,0.007,±0.003 μm,Ra < 0.008 μm,中,5.0,g,中国光学工程学会,http://www.cos.org.cn,,
超精密切削机,0.009,±0.006 μm,Ra < 0.01 μm,中,3.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密气动铣床,0.004,±0.005 μm,Ra < 0.003 μm,高,6.0,g,中国气动技术协会,http://www.pneumatics.org.cn,,
超精密激光清洗机,0.002,±0.002 μm,Ra < 0.005 μm,高,9.0,g,中国环境保护部,http://www.mep.gov.cn,,
超精密切削磨床,0.007,±0.004 μm,Ra < 0.002 μm,中,4.5,g,中国磨具磨料工业协会,http://www.cabia.org.cn,,
超精密微机械加工机,0.001,±0.0005 μm,Ra < 0.001 μm,高,10.0,g,中国微机械制造协会,http://www.mms.org.cn,,
光纤激光切割机,0.006,±0.005 μm,Ra < 0.007 μm,高,7.0,g,中国激光行业协会,https://www.chinalaser.org,,
超精密电磨机,0.007,±0.004 μm,Ra < 0.003 μm,高,6.5,g,国际机械制造协会,http://www.immca.org,,
超精密纳米铣床,0.002,±0.001 μm,Ra < 0.002 μm,高,8.0,g,中国国家标准化管理委员会,http://www.sac.gov.cn,,
薄膜沉积机,0.004,±0.003 μm,Ra < 0.006 μm,中,4.5,g,上海光电技术研究所,http://www.sopt.org.cn,,
超精密水刀切割机,0.012,±0.02 μm,Ra < 0.009 μm,中,5.0,g,中国机械制造工程学会,https://www.cme.org.cn,,
核心部件精雕机,0.005,±0.002 μm,Ra < 0.004 μm,高,7.2,g,国家新材料发展中心,https://www.nmdc.org.cn,,
超精密磨削中心,0.003,±0.002 μm,Ra < 0.005 μm,高,6.0,g,全国工业设备标准化技术委员会,http://www.nesd.org.cn,,
