机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注
光纤激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国激光技术研究院,https://www.cltr.org.cn,,
电火花切割机,0.07,mm,±0.15 mm,Ra 2.9,中,3.2,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
YAG激光切割机,0.03,mm,±0.04 mm,Ra 1.8,高,7.5,g,中国科技部,https://www.most.gov.cn,,
CO2激光切割机,0.035,mm,±0.06 mm,Ra 2.5,中,4.4,g,国际焊接与切割协会,https://www.iwelding.org,,
等离子切割机,0.09,mm,±0.2 mm,Ra 3.5,中,3.8,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.1,mm,±0.3 mm,Ra 5.2,低,2.5,g,中国数控技术协会,https://www.cnc.org.cn,,
激光水刀切割机,0.022,mm,±0.05 mm,Ra 1.5,高,6.2,g,中国水射流协会,https://www.wjcta.org.cn,,
YAG激光切割机,0.028,mm,±0.03 mm,Ra 2.0,高,5.5,g,工业和信息化部,https://www.miit.gov.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.7,中,4.0,g,中国科学技术协会,https://www.cast.org.cn,,
光纤激光切割机,0.008,mm,±0.01 mm,Ra 0.7,高,9.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
电火花切割机,0.06,mm,±0.1 mm,Ra 3.1,较低,3.0,g,中国标准化协会,https://www.sac.gov.cn,,
等离子切割机,0.085,mm,±0.2 mm,Ra 4.2,中,3.6,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
数控火焰切割机,0.1,mm,±0.25 mm,Ra 4.9,中,2.8,g,中国机械工程协会,https://www.cmech.org.cn,,
激光水刀切割机,0.015,mm,±0.012 mm,Ra 1.4,高,6.8,g,东方水射流技术研究中心,https://www.eastwj.org.cn,,
光纤激光切割机,0.02,mm,±0.01 mm,Ra 0.9,高,7.2,g,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.04,mm,±0.07 mm,Ra 2.6,低,3.1,g,中国自动化学会,https://www.caa.org.cn,,
YAG激光切割机,0.038,mm,±0.045 mm,Ra 1.9,高,5.7,g,国家机械工业局,https://www.nmic.gov.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.9,高,6.5,g,全国金属加工机械协会,https://www.nmpia.org.cn,,
电火花切割机,0.045,mm,±0.08 mm,Ra 2.5,中,4.0,g,中国电气工程学会,https://www.cees.org.cn,,
等离子切割机,0.12,mm,±0.30 mm,Ra 5.0,低,2.5,g,中国焊接协会,https://www.cwa.org.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.7,高,9.0,g,中国光电技术协会,https://www.copt.org.cn,,
激光水刀切割机,0.012,mm,±0.010 mm,Ra 1.1,高,8.5,g,中国水利学会,https://www.cws.org.cn,,
YAG激光切割机,0.028,mm,±0.040 mm,Ra 2.0,中,5.8,g,中国机械工业协会,https://www.cmia.org.cn,,
数控火焰切割机,0.075,mm,±0.15 mm,Ra 4.2,中,3.0,g,中国数控机床协会,https://www.cncma.org.cn,,
光纤激光切割机,0.01,mm,±0.015 mm,Ra 1.5,高,7.2,g,全国光纤制造协会,https://www.fibertech.org.cn,,
激光水刀切割机,0.015,mm,±0.020 mm,Ra 0.9,高,5.0,g,中国水切割研究中心,https://www.wjrc.org.cn,,
CO2激光切割机,0.035,mm,±0.06 mm,Ra 2.7,中,3.2,g,中国光电学会,https://www.coes.org.cn,,
YAG激光切割机,0.022,mm,±0.035 mm,Ra 1.8,高,6.0,g,中国激光技术研究所,https://www.clti.org.cn,,
电火花切割机,0.055,mm,±0.12 mm,Ra 3.2,低,2.8,g,中国电器工业协会,https://www.ceiia.org.cn,,
等离子切割机,0.1,mm,±0.20 mm,Ra 4.3,低,2.3,g,中国电焊工协会,https://www.cweia.org.cn,,
光纤激光切割机,0.003,mm,±0.002 mm,Ra 0.6,高,10.0,g,国际激光研究中心,https://www.ilrc.org,,
