层级（字符型）,关键作用（字符型）,涉及学科（字符型）,涉及工艺（字符型）,应用领域（字符型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,
感知层,数据采集与环境监测,传感器技术、通信等,传感器、RFID、IoT设备等,智能家居、工业监控等,华为投资控股有限公司,华为技术有限公司,普通用户,PingCode,https://docs.pingcode.com/ask/66028.html,2024-10-10,,,,,,,,,
网络层,数据传输与通信管理,网络通信、计算机等,Wi-Fi、蓝牙、Zigbee等,智能交通、公共安全等,中兴通讯股份有限公司,中兴通讯股份有限公司,企业用户,百度云,https://cloud.baidu.com/article/3061656,2024-10-10,,,,,,,,,
数据层,数据处理与分析,大数据、人工智能等,云计算、数据分析等,智能农业、远程医疗等,阿里巴巴集团控股有限公司,阿里云计算有限公司,企业用户,搜狐,https://www.sohu.com/a/742370721_120159670,2024-10-10,,,,,,,,,
应用层,提供具体业务应用,软件工程、系统集成等,移动应用开发,智能家居、工业物联网等,腾讯控股有限公司,腾讯控股有限公司,普通用户,CSDN,https://blog.csdn.net/weixin_43025343/article/details/134638552,2024-10-10,,,,,,,,,
感知层,数据采集与环境监测,传感器技术、通信等,传感器、RFID、IoT设备等,智能家居、工业监控等,华为,华为技术有限公司,普通用户,知识产权局,https://www.cnipa.gov.cn/,2024-10-10,,,,,,,,,
网络层,数据传输与通信管理,网络通信、计算机等,Wi-Fi、蓝牙、Zigbee等,智能交通、公共安全等,中兴通讯,中兴通讯股份有限公司,企业用户,中国通信学会,https://www.cac.gov.cn/,2024-10-10,,,,,,,,,
数据层,数据处理与分析,大数据、人工智能等,云计算、数据分析等,智能农业、远程医疗等,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,阿里巴巴研究院,https://www.alibabagroup.com/,2024-10-10,,,,,,,,,
应用层,提供具体业务应用,软件工程、系统集成等,移动应用开发,智能家居、工业物联网等,腾讯,腾讯控股有限公司,普通用户,腾讯云,https://cloud.tencent.com/,2024-10-10,,,,,,,,,
控制层,网络资源管理与优化,控制理论、网络管理等,网络优化算法,数据中心管理,华为,华为技术有限公司,企业用户,IEEE,https://www.ieee.org/,2024-10-10,,,,,,,,,
安全层,确保数据传输安全性,网络安全,加密技术,金融服务、电子商务等,中兴通讯,中兴通讯股份有限公司,普通用户,国家网络安全局,https://www.nca.gov.cn/,2024-10-10,,,,,,,,,
