日期,地区,客运方式,客运量,运输量,增长率,单位,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,,
2024-04-01,全球,航空,2023年4月同比增长11%,,11,%,国际航空运输协会 (IATA),https://www.iata.org/contentassets/9b548dd59f854a70ab906a8ee6299e3d/2024-05-30-01-cn.pdf,2024-10-12,,,,,,,,,,,
2023-11-01,美国,航空,同比增长34.8%,,34.8,%,国际航空运输协会 (IATA),https://www.sohu.com/a/754393849_121123704,2024-10-12,,,,,,,,,,,
2023-04-01,中国,航空,同比增长4.0%,,4,%,中国交通运输部,https://www.mot.gov.cn/jiaotonggaikuang/201804/t20180404_3006639.html,2024-10-12,,,,,,,,,,,
2023-11-01,亚太地区,航空,同比增长63.8%,,63.8,%,国际航空运输协会 (IATA),https://www.sohu.com/a/754393849_121123704,2024-10-12,,,,,,,,,,,
2024年Q1,全国,民航,1.8亿,200.7万吨,0.377,人次,中国民用航空局,http://www.caac.gov.cn/XWZX/MHYW/202404/t20240416_223523.html,2024-10-15,,,,,,,,,,,
2024年Q1,全国,铁路,1.6亿,,,人次,中国铁路总公司,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,,,,,,,,,,,
2024年Q1,全国,水路,,,,人次,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-10-15,,,,,,,,,,,
2024-08-01,全球,航空,,,0.284,人次,国际航空运输协会,https://www.iata.org/contentassets/2d2d7638816047a7818246a35611af7c/2023-10-04-01-cn.pdf,2024-10-15,,,,,,,,,,,
2024-01-15,广东省,道路运输,199万,,>2%,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,,,,,,,,,,,
2024-01-15,广东省,铁路运输,72万,,>12%,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,,,,,,,,,,,
2024-01-15,广东省,水路运输,>6万,,>5%,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,,,,,,,,,,,
2024-01-15,广东省,民航,>12万,,,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,,,,,,,,,,,
2024-08-01,全球,航空,,,,人次,国际航空运输协会,https://www.iata.org/contentassets/2d2d7638816047a7818246a35611af7c/2023-10-04-01-cn.pdf,2024-10-15,,,,,,,,,,,
2024年Q1,全国,铁路,,,,人次,中国铁路总公司,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,,,,,,,,,,,
