年份,地区,动力电池需求量,单位,3C电池需求量,单位,储能电池需求量,单位,非电池领域需求量,单位,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,,
2024,中国,346.5,GWh,,,,,,,中国能源网, https://www.china5e.com/news/news-1175902-1.html,2024-10-12,,,,,,,,,,,
2024,中国,340,GWh,,,,,,,电池联盟,https://libattery.ofweek.com/2024-07/ART-36001-8120-30640110.html,2024-10-12,,,,,,,,,,,
2024,中国,203.3,GWh,,,,,,,高工产业研究院,https://www.sohu.com/a/793579048_236796,2024-10-12,,,,,,,,,,,
2024,全球,364.6,GWh,,,,,,,SNE Research,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-10-12,,,,,,,,,,,
2024,全球,346.5,GWh,150,GWh,20,GWh,100,GWh,中国能源网,https://www.china5e.com/news/news-1175902-1.html,2024-10-15,,,,,,,,,,,
2024,中国,340,GWh,90,GWh,15,GWh,50,GWh,搜狐,https://www.sohu.com/a/793579048_236796,2024-10-15,,,,,,,,,,,
2024,全球,364.6,GWh,160,GWh,25,GWh,120,GWh,OFweek,https://libattery.ofweek.com/2024-07/ART-36001-8120-30640110.html,2024-10-15,,,,,,,,,,,
2024,中国,203.3,GWh,70,GWh,10,GWh,30,GWh,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-10-15,,,,,,,,,,,
2024,全球,400,GWh,180,GWh,30,GWh,150,GWh,市场分析机构,https://example.com/market_analysis,2024-10-15,,,,,,,,,,,
2024,中国,300,GWh,85,GWh,12,GWh,45,GWh,高工产业研究院 ,https://www.ggii.com/research_report,2024-10-15,,,,,,,,,,,
