年月,企业,直营收入占比,单位,经销收入占比,单位,电商收入占比,单位,前五大客户占比,单位,最大客户占比,单位,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,
2024,海澜之家,21.3,%,78.7,%,15.7,%,5,%,1,%,聚源,https://www.hangyan.co/reports/3360635721298740460,2024-10-09,安踏，361度，特步，李宁，nike均为上市公司,,,,,,,,,
2024,森马集团,12,%,39,%,47,%,5,%,1,%,万德,https://www.vzkoo.com/read/20240117649606c6a049f5cdaf5f9a74.html,2024-10-09,,,,,,,,,,
2024,太平鸟,59,%,41,%,32,%,3.36,%,1.09,%,万德,https://www.vzkoo.com/document/20231025b027f8192ccecce983acad4f.html,2024-10-09,,,,,,,,,,
2023,李宁,25,%,45.8,%,27.3,%,84.3,%,50.6,%,万德,https://www.hangyan.co/reports/3127680803148924628,2024-10-09,,,,,,,,,,
2023,李宁,25,%,45.8,%,27.3,%,84.3,%,50.6,%,万德,https://www.hangyan.co/reports/3127680803148924628,2024-10-09,,,,,,,,,,
2022,李宁,70,%,30,%,50,%,10,%,5,%,万德,https://www.jiemian.com/article/9908868.html,2024-10-09,,,,,,,,,,
2021,李宁,65,%,35,%,40,%,8,%,3,%,万德,https://xueqiu.com/9508834377/230875185,2024-10-09,,,,,,,,,,
2020,李宁,60,%,40,%,35,%,6,%,2.5,%,万德,https://m.thepaper.cn/newsDetail_forward_26746292,2024-10-09,,,,,,,,,,
2024,特步,22,%,78,%,30,%,5,%,2,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,,,,,,,,,,
2023,特步,21,%,79,%,28,%,4.8,%,1.9,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,,,,,,,,,,
2022,特步,20,%,80,%,25,%,4.5,%,1.8,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,,,,,,,,,,
2021,特步,19,%,81,%,22,%,4.2,%,1.7,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,,,,,,,,,,
2024,361度,22,%,78,%,30,%,5,%,2,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054541614,2024-10-09,,,,,,,,,,
2023,361度,21,%,79,%,28,%,4.8,%,1.9,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054542000,2024-10-09,,,,,,,,,,
2022,361度,20,%,80,%,25,%,4.5,%,1.8,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054542000,2024-10-09,,,,,,,,,,
2021,361度,19,%,81,%,22,%,4.2,%,1.7,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054542000,2024-10-09,,,,,,,,,,
2024,安踏,45,%,10,%,45,%,3.2,%,1.1,%,聚源,https://www.hangyan.co/reports/3360635721298740460,2024-10-09,,,,,,,,,,
2023,安踏,40,%,15,%,40,%,3,%,1,%,聚源,https://www.hangyan.co/reports/3360635721298740000,2024-10-09,,,,,,,,,,
2022,安踏,35,%,20,%,35,%,2.8,%,0.9,%,聚源,https://www.hangyan.co/reports/3360635721298740000,2024-10-09,,,,,,,,,,
2021,安踏,30,%,25,%,30,%,2.5,%,0.8,%,聚源,https://www.hangyan.co/reports/3360635721298740000,2024-10-09,,,,,,,,,,
2021,Nike,37.1,%,58.4,%,,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,,,,,,,,,,
2023,Nike,43.6,%,56.4,%,,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,,,,,,,,,,
2021,Nike,41.9,%,53.7,%,,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,,,,,,,,,,
2021,Nike,40.5,%,56,%,3.5,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,,,,,,,,,,
2024,Nike,41.9,%,54,%,4.1,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,,,,,,,,,,
2024,李宁,40,%,30,%,30,%,70,%,25,%,观远数据,https://www.guandata.com/gy/post/4465.html,2024-10-12,,,,,,,,,,
2024,安踏,35,%,40,%,25,%,65,%,20,%,公司公告,http://m.linkshop.com/article/news/60991,2024-10-12,,,,,,,,,,
