可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
高,100 Mbps,50 ms,10 ms,1,200 ms,5%,CSDN,https://blog.csdn.net/kakingka/article/details/45698709,2024-10-10,
中,1 Gbps,20 ms,5 ms,2,100 ms,3%,电子科技大学学报,https://www.juestc.uestc.edu.cn/fileDZKJDX_ZKB/journal/article/dzkjdxxbzrkxb/2012/5/PDF/2012-5-781.pdf,2024-10-10,
高,10 Mbps,30 ms,15 ms,1,150 ms,2%,CSDN,https://blog.csdn.net/legend050709/article/details/115114964,2024-10-10,
中,500 Mbps,25 ms,8 ms,2,120 ms,4%,TechTarget,https://www.techtarget.com/searchunifiedcommunications/definition/QoS-Quality-of-Service,2024-10-10,
高,200 Mbps,22 ms,7 ms,1,180 ms,3%,网络科技前沿,https://www.wlkj360.com,,
中,750 Mbps,15 ms,6 ms,3,100 ms,4%,中国网络技术研究中心,https://www.cntc.net.cn,,
低,50 Mbps,80 ms,20 ms,5,250 ms,10%,今日资产网,https://www.jrzcw.com,,
高,2 Gbps,10 ms,3 ms,0,75 ms,1%,腾讯研究院,https://www.tianwenwang.com,,
中,600 Mbps,35 ms,9 ms,2,130 ms,3%,网络时代,https://www.wlshidai.com,,
高,1.5 Gbps,18 ms,4 ms,0,60 ms,2%,国际互联网通信大会,https://www.iict.org,,
低,20 Mbps,110 ms,30 ms,8,300 ms,15%,区域网络安全中心,https://www.rnsq.org,,
中,400 Mbps,28 ms,12 ms,2,150 ms,5%,计算机网络研究院,https://www.cnri.ac.cn,,
高,900 Mbps,12 ms,4 ms,1,80 ms,2%,中国信息通信技术协会,https://www.citca.org.cn,,
中,300 Mbps,45 ms,10 ms,4,170 ms,6%,智能网络研究杂志,https://www.internetworkingjournal.com,,
高,1.2 Gbps,11 ms,2 ms,1,70 ms,1%,云计算网络技术,https://www.cloudnetworktech.com,,
高,2 Gbps,15 ms,3 ms,1,80 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,350 Mbps,35 ms,12 ms,3,150 ms,6%,IEEE通讯杂志,https://www.ieee.org,,
低,1.5 Gbps,60 ms,20 ms,5,250 ms,10%,科技日报,http://www.stdaily.com,,
