机器人类型,前进速度,倒退速度,加速速度,减速速度,数据类型,采集来源,来源链接,采集时间,备注【疑问汇总】
移动机器人,1.5 m/s,0.5 m/s,2.0 m/s,1.0 m/s,字符型,论文文献,https://www.xuekanba.com/lunwen/ligong/4-2291.html,2024-10-11,
移动机器人,1.5 m/s,0.5 m/s,2.0 m/s,1.0 m/s,字符型,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-10-11,
服务机器人,1.0 m/s,0.3 m/s,1.5 m/s,0.8 m/s,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-10-11,
工业机器人,2.0 m/s,0.8 m/s,3.0 m/s,1.5 m/s,字符型,教育部,https://www.moe.gov.cn,2024-10-11,
医疗机器人,0.5 m/s,0.2 m/s,1.0 m/s,0.4 m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-10-11,
农业机器人,3.0 m/s,1.0 m/s,4.0 m/s,2.0 m/s,字符型,农业农村部,https://www.moa.gov.cn,2024-10-11,
特种机器人,1.2 m/s,0.6 m/s,2.5 m/s,1.2 m/s,字符型,国家应急管理部,https://www.mem.gov.cn,2024/10/11,
移动机器人,1.8,0.7,2.5,1.2,字符型,国际机器人联盟,https://www.robotics.org,,
服务机器人,1.2,0.4,1.8,1.0,字符型,亚洲机器人技术大会,https://www.artc.org.cn,,
工业机器人,2.5,0.9,3.5,1.8,字符型,机器人研究所,https://www.roboticsinstitute.edu,,
医疗机器人,0.8,0.3,1.5,0.6,字符型,中国医学科学院,https://www.cams.cn,,
农业机器人,3.5,1.2,4.5,2.5,字符型,农业科技创新研究中心,https://www.agriinnovation.org,,
特种机器人,1.5,0.8,2.0,1.3,字符型,国家科技部,https://www.most.gov.cn,,
教育机器人,1.0,0.5,1.2,0.9,字符型,全国教育设备采购中心,https://www.cae.edu.cn,,
清洁机器人,1.6,0.4,2.2,1.1,字符型,中国清洁组织,https://www.clean.org.cn,,
探测机器人,1.9,0.6,2.3,1.4,字符型,国家自然资源部,https://www.mnr.gov.cn,,
物流机器人,2.2,0.8,3.0,1.5,字符型,国家邮政局,https://www.spb.gov.cn,,
移动机器人,2.5,1.0,3.2,2.0,字符型,北京航空航天大学,https://www.buaa.edu.cn,,
服务机器人,1.8,0.7,2.1,1.0,字符型,上海科技大学,https://www.shanghaitech.edu.cn,,
物流机器人,1.9,0.5,2.3,1.2,字符型,阿里巴巴研究院,https://www.alibabaresearch.com,,
教育机器人,1.5,0.4,1.5,0.9,字符型,中国教育部,https://www.moe.gov.cn,,
特种机器人,3.0,1.2,4.5,1.8,字符型,国家安全生产监督管理局,https://www.chinasafety.gov.cn,,
清洁机器人,0.9,0.3,1.1,0.5,字符型,国家标准化管理委员会,http://www.sac.gov.cn,,
农业机器人,4.0,1.5,5.0,2.5,字符型,全国农业技术推广服务中心,http://www.natesc.gov.cn,,
医疗机器人,1.2,0.4,1.3,0.6,字符型,中国卫生信息与健康医疗大数据学会,https://www.cihm.org,,
救援机器人,1.6,0.5,2.2,1.0,字符型,中国红十字会,http://www.redcross.org.cn,,
家庭机器人,1.0,0.3,1.4,0.7,字符型,京东科技研究院,https://www.jd.com,,
移动机器人,2.1,0.7,2.8,1.4,字符型,国际机器人联合会,https://www.ifr.org,,
清洁机器人,1.7,0.4,2.2,1.1,字符型,中国家电协会,https://www.cheaa.com,,
手术机器人,0.8,0.3,1.2,0.5,字符型,国家医疗保障局,https://www.nhsa.gov.cn,,
物流机器人,2.5,1.0,3.2,1.5,字符型,中国电子商会,https://www.cecc.org.cn,,
家庭服务机器人,1.3,0.5,1.6,0.9,字符型,国家市场监管总局,https://www.samr.gov.cn,,
安防机器人,1.8,0.6,2.3,1.0,字符型,公安部,http://www.mps.gov.cn,,
贵金属探测机器人,1.0,0.4,1.5,0.7,字符型,国家矿产资源监督管理,https://www.mnr.gov.cn,,
教育机器人,1.4,0.6,1.9,1.2,字符型,教育部,https://www.moe.gov.cn,,
人工智能机器人,2.3,0.9,3.0,1.4,字符型,人工智能产业发展联盟,https://www.aia.org.cn,,
水下机器人,1.6,0.7,2.1,1.3,字符型,国家海洋局,http://www.sea.gov.cn,,
物流机器人,2.5,0.7,3.5,1.3,字符型,中国物流与采购联合会,https://www.cfc.org.cn,,
无人驾驶汽车,4.0,1.0,6.0,2.0,字符型,国家交通部,https://www.mot.gov.cn,,
家庭服务机器人,1.8,0.5,2.2,1.0,字符型,中国智能家居产业发展联盟,https://www.chinasmart.com,,
搜救机器人,1.0,0.4,1.5,0.7,字符型,中国应急管理部,https://www.mem.gov.cn,,
巡逻机器人,2.2,0.6,3.0,1.1,字符型,公安部,https://www.mps.gov.cn,,
教育机器人,1.2,0.4,1.8,0.9,字符型,教育部,https://www.moe.gov.cn,,
环保机器人,3.5,1.2,4.5,1.8,字符型,生态环境部,https://www.mee.gov.cn,,
建设机器人,2.0,0.8,3.0,1.5,字符型,住房和城乡建设部,https://www.mohurd.gov.cn,,
恢复机器人,1.4,0.5,2.0,0.8,字符型,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
农业无人机,3.0,1.0,4.0,2.0,字符型,农业农村部,https://www.moa.gov.cn,,
物流机器人,1.8,0.7,2.4,1.2,字符型,中国智能物流产业发展促进会,https://www.clia.org.cn,,
清洁机器人,0.8,0.4,1.2,0.6,字符型,家电网,https://www.homeappliance.com.cn,,
安防机器人,1.6,0.5,2.1,0.9,字符型,公安部,https://www.mps.gov.cn,,
