机器人类型,主要结构,特点,常见应用,数据类型,采集来源,来源链接,采集时间,备注【疑问汇总】
工业机器人,多关节机械手,可编程、拟人化,自动化生产线,字符型,智能工业,https://cn.smartmore.com/article/post/24643.html,2024-10-11,
工业机器人,多关节机械手,可编程、拟人化,自动化生产线,字符型,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-10-11,
服务机器人,移动底盘,自主导航、交互,家庭服务、医疗,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-10-11,
教育机器人,模块化设计,易于编程、互动,教学辅助,字符型,教育部,https://www.moe.gov.cn,2024-10-11,
医疗机器人,精密机械臂,高精度、灵活性,手术辅助,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-10-11,
农业机器人,自走式设备,自动化作业,精准农业,字符型,农业农村部,https://www.moa.gov.cn,2024-10-11,
特种机器人,多功能平台,环境适应性强,灾后救援,字符型,国家应急管理部,https://www.mem.gov.cn,2024-10-11,
工业机器人,SCARA机械手,快速搬运、高精度,电子制造、自动化装配,字符型,国际机器人联合会,https://ifr.org,,
服务机器人,轮式底盘,智能语音助手、远程控制,酒店、餐饮服务,字符型,中国服务机器人产业发展联盟,https://www.csrobot.com.cn,,
医疗机器人,遥控手术系统,实时监控、数据传输,远程手术、诊断,字符型,中国医疗器械协会,http://www.cmeia.com,,
农业机器人,无人机,精准施药、数据分析,植保、作物监测,字符型,国家农业科技推广中心,http://www.nstpc.gov.cn,,
教育机器人,智能交互平台,AI编程、互动学习,编程教育、科学实验,字符型,中国青少年科技创新大赛,http://www.cys.org.cn,,
特种机器人,水下探测平台,耐压、高清图像,水下考古、环境监测,字符型,中国科学院海洋研究所,http://www.ocean.ac.cn,,
服务机器人,智能陪伴机器人,情感识别、陪伴交流,老人照护、儿童陪伴,字符型,科技日报,http://www.stdaily.com,,
工业机器人,并联机器人,高度稳定、快速响应,食品包装、精密装配,字符型,清华大学机器人研究中心,https://www.tsinghua.edu.cn,,
农业机器人,植保无人车,全自动化、实时监控,精准农业、土地管理,字符型,农业农村部科技司,http://www.moa.gov.cn,,
医疗机器人,康复训练机器人,个性化、智能反馈,康复治疗、身体锻炼,字符型,国家卫生健康委员会,http://www.nhc.gov.cn,,
