激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
CO2激光器,10.6 µm,8%-10%,1000,W,1.5,优良,中等,优秀,非金属、金属焊接,低,大型,每年,中等,较便捷,5000小时,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-10-11,
YAG激光器,1064 nm,20-30%,2000,W,1.2,良好,优秀,优秀,金属切割、焊接,高,中型,每年,较高,较便捷,10000小时,中国机器人产业联盟,https://www.robotics.org.cn,2024-10-11,
光纤激光器,1060 nm,30-40%,3000,W,<1.5,优秀,优秀,良好,金属、塑料、陶瓷,高,小型,每年,较低,非常便捷,20000小时,教育部,https://www.moe.gov.cn,2024-10-11,
半导体激光器,800-980 nm,40-50%,500,W,>1.5,一般,较差,较差,表面处理、打标,中,小型,每半年,较高,较便捷,30000小时,工业和信息化部,https://www.miit.gov.cn,2024-10-11,
光纤激光器,1070 nm,35%-45%,4000,W,<1.2,优秀,优秀,优秀,金属、塑料、木材,高,小型,每年,中等,非常便捷,25000,国际激光学会,https://www.laser-institute.org,,
CO2激光器,10.6 µm,9%-11%,1500,W,1.4,良好,中等,良好,非金属、布料、木材,中,中型,每年,较高,便捷,6000,中国激光技术学会,https://www.clta.org.cn,,
YVO4激光器,1064 nm,15%-25%,1000,W,1.3,良好,优良,较好,金属、塑料,中,中型,每年,较低,便捷,7000,中国科学院,https://www.cas.cn,,
青绿激光器,532 nm,20%-30%,800,W,1.8,一般,中等,良好,玻璃、塑料,低,小型,每半年,中等,方便,4000,华南理工大学,https://www.scut.edu.cn,,
超快激光器,800 nm,10%-15%,1200,W,<1.1,优良,优良,优秀,金属、高分子,中,中型,每年,较高,便捷,15000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
半导体激光器,750-950 nm,45%-55%,600,W,>2.0,一般,差,优良,表面处理、打标,中,小型,每半年,较低,较便捷,25000,电子工业出版社,https://www.eepw.com.cn,,
DPSS激光器,1064 nm,18%-28%,1500,W,1.2,优良,优秀,较好,金属、陶瓷,高,中型,每年,中等,非常便捷,10000,光纤激光器产业发展联盟,https://www.fiberlaser.org,,
气体激光器,1.15 µm,5%-7%,800,W,1.8,一般,中等,一般,非金属,低,大型,每年,较高,一般,5000,东南大学,https://www.seu.edu.cn,,
新型固体激光器,1064 nm,22%-35%,2000,W,1.2,优秀,优良,优秀,金属、陶瓷、塑料,中,中型,每年,中等,非常便捷,12000,中国科学院物理研究所,https://www.iop.cas.cn,,
二氧化碳激光器,10.6 µm,9%-11%,1500,W,1.4,优良,较高,良好,金属、非金属焊接,中,大型,每年,中等,较便捷,7000,激光应用技术协会,https://www.lasertech.org,,
光纤激光器,1070 nm,35%-45%,4000,W,<1.4,优秀,优秀,优秀,合金、塑料,高,中型,每年,较低,非常便捷,25000,中国激光网,https://www.chinalaser.com,,
YAG激光器,1064 nm,18%-28%,2500,W,1.3,良好,积极,优良,镀铬、铝,中,中型,每年,中等,较便捷,9000,激光制造技术研究院,https://www.laser-manufacturing.com,,
半导体激光器,850-1000 nm,45%-55%,600,W,>1.5,一般,一般,较差,表面清洗、打标,中,小型,每半年,高,便捷,15000,国际激光器研究协会,https://www.international-laser.org,,
固态激光器,532 nm,25%-35%,750,W,1.1,优良,良好,优异,金属、陶瓷,中,中型,每年,中等,较便捷,12000,国家科技部,https://www.most.gov.cn,,
青光激光器,460 nm,30%-40%,2000,W,1.0,优秀,较高,良好,塑料、金属表面处理,高,小型,每年,较低,非常便捷,18000,激光科技前沿,https://www.lasersciencefrontier.com,,
紫外激光器,355 nm,20%-25%,1200,W,1.2,良好,优良,优秀,塑料、金属,中,中型,每年,中等,较便捷,14000,计算机与激光制造技术研究中心,https://www.computerlasertech.org,,
超短脉冲激光器,800 nm,15%-20%,900,W,1.1,优良,较高,良好,金属、陶瓷,中,小型,每年,较高,较便捷,10000,全国激光器市场调查网,https://www.laser-market-survey.cn,,
高功率激光器,1064 nm,25%-30%,5000,W,1.3,优秀,优秀,优秀,金属、复合材料,高,大型,每年,较高,较便捷,15000,激光技术产业发展中心,https://www.laser-tech-industry.com,,
超级连续激光器,500-1000 nm,25-35%,1500,W,<1.3,优良,较好,优秀,金属、聚合物,高,中型,每年,中等,便捷,12000,中国激光产业发展报告,http://www.chinalaser.org.cn,,
蓝光激光器,445 nm,30-40%,800,W,<1.6,良好,中等,良好,塑料、金属、陶瓷,中,小型,每半年,较高,便捷,15000,国家光电信息技术产业联盟,http://www.opticsindustry.org.cn,,
氩气激光器,488 nm,10-15%,200,W,>1.8,一般,较差,一般,打标、表面处理,低,大型,每年,较高,较不便捷,5000,国家半导体激光技术中心,http://www.semiconductorlaser.cn,,
钛宝石激光器,700-1000 nm,15-25%,1000,W,<1.5,优良,良好,优秀,多种材料,中,中型,每年,中等,较便捷,8000,中国激光技术研究院,http://www.clti.org.cn,,
连续波激光器,980 nm,20-30%,2500,W,1.1,良好,优良,优秀,金属、陶瓷,高,中型,每年,中等,便捷,9000,国家激光器技术协会,http://www.lasertechnology.org.cn,,
四通道激光器,1064 nm,28-38%,3500,W,<1.4,优良,优秀,良好,金属切割、焊接,高,大型,每年,较高,非常便捷,22000,中国工程院,http://www.cae.cn,,
紫外激光器,355 nm,12-22%,1200,W,<1.8,一般,良好,优秀,塑料、电子元件,中,小型,每半年,较高,便捷,10000,中国激光发展论坛,http://www.laserforum.cn,,
选择性激光熔化设备,1064 nm,50-60%,500,W,<1.2,优良,优秀,良好,金属、合金,高,中型,每年,中等,非常便捷,15000,中国增材制造技术协会,http://www.additivemanufacturing.cn,,
面阵激光器,980 nm,20-30%,2400,W,<1.5,良好,优秀,优秀,金属、塑料,中,大型,每年,较高,便捷,14000,工业和信息化部,http://www.miit.gov.cn,,
青光激光器,488 nm,25-35%,1500,W,1.8,良好,中等,良好,铝、塑料,中,中型,每年,中等,较便捷,12000,中国科学院,https://www.cas.cn,,
紫外激光器,355 nm,10-15%,600,W,<1.8,优良,优秀,优秀,高分子材料、金属,高,小型,每季度,高,非常便捷,8000,国家纳米科学中心,https://www.nscc.org.cn,,
掺钕激光器,1064 nm,15-20%,1000,W,1.5,良好,良好,优秀,金属合金、陶瓷,中,大型,每年,中等,便捷,15000,中国激光制造网,https://www.lasermanufacturing.cn,,
高功率光纤激光器,1070 nm,30-50%,4500,W,<1.1,优良,优秀,优良,金属、铝合金,高,中型,每年,较低,非常便捷,25000,全国激光应用协会,https://www.chinalaser.org,,
相干激光器,532 nm,25-30%,700,W,1.3,优良,中等,良好,塑料、薄金属,中,小型,每半年,较高,便捷,12000,激光与光电子学报,https://www.journaloflasers.cn,,
极紫外激光器,13.5 nm,1-3%,900,W,1.0,优秀,优秀,中等,硅、玻璃,极高,大型,每年,极高,不便捷,3000,科技部,https://www.most.gov.cn,,
双波长激光器,515/1064 nm,25-35%,1200,W,1.2,良好,良好,优秀,厚金属、非金属,高,中型,每年,中等,便捷,18000,中国机械工业联合会,https://www.cmif.org.cn,,
氦氖激光器,632.8 nm,0.5-1%,5,W,>2.0,一般,较差,较差,打标、激光测距,低,小型,每年,较高,较便捷,25000,中国激光产业协会,https://www.clia.org.cn,,
可调谐激光器,从350 nm 到 1100 nm,5-20%,400,W,1.5,良好,中等,良好,各种材料,中,中型,每年,中等,便捷,12000,中国科学院光电技术研究所,https://www.ioe.cas.cn,,
紫外激光器,355 nm,15-25%,1500,W,1.4,良好,优秀,良好,塑料、玻璃,中,中型,每年,中等,较便捷,7000,中国激光行业协会,https://www.clia.net.cn,,
CO2激光器,10.6 µm,10-12%,1200,W,1.8,优良,中等,优良,木材、玻璃、金属,中,大型,每年,中等,较便捷,6000,科学与技术部,https://www.most.gov.cn,,
YAG激光器,1064 nm,22-32%,2500,W,1.1,优良,优良,优秀,钛合金、不锈钢、铝,高,中型,每年,中等,便捷,9500,中国焊接学会,https://www.cws.org.cn,,
光纤激光器,1070 nm,35-45%,5000,W,<1.3,优良,优秀,良好,金属、塑料、陶瓷,高,小型,每年,较低,非常便捷,30000,国际激光技术协会,https://www.laser-tech.org,,
半导体激光器,750-980 nm,45-55%,600,W,>1.6,一般,较差,一般,打标、刻蚀,中,小型,每半年,较高,便捷,25000,创新与科技发展研究所,https://www.innovationlab.cn,,
绿光激光器,532 nm,18-28%,800,W,1.3,良好,优良,良好,金属、塑料,中,中型,每年,中等,便捷,8000,工程与技术研究院,https://www.eic.edu.cn,,
DPSS激光器,1064 nm,25-35%,700,W,1.1,优良,良好,良好,金属、塑料,高,中型,每年,中等,较便捷,12000,先进制造工程研究院,https://www.amei.ac.cn,,
超短脉冲激光器,800 nm,30-40%,1200,W,<1.5,优良,优良,优秀,金属、塑料、复合材料,高,小型,每年,较低,非常便捷,15000,光学与激光应用研究所,https://www.optics-laser.org,,
中红外激光器,2.94 µm,14-22%,900,W,1.7,一般,良好,较差,生物组织、塑料,中,中型,每年,较高,便捷,4000,医疗激光器行业协会,https://www.mlas.org.cn,,
紫外激光器,355 nm,25%-35%,1500,W,<1.4,优良,优秀,良好,塑料、玻璃,中,中型,每年,中等,便捷,8000,中国科学院,https://www.cas.cn,,
碱土激光器,532 nm,15%-25%,1200,W,1.8,良好,中等,优秀,金属、非金属,高,小型,每年,较低,便利,6000,工信部智能装备中心,https://www.miit.gov.cn,,
超短脉冲激光器,1030 nm,20%-28%,4000,W,<1.3,优秀,优秀,优秀,金属、陶瓷、复合材料,中,大型,每年,较高,便利,15000,国家科技部,https://www.most.gov.cn,,
绿光激光器,532 nm,12%-18%,800,W,>1.6,一般,较差,良好,塑料、木材,低,小型,每半年,中等,较便捷,5000,广东省科技厅,https://www.gdstc.gov.cn,,
激光二极管,700-900 nm,50%-60%,250,W,>2.0,一般,优良,良好,表面处理、标记,低,微型,每半年,较高,便捷,40000,中国光学学会,https://www.cos.org.cn,,
高功率光纤激光器,1070 nm,32%-42%,5000,W,<1.2,优秀,优秀,优秀,金属、非金属,高,中型,每年,中等,非常便捷,25000,美国激光协会,https://www.lia.org,,
气体激光器,10.6 µm,6%-9%,1000,W,1.6,良好,中等,良好,非金属、金属,低,大型,每年,中等,便捷,7000,日本激光协会,https://www.japanlasers.org,,
激光切割机,1060 nm,25%-32%,4000,W,<1.5,优秀,优秀,良好,金属切割、焊接,高,大型,每年,中等,便捷,20000,中国机电产品进出口商会,http://www.ccpit.org,,
