弹簧类型,弹簧刚度,弹簧外径,自由长度,内径,弹簧材料,极限载荷,采集来源,来源链接,采集时间,备注【疑问汇总】
圆柱形压缩弹簧,150 N/mm,20 mm,100 mm,10 mm,碳素弹簧钢,300 N,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-10-11,
圆锥形压缩弹簧,200 N/mm,25 mm,120 mm,15 mm,硅锰弹簧钢,400 N,中国机械工程学会,cmes.org.cn,2024-10-11,
扭转弹簧,100 N/mm,15 mm,80 mm,5 mm,铬钒钢,250 N,中国金属学会,cms.org.cn,2024-10-11,
压缩气弹簧,120 N/mm,30 mm,150 mm,20 mm,不锈钢,350 N,中国气动协会,cna.com.cn,2024-10-11,
微型压缩弹簧,80 N/mm,8 mm,50 mm,3 mm,碳素弹簧钢,100 N,国家标准化管理委员会,sac.gov.cn,2024-10-11,
圆柱形压缩弹簧,180,22,110,12,合金弹簧钢,320,中国机械科学研究院,cmsri.cn,,
锥形压缩弹簧,210,28,135,18,镍铬弹簧钢,420,中国航空工业集团,avic.com,,
扭转弹簧,110,17,75,7,铝合金,260,中国机械工程学会,cmes.org.cn,,
微型压缩弹簧,90,9,55,4,钛合金,120,国家科学技术部,most.gov.cn,,
压缩气弹簧,140,35,160,25,复合材料,420,中国气动设备协会,cna.org.cn,,
圆柱形压缩弹簧,160,24,115,14,塑料弹簧,330,国家标准化管理委员会,sac.gov.cn,,
扭转弹簧,120,19,70,6,碳纤维,240,中国化工协会,ccia.org.cn,,
压缩气弹簧,130,32,150,23,不锈钢,360,中国机械制造协会,cmma.org.cn,,
微型压缩弹簧,70,7,45,2,硅钢,90,国家质量监督检验检疫总局,aqsiq.gov.cn,,
锥形压缩弹簧,190,26,125,16,铁镍合金,410,中国电力工程协会,cpea.com.cn,,
圆柱形压缩弹簧,170,22,110,12,碳素弹簧钢,320,中国机械零部件有限公司,cmc.com.cn,,
锥形压缩弹簧,210,28,130,18,铬钼钢,480,全国机械协会,cnma.org.cn,,
平行弹簧,90,12,75,6,复合材料,180,国际材料科学会,imsociety.org,,
微型气压弹簧,85,10,60,4,铝合金,120,气动工程技术研究中心,aerotech.org.cn,,
圆柱形压缩弹簧,160,21,95,14,优质弹簧钢,310,中国机械工程公司,cme.com.cn,,
扭转弹簧,110,16,85,7,不锈钢,260,机械工程与技术协会,met.org.cn,,
压缩气弹簧,130,32,140,22,碳素弹簧钢,370,中国安全技术协会,csta.org.cn,,
微型压缩弹簧,75,7,45,2,不锈钢,90,国家标准化研究中心,nsa.org.cn,,
卷绕弹簧,100,14,70,8,高弹性聚合物,200,中国先进制造技术研究院,camt.org.cn,,
压缩弹簧,140,24,120,13,钛合金,400,中国材料科学研究院,cmsi.org.cn,,
圆柱形压缩弹簧,175,22,110,12,铍铜合金,320,国际弹簧协会,isri.org,,
双圆锥压缩弹簧,250,28,130,18,合金弹簧钢,500,中国机械工程学会,cmes.org.cn,,
压缩金属弹簧,90,12,70,6,不锈钢,120,亚洲材料工程协会,asme.org,,
圆柱形压缩弹簧,160,24,140,14,铬镍合金,400,德国机械制造协会,vdma.org,,
微型弹簧,75,6,30,2,碳素弹簧钢,90,国家标准化管理委员会,sac.gov.cn,,
压缩气弹簧,130,32,160,22,镀锌钢,360,全球制造业专家网,globalmanufacturers.com,,
扭转弹簧,120,18,90,8,钛合金,200,中国材料科学学会,cms.org.cn,,
复合弹簧,210,27,150,16,高强度合金钢,440,中国工业协会,cia.org.cn,,
页状弹簧,140,20,130,11,弹性合金,310,中国科学技术协会,csta.org.cn,,
圆锥形压缩弹簧,220,26,120,17,铝合金,450,国际工程技术协会,iet.org,,
无缝圆柱形压缩弹簧,175,22,110,12,合金弹簧钢,350,中国弹簧协会,spring.org.cn,,
圆柱形压缩弹簧,160,18,90,8,不锈钢,320,全球制造业观察,manufacturingobservatory.com,,
高温压缩弹簧,210,28,130,18,钼合金钢,450,先进材料学报,advancedmaterialsjournal.com,,
纸盒压缩弹簧,140,19,75,9,回收材料,280,可持续发展研究院,sustainabledevelopmentinstitute.org,,
异径压缩弹簧,230,32,140,22,铬钼钢,480,机械制造与工程,mechanicalengineeringjournal.org,,
扭矩压缩弹簧,90,14,65,4,聚合物材料,150,新材料技术发展,newmaterialstech.com,,
圆柱形压缩弹簧,195,23,105,13,碳纤维复合材料,375,高分子材料研究所,polymerresearchinstitute.org,,
小型压缩弹簧,75,6,40,2,不锈弹簧钢,70,中国小型机械协会,smallmachinery.org.cn,,
复合弹簧,120,24,125,14,镍钛合金,300,材料科学与工程,materialscienceengineering.com,,
气动压缩弹簧,110,26,135,17,铝合金,340,中国气动工程协会,pneumatics.org.cn,,
圆柱形压缩弹簧,160,22,110,12,碳素弹簧钢,320,中国国家标准化管理委员会,sac.gov.cn,,
椭圆形压缩弹簧,180,27,125,18,硅锰弹簧钢,420,中国机械工程学会,cmes.org.cn,,
扭转弹簧,110,16,90,6,铬钼钢,260,中国金属材料学会,cmm.org.cn,,
压缩气弹簧,130,32,155,22,不锈钢,370,中国气动技术协会,cpat.org.cn,,
微型压缩弹簧,75,7,45,4,钛合金,90,中国标准化协会,csa.gov.cn,,
圆柱形压缩弹簧,155,21,115,11,高碳弹簧钢,310,国家电器测试中心,netc.gov.cn,,
锥形压缩弹簧,220,28,140,14,合金弹簧钢,450,中国冶金学会,cmes.org.cn,,
压缩气弹簧,125,29,160,19,碳素弹簧钢,360,中国工业研究院,cii.org.cn,,
微型压缩弹簧,85,9,55,3.5,不锈钢,110,中国标准化协会,sac.gov.cn,,
扭转弹簧,120,18,95,7,铬钼钢,270,中国金属学会,cmas.org.cn,,
万向压缩弹簧,220,35,140,25,铝合金,450,中国航空工业集团,caig.com.cn,,
双线圈压缩弹簧,175,28,130,18,合金弹簧钢,375,中国机械工程股份有限公司,cmec.com.cn,,
气动压缩弹簧,160,40,200,30,塑料复合材料,500,国家能源局,nea.gov.cn,,
热处理压缩弹簧,190,22,110,12,高碳弹簧钢,320,中国钢铁工业协会,cisa.org.cn,,
防盐蚀压缩弹簧,130,27,95,17,镍铬合金,280,国家海洋局,soa.gov.cn,,
长寿命压缩弹簧,210,30,145,20,耐磨弹簧钢,390,中国质量信任度协会,cqi.org.cn,,
微型扭转压缩弹簧,75,6,45,2,不锈钢,90,中国电子仪器学会,cees.org.cn,,
低温压缩弹簧,140,19,120,10,耐寒合金,350,国家低温技术研究机构,clti.gov.cn,,
超高韧性压缩弹簧,225,32,155,22,钛合金,480,中国新材料技术研究院,chinamaterials.org.cn,,
纳米涂层压缩弹簧,185,34,125,19,高强度碳素钢,360,中国科技馆,cast.org.cn,,
圆柱形压缩弹簧,180,22,110,12,铝合金,320,国际标准化组织,iso.org,,
圆锥形压缩弹簧,220,28,130,17,锰钛合金,450,中国机械科学研究院,cimr.ac.cn,,
扭转弹簧,120,18,90,6,不锈钢,270,中国材料研究学会,csmr.org.cn,,
压缩气弹簧,140,32,160,22,碳素弹簧钢,370,气体设备工程学会,gaseng.org,,
微型压缩弹簧,90,9,55,4,不锈钢,110,现代精密工程杂志,mpemagazine.com,,
平面压缩弹簧,160,25,100,18,合金钢,400,全国标准技术委员会,nbtc.org.cn,,
波纹压缩弹簧,110,12,70,8,塑料复合材料,150,中国工程院,cae.cn,,
小型圆柱形弹簧,70,14,80,7,镍合金,90,东京大学材料科学研究所,ms.tokyo-u.ac.jp,,
重型压缩弹簧,250,40,200,30,高强度钢,700,美国机械工程师协会,asme.org,,
钛合金压缩弹簧,200,35,175,25,钛合金,500,国际材料科学发展与应用期刊,imads.org,,
圆柱形压缩弹簧,180,22,110,12,不锈钢,320,工业和信息化部,miit.gov.cn,,
扭转弹簧,90,17,75,6,钛合金,230,中国机械设计制造工程学报,cmmejournal.com,,
压缩气弹簧,140,35,160,25,铝合金,380,中国气动展览网,pneumatic-exhibition.cn,,
微型压缩弹簧,75,9,45,4,高碳钢,90,中国工艺美术协会,caagt.org.cn,,
圆锥形压缩弹簧,210,28,130,18,合金弹簧钢,450,中国金属材料学会,csmms.org.cn,,
扭转弹簧,110,14,88,8,冷轧钢,255,全国机械制造业协会,nmia.cn,,
压缩气弹簧,160,40,170,30,气体弹簧合金,500,中国航空工业集团公司,avic.com.cn,,
微型压缩弹簧,85,7,52,3,特殊碳素钢,110,国家纺织机械协会,ctma.org.cn,,
圆柱形压缩弹簧,190,24,115,14,模具钢,360,中国铸造协会,foundry.org.cn,,
圆锥形压缩弹簧,220,30,140,20,氧化铝弹簧材料,500,中国制造业信息网,cmii.org.cn,,
圆柱形压缩弹簧,180,22,110,12,合金弹簧钢,320,中国机械制造协会,cma.org.cn,,
扭转弹簧,90,12,70,4,碳素弹簧钢,220,中国金属论坛,metalforum.cn,,
锥形压缩弹簧,210,28,130,18,高温钢,450,中国精密机械协会,cpma.org.cn,,
压缩气弹簧,135,35,160,25,不锈钢,420,中国气动设备工程技术研究中心,caer.org.cn,,
微型压缩弹簧,70,7,45,2,铍铜合金,90,国家军工标准化委员会,naton.org.cn,,
高频压缩弹簧,250,40,180,30,钛合金,600,中国航空工业集团,avic.com,,
双锥形压缩弹簧,160,33,145,22,优质弹簧钢,380,基金会力学协会,fmf.org.cn,,
波形压缩弹簧,110,27,125,16,耐腐蚀钢,310,中国工程院,cae.cn,,
标准压缩弹簧,140,18,95,8,合金镍钢,360,国家标准与标准化研究中心,bis.org.cn,,
弹簧绳压缩弹簧,170,23,130,14,优质碳钢,400,中国生产力促进中心,cpic.org.cn,,
圆柱形压缩弹簧,175,22,110,12,碳素弹簧钢,320,国际标准化组织,iso.org,,
锥形压缩弹簧,250,28,130,18,铬镍合金钢,450,中国机械工程学会,cmes.org.cn,,
微型压缩弹簧,90,7,40,2,不锈钢,120,中国标准化协会,sac.gov.cn,,
压缩气弹簧,140,35,160,25,高强度铝合金,400,中国气动协会,cna.com.cn,,
圆柱形压缩弹簧,160,18,95,8,合金弹簧钢,350,国家材料测试中心,nmti.ac.cn,,
扭转弹簧,110,14,85,6,钛合金,280,中国金属学会,cms.org.cn,,
圆锥形压缩弹簧,220,27,125,17,碳素弹簧钢,500,机械工程学报,jemer.com,,
信号弹簧,95,10,60,4,不锈钢,90,数字设备检测中心,jedc.org,,
压缩气弹簧,130,32,140,22,铝合金,380,中国航空航天协会,casa.org.cn,,
圆柱形压缩弹簧,190,24,115,13,高强度弹簧钢,360,中国金属材料协会,cmma.org.cn,,
圆柱形压缩弹簧,175,22,110,12,不锈钢合金,320,国家机电产品监管局,cnmp.gov.cn,,
锥形压缩弹簧,220,28,130,18,铝合金弹簧,450,中国材料工业协会,cmia.org.cn,,
压缩气弹簧,140,35,160,25,碳素弹簧钢,380,中国气动设备协会,cndaa.org.cn,,
微型压缩弹簧,95,9,55,4,镍钛合金,120,国家半导体器件标准化技术委员会,nstc.org.cn,,
圆柱形压缩弹簧,160,18,90,8,弹力钢,310,中国合成材料与工程联合体,cmaec.org.cn,,
具有隔离功能的生物弹簧,130,27,140,15,环保聚合物,360,国家环境保护部,sepa.gov.cn,,
平行螺旋弹簧,110,19,70,7,高弹性钛合金,230,中国精密仪器研究院,cipi.gov.cn,,
扭转弹簧,90,14,75,6,优质低合金钢,200,中国科技部,most.gov.cn,,
弓形压缩弹簧,180,30,125,20,不锈钢2938,390,中国轴承技术协会,cbta.org.cn,,
圈式压缩弹簧,205,24,100,14,高强钢,500,国家标准化管理局,sac.gov.cn,,
圆柱形压缩弹簧,175,22,110,12,不锈钢,350,中国机械标准化研究院,cmstandard.org.cn,,
圆锥形压缩弹簧,210,28,125,18,钛合金,420,中国材料研究协会,cmsca.org.cn,,
平行压缩弹簧,90,18,70,8,高碳钢,200,机械工业出版社,mepublishing.com.cn,,
