量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注【疑问汇总】
绝缘电阻测试仪,交流/直流电源,-20°C至55°C,0%至95%,有,无,IP54,手持式，便于携带,自动切换,≤400 A/m,≤10 V/m,<5秒,50 Hz - 400 Hz,±(2% + 3),0.01 MΩ 至 10 GΩ,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-10-11,
数字万用表,电池供电,-10°C至50°C,0%至80%,有,无,IP67,多功能，便于操作,手动切换,≤200 A/m,≤30 V/m,<2秒,1 kHz,±(1.5% + 2),0.001 Ω 至 20 MΩ,中国仪器仪表学会,cim.org.cn,2024-10-11,
电桥,外部供电,-20°C至70°C,10%-90%,有,无,IP40,高精度，稳定性强,自动切换,≤300 A/m,≤50 V/m,<3秒,100 Hz,±(1.0 % + 1),0.01 Ω 至 1 GΩ,中国计量科学研究院,nims.cn,2024-10-11,
结合式电阻测试仪,直流电源,-10°C至60°C,0%至85%,有,无,IP67,组合设计，适合多种电阻测量,手动切换,<=250 A/m,<=25 V/m,<4秒,100 Hz - 1 kHz,±(1.2% + 1),0.1 MΩ 至 15 GΩ,电子产品行业协会,epia.org.cn,,
高温电阻测量仪,电池供电,0°C至100°C,5%至90%,有,无,IP54,专为高温环境设计,自动切换,<=400 A/m,<=10 V/m,<3秒,50 Hz,±(2% + 3),0.5 Ω 至 5 GΩ,国际电工委员会,iec.ch,,
便携式绝缘电阻测试仪,交流/直流电源,-30°C至50°C,0%至95%,有,是,IP66,小巧轻便，适合户外使用,手动切换,<=150 A/m,<=20 V/m,<5秒,1 kHz,±(2% + 2),0.01 MΩ 至 10 GΩ,国家电力公司,sgcc.com.cn,,
智能电阻测量仪,太阳能供电,-20°C至55°C,10%至90%,有,无,IP65,远程监控功能，数据实时传输,自动切换,<=250 A/m,<=15 V/m,<2秒,500 Hz,±(1% + 1),0.001 Ω 至 30 MΩ,中国电子技术标准化研究院,cetree.com.cn,,
高精度电桥,外部供电,-10°C至70°C,5%至95%,有,无,IP40,实验室级高精度仪器,手动切换,<=300 A/m,<=50 V/m,<6秒,10 Hz,±(0.5% + 0.5),0.001 Ω 至 1 GΩ,中国计量学院,zjm.edu.cn,,
数字电阻测量仪,电池供电,-20°C至60°C,0%至80%,有,无,IP67,手持式，多功能,自动切换,<=200 A/m,<=30 V/m,<1秒,1 kHz,±(1% + 1),0.01 Ω 至 20 MΩ,中国仪器仪表科学研究院,aic.org.cn,,
超高精度电阻测试仪,外部供电,0°C至50°C,0%至90%,有,无,IP40,适用于科研单位,手动切换,<=100 A/m,<=5 V/m,<10秒,5 Hz,±(0.1% + 0.1),0.0001 Ω 至 0.5 GΩ,国家科学技术部,most.gov.cn,,
便携式多功能万用表,充电电池,-10°C至55°C,0%至90%,有,是,IP68,坚固耐用，适合户外工作,自动切换,<=250 A/m,<=25 V/m,<2秒,500 Hz,±(1.5% + 2),0.001 Ω 至 50 MΩ,中国电子通讯集团公司,cht.com.cn,,
工业精密电阻测量仪,专用电源适配器,-20°C至45°C,0%至95%,有,无,IP54,便于工业环境使用，耐用,手动切换,<=350 A/m,<=30 V/m,<4秒,1 kHz,±(1% + 1),0.01 MΩ 至 20 GΩ,工信部标准技术委员会,miit.gov.cn,,
