企业,测试频率,测试电平,DC偏置,DC电压源,最高准确度,采集来源,来源链接,采集时间,备注【疑问汇总】
Fluke,1 kHz - 1 MHz,100 mV - 10 V,±10 V,内置,±0.02%,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-10-11,
Keysight,10 Hz - 1 GHz,1 mV - 10 V,±15 V,外部,±0.01%,美国食品药品监督管理局 (FDA),fda.gov,2024-10-11,
Tektronix,100 Hz - 500 MHz,100 mV - 5 V,±20 V,内置,±0.03%,欧洲食品安全局 (EFSA),efsa.onlinelibrary.wiley.com,2024-10-11,
Agilent,1 kHz - 100 MHz,10 mV - 20 V,±5 V,内置,±0.02%,欧洲化学品管理局 (ECHA),echa.europa.eu,2024-10-11,
Hioki,1 Hz - 1 MHz,50 mV - 15 V,±10 V,外部,±0.02%,澳大利亚国家工业化学品申报评估署 (NICNAS),nicnas.gov.au,2024-10-11,
Rohde & Schwarz,100 Hz - 1.5 GHz,1 mV - 12 V,±12 V,内置,±0.015%,德国物理技术研究所 (PTB),ptb.de,,
National Instruments,10 Hz - 2 GHz,10 mV - 5 V,±10 V,外部,±0.02%,美国国家标准技术研究所 (NIST),nist.gov,,
Tektronix (China),1 kHz - 600 MHz,50 mV - 8 V,±5 V,内置,±0.025%,中国国家标准化管理委员会,sac.gov.cn,,
Yokogawa,250 Hz - 1.2 GHz,100 mV - 15 V,±20 V,外部,±0.02%,日本工业标准调查所 (JISC),jisc.go.jp,,
Anritsu,5 Hz - 1 GHz,1 mV - 11 V,±7 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Chroma,1 mHz - 1 GHz,10 mV - 20 V,±15 V,外部,±0.02%,台湾地区标准技术局,bsmi.gov.tw,,
B&K Precision,0.1 Hz - 500 MHz,200 mV - 10 V,±10 V,内置,±0.03%,台湾检验局,bsm.gov.tw,,
Victor,1 kHz - 800 MHz,100 mV - 15 V,±5 V,外部,±0.02%,浙江省质量技术监督局,zjgs.gov.cn,,
Hioki (Europe),1 Hz - 2 MHz,50 mV - 12 V,±15 V,内置,±0.025%,欧洲标准化委员会 (CEN),cen.eu,,
Owon,10 Hz - 1.5 GHz,1 mV - 20 V,±12 V,外部,±0.03%,国际电信联盟 (ITU),itu.int,,
Rohde & Schwarz,1 kHz - 3 GHz,100 mV - 12 V,±30 V,内置,±0.015%,德国物理技术研究院 (PTB),ptb.de,,
Anritsu,10 Hz - 2 GHz,1 mV - 8 V,±12 V,外部,±0.02%,日本电波研究所 (NICT),nict.go.jp,,
Yokogawa,100 Hz - 600 MHz,200 mV - 6 V,±25 V,内置,±0.025%,日本化学物质管理局 (JCIA),jcia-net.or.jp,,
Owen Electronics,1 kHz - 1.5 GHz,5 mV - 10 V,±8 V,外部,±0.018%,英国化学品协会 (CIA),cia.org.uk,,
Chroma,1 Hz - 500 MHz,50 mV - 20 V,±10 V,内置,±0.03%,台湾工业技术研究院 (ITRI),itri.org.tw,,
National Instruments,10 Hz - 1 GHz,500 mV - 10 V,±5 V,外部,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Ametek,1 Hz - 100 MHz,100 mV - 15 V,±10 V,内置,±0.025%,美国海洋和大气管理局 (NOAA),noaa.gov,,
Advantest,100 Hz - 2.5 GHz,50 mV - 8 V,±18 V,外部,±0.015%,国际电子工程师协会 (IEEE),ieee.org,,
B&K Precision,1 kHz - 600 MHz,200 mV - 10 V,±12 V,内置,±0.02%,国际电工委员会 (IEC),iec.ch,,
Tektronix,500 Hz - 1 GHz,100 mV - 20 V,±25 V,外部,±0.01%,国际计量组织 (OIML),oiml.org,,
Rohde & Schwarz,1 kHz - 3 GHz,1 mV - 15 V,±12 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Chroma,10 Hz - 2 MHz,10 mV - 25 V,±8 V,内置,±0.02%,中国计量科学研究院,nist.gov.cn,,
Anritsu,100 Hz - 1 GHz,50 mV - 20 V,±5 V,外部,±0.03%,日本科技振兴机构 (JST),jst.go.jp,,
B&K Precision,100 Hz - 700 MHz,1 mV - 12 V,±10 V,内置,±0.02%,亚洲电气工程师协会 (IEEE),ieee.org,,
Yokogawa,1 Hz - 1.5 GHz,10 mV - 18 V,±20 V,外部,±0.015%,国际标准化组织 (ISO),iso.org,,
TestEquity,50 Hz - 500 MHz,1 mV - 10 V,±15 V,外部,±0.025%,美国材料和试验协会 (ASTM),astm.org,,
Aglient,10 Hz - 1 GHz,0.1 mV - 16 V,±7 V,内置,±0.02%,华盛顿大学 (UW),washington.edu,,
Fluke Networks,20 Hz - 800 MHz,5 mV - 12 V,±10 V,外部,±0.01%,工业控制系统网络安全协会 (ICSC),ics-cert.us-cert.cisa.gov,,
Testo,1 Hz - 300 MHz,20 mV - 14 V,±9 V,内置,±0.05%,欧洲电力公司 (EURELECTRIC),eurelectric.org,,
