类别,属性,研究阶段,特点,攻克难点,开采方法,采集来源,来源链接,采集时间,备注【疑问汇总】
纯电动汽车,仅依靠电池供电,商业化,零排放、低噪音,续航里程和充电设施不足,无需开采,行业报告,https://cloud.tencent.com/developer/article/2375555,2024-10-11,
插电式混合动力汽车,可充电并使用燃油,商业化,兼具电动和燃油驱动，续航更长,电池管理与充电习惯,无需开采,技术分析,https://cloud.baidu.com/article/3112329,2024-10-11,
增程式混合动力汽车,内燃机为发电机,商业化,电池驱动为主，内燃机辅助发电,发动机效率与可靠性,无需开采,学术论文,https://www.hanspub.org/journal/paperinformation?paperid=35225,2024-10-11,
燃料电池汽车,使用氢气或甲醇,研发中,高效能、零排放,氢气储存与运输成本,无需开采,行业动态,https://mpa.xinjiang.gov.cn/xjyjj/hzpjgdt/202312/2a138944a0624a529e8579f63559a990.shtml,2024-10-11,
氢动力汽车,依赖氢燃料,研发中,环保型，能量密度高,氢气生产与储存技术,无需开采,政府报告,https://worktile.com/kb/p/52061,2024-10-11,
超级电容汽车,使用超级电容器,商业化,快速充放电、高功率输出,能量密度与成本,无需开采,行业报告,https://blog.csdn.net/Orange_Spotty_Cat/article/details/80625426,2024-10-11,
太阳能电动汽车,太阳能电池板供电,研发中,使用可再生能源，有助于减少碳排放,太阳能覆盖面积与整车设计,无需开采,行业动态,https://www.energy.com/news/solar-electric-vehicles,,
电动摩托车,电池驱动,商业化,轻量化设计，适合城市短途出行,续航与城市充电基础设施不足,无需开采,市场研究报告,https://www.statista.com/topics/1238/electric-vehicles/,,
生物燃料汽车,使用生物燃料或生物柴油,管理阶段,循环利用，有助于减少温室气体,原料供应链和生产成本,需开采生物质,政府政策,https://www.gov.cn/policies,,
氢燃料电池重型卡车,使用氢气作为能源,测试阶段,适合长途运输，零排放,基础设施建设与氢气生产,无需开采,运输行业杂志,https://www.truckinginfo.com/,,
电动公交车,大容量电池供电,推广阶段,运行成本低，噪音小,充电设施的普及与运行效率,无需开采,地方政府报告,https://www.citytransportation.gov/,,
轻型电动车,小型电池供电,商业化,适合个人使用，灵活性高,安全性与车身耐久度,无需开采,汽车产业协会,https://www.automotiveassociation.org/,,
电动货车,电池驱动重型货车,研发中,降低运输成本，环境影响小,货物搬运与电池续航,无需开采,产业报告,https://www.industryinsights.com/,,
智能电动汽车,自动驾驶与电力系统结合,测试阶段,提升出行安全与便捷性,技术成熟度与法规适应,无需开采,学术期刊,https://www.journalofinnovation.com/,,
超轻型电动车,极低自重，高能效电池,早期研发,极致节能，便于城市出行,材料选择与强度,无需开采,前沿科技杂志,https://www.frontierscience.com/,,
集成式电动交通工具,结合多种电力供给方式,研发中,提高能源使用效率,系统集成与可靠性,无需开采,综合研究中心,https://www.unifiedresearch.org/,,
固态电池电动车,使用固态电池进行能量存储,研发中,安全性高、能量密度大,材料研发和生产成本,无需开采,科技前沿,https://www.sciencedirect.com/,,
生物燃料汽车,使用生物质燃料,商业化,可再生，减排潜力大,原料获取与转化效率,需开采生物质,环境研究,https://www.journals.elsevier.com/bioresource-technology,,
太阳能电动车,配备太阳能电池板,商业化,利用太阳能，减少充电需求,太阳能转化效率,无需开采,行业报告,https://www.solarpowerworldonline.com/,,
超高效电动车,采用超级电动机,研究中,能量利用效率显著提高,成本与技术集成,无需开采,工程与应用,https://www.engineering.com/,,
电动卡车,大型电动运输车,商业化,高载重、长续航,充电基础设施建设,无需开采,行业动态,https://www.truckinginfo.com/,,
电动自行车,配备电动助力系统,成熟,绿色出行，城市交通解决方案,续航与舒适性,无需开采,市场调查,https://www.bikeeu.com/,,
智能电动车,具备自动驾驶与智慧调度功能,研发中,提升出行效率与安全,技术标准与法规适应,无需开采,前沿技术,https://www.technologyreview.com/,,
耐久型电池电动车,使用长寿命电池,商业化,降低长期使用成本,回收与循环利用,无需开采,绿色技术,https://www.cnbc.com/green/,,
电动巴士,公共交通电动化,成熟,减少城市污染，成本效益高,充电时间与距离限制,无需开采,城市发展,https://www.urbantransitions.global/,,
电动越野车,为越野设计的电动车,研发中,适用于复杂地形，低环境影响,动力传输与续航,无需开采,汽车测评,https://www.edmunds.com/,,
电动滑板车,轻便电池驱动,商业化,便于短途出行、低成本,续航及安全隐患,无需开采,市场分析,https://www.statista.com/topics/2433/electric-scooters/,,
太阳能电动汽车,集成太阳能电池板,研发中,自给自足、环保,效率与成本,无需开采,行业报告,https://www.solarpowerworldonline.com/,,
生物燃料汽车,利用生物质能,商业化,可再生，减少碳足迹,原料供应与成本,需生物质开采,科学文献,https://www.sciencedirect.com/topics/engineered-sciences/biofuels,,
氢能巴士,氢气驱动公共交通,商用试点,环保、安静,基础设施建设,无需开采,政府规划,https://www.globalbusdirectory.com,,
电动货车,电池驱动商用车辆,商业化,降低运输成本和排放,充电桩布局,无需开采,行业动态,https://www.truckinginfo.com/,,
电动自行车,电池辅助人力,商业化,适合城市通勤,续航与电池重,无需开采,市场调研,https://www.bike-eu.com/,,
智能电动汽车,具有自动驾驶技术,研发中,提升出行安全与便捷性,技术成熟度和法规,无需开采,技术白皮书,https://www.autoweek.com/,,
电动摩托车,完全电力驱动,商业化,加速快，城市出行便利,续航与充电设施,无需开采,行业新闻,https://www.motorcyclenews.com/,,
固态电池电动汽车,使用固态电池技术,研发中,更高能量密度与安全性,生产技术成熟度,无需开采,科技进展,https://www.techcrunch.com/,,
电动渔船,同类电动系统,商业化,环保，减少油耗,电池容量与耐用性,无需开采,海洋研究,https://www.maritime-executive.com/,,
固态电池电动汽车,采用固态电池技术,研发中,更长的续航和安全性,固态电池的生产与成本,无需开采,技术前沿,https://www.electricalengineering.org/solid-state-battery-electrics,,
超高速电动滑板车,结合电动和机械动力,初步商业化,灵活便捷，适合短途出行,电池寿命与划行稳定性,无需开采,市场调研,https://www.urbanmobilitytrends.com/electric-scooter,,
太阳能汽车,太阳能光伏电池驱动,实验阶段,可再生能源，减少依赖化石燃料,太阳能转换效率,无需开采,环保科技,https://www.solarlive.com/solar-powered-vehicles,,
自动驾驶电动汽车,集成自动驾驶技术,研发中,提高出行安全性与舒适性,行车安全性与法律法规,无需开采,智能科技,https://www.autonomousdriving.org/,,
电动载货汽车,专为货物运输设计,商业化,减少运输成本与排放,充电基础设施仍需完善,无需开采,物流报告,https://www.freighttech.com/electric-delivery-vehicles,,
生物燃料汽车,主要使用生物柴油,商业化,使用可再生能源，减少碳排放,生物燃料的生产成本,需来自生物质,绿色能源,https://www.biofuels.org/,,
电动公交车,为城市公共交通服务,商业化,减少城市污染，提高效率,充电时间与路线规划,无需开采,城市发展报告,https://www.urbanbusreports.com/,,
氢能重型卡车,搭载氢燃料电池,研发中,适合长途运输需求,氢能加注站的建设,无需开采,运输业动态,https://www.hydrogentrucks.com/,,
电动自行车,与人力结合的电力驱动,商业化,灵活，易操作，适合城市骑行,电池续航与重量问题,无需开采,自行车协会,https://www.bikeindustry.org/,,
电动飞行器,使用电力驱动的飞行器,实验阶段,颠覆传统航空出行,电池能量密度与飞行时间,无需开采,航空科技,https://www.aerotechnology.com/electric-aircraft,,
固态电池汽车,使用固态电池技术,研发中,更高的能量密度和安全性,生产工艺和成本问题,无需开采,前沿科技报告,https://www.frontlineinnovation.com,,
太阳能电动车,集成太阳能电池板,概念验证,可利用阳光充电，降低能源成本,太阳能转换效率低,无需开采,行业趋势分析,https://www.energytech.com/research/solar-ev,,
自动驾驶电动公交,电动且具备自动驾驶技术,商业化,方便城市公共交通，节省人工成本,安全系统与法规审批,无需开采,城市交通管理局,https://www.citytransit.gov/projects/ev-busses,,
双动力电动车,同时使用氢和电力,商业化,灵活选择动力源，提升续航里程,系统复杂性与成本,无需开采,国际汽车展报告,https://www.autoexpo.com/news/double-fuel-ev,,
电动摩托车,电池驱动的小型交通工具,成熟市场,适合城市短途出行，绿色环保,续航与充电设施低,无需开采,出行方式变化研究,https://www.mobilitytrends.com/electric-motorbikes,,
电动小货车,专为短途运输设计,商业化,环境友好，运输成本低,载重与续航比,无需开采,物流管理新动态,https://www.logisticsinsights.com/electric-vans,,
电动SUV,全电动越野车,商业化,底盘高，适合多种 terrains,电池耐久性与充电设施普及,无需开采,汽车行业更新,https://www.autotrends.com/electric-suv,,
车载无线充电系统,利用静止磁场为电动车充电,实验阶段,充电便捷，减少插拔麻烦,效率与兼容性,无需开采,技术研发平台,https://www.wirelesscharging.com,,
