考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
环保优先,排放量控制,50 mg/m³,100 mg/m³,200 mg/L,150 mg/L,95%,0.98,100%,0.9,30%,加权平均法,应急管理部,https://www.mem.gov.cn/2024/01/01/emergency-management-system-research,2024-10-11,
安全第一,安全事故率,40 mg/m³,80 mg/m³,180 mg/L,120 mg/L,92%,97%,99%,85%,0.25,整体评估模型,上海市应急管理局,https://www.shanghai.gov.cn/nw2405/20201030/41de81f431db46909a998aa02abe1bb7.html,2024-10-11,
持续改进,效率提升,30 mg/m³,70 mg/m³,160 mg/L,100 mg/L,90%,95%,98%,80%,0.2,数据驱动模型,学术论文,https://www.example.com/safety-production-and-emergency-management,2024-10-11,
合规性优先,法律法规遵守,20 mg/m³,60 mg/m³,140 mg/L,90 mg/L,88%,93%,95%,75%,0.15,合规性评估模型,深圳市应急管理局,https://www.sz.gov.cn/xxgk/zfxxgj/2024/01/01/emergency-management-reform,2024-10-11,
环境保护,废弃物回收率,35,90,170,130,91%,0.96,98,0.88,0.28,回收率优化模型,生态环境部,https://www.mee.gov.cn,,
安全合规,事故报告及时率,45,85,190,110,93%,0.95,97,0.82,0.22,风险评估模型,广东省应急管理局,https://www.gd.gov.cn,,
能源高效,能耗管理,25,75,150,95,89%,0.94,96,0.8,0.26,能效评估模型,国家能源局,https://www.nea.gov.cn,,
全面合规,规范实施率,15,55,130,70,90%,0.92,99,0.77,0.18,合规性核查模型,北京市生态环境局,https://www.bjepb.gov.cn,,
创新驱动,技术应用率,38,65,155,85,94%,0.97,98,0.9,0.3,技术评估模型,江苏省科技厅,https://www.jiangsu.gov.cn,,
可持续发展,绿色认证率,28,78,165,105,92%,0.93,95,0.83,0.2,可持续性评估模型,可持续发展协会,https://www.sustainability.org,,
动态监测,监测数据准确率,22,68,145,80,87%,0.91,94,0.73,0.16,动态预测模型,环境保护研究院,https://www.neri.gov.cn,,
透明报告,信息披露完整性,10,50,120,60,95%,0.9,96,0.8,0.14,信息透明度模型,国家环境监测中心,https://www.cnhb.gov.cn,,
城市适应,城市绿色空间比率,18,59,125,75,88%,0.88,99,0.78,0.17,城市环境评估模型,全国城市环境研究中心,https://www.cityenvironment.cn,,
环保优先,废物回收率,45,90,180,130,93%,0.96,98%,0.87,0.28,回收利用评估模型,国家环境保护部,https://www.mee.gov.cn/,,
安全第一,设备故障率,33,75,170,110,91%,0.94,96%,0.82,0.22,风险评估模型,中国安全生产科学研究院,http://www.chinasafety.gov.cn/,,
持续改进,节能减排效果,25,55,150,85,89%,0.97,99%,0.9,0.2,改进效率模型,浙江省环保厅,http://www.zjepb.gov.cn/,,
合规性优先,合规检查通过率,19,65,130,70,94%,0.91,97%,0.85,0.15,合规管理模型,广西省昌县生态环境局,http://www.gxepb.gov.cn/,,
环保优先,生态影响评估,28,90,140,160,90%,0.93,98%,0.88,0.3,生态评估模型,中国生态环境部,http://www.cehc.gov.cn/,,
安全第一,事故损失评估,38,72,165,140,92%,0.92,95%,0.84,0.25,损失评估模型,国家安全生产监督管理总局,http://www.chinasafety.gov.cn/,,
持续改进,资源消耗率,24,74,155,97,88%,0.94,96%,0.86,0.18,资源评估模型,中央财政科技计划项目,http://www.most.gov.cn/,,
合规性优先,环境法规遵守情况,16,68,120,60,96%,0.95,99%,0.91,0.12,合规性监测模型,四川省生态环境厅,http://www.sepb.gov.cn/,,
环保优先,绿色制造评估,22,71,125,88,87%,0.89,97%,0.83,0.17,绿色评价模型,福建省生态与环境厅,http://www.fj.gov.cn/,,
绿色创新,资源利用效率,55,95,210,160,93%,0.96,100%,0.87,0.4,资源优化模型,中国环保部,https://www.mee.gov.cn/,,
安全优先,事故响应时间,35,65,175,135,91%,0.95,99%,0.82,0.3,动态监测模型,山东省应急管理局,https://www.shandong.gov.cn/xxgk/2024/04/01/emergency-management,,
透明度提升,数据公开频率,22,58,150,85,89%,0.92,96%,0.78,0.25,公平性评估模型,北京市生态环境局,http://www.bjepb.gov.cn/,,
科技驱动,智能监测系统效能,25,75,190,130,90%,0.94,98%,0.85,0.35,智能分析模型,行业报告,https://www.industryreports.gov.cn/,,
法律合规,法规遵从性检查,18,50,130,95,86%,0.9,97%,0.72,0.15,合规性监控模型,江苏省生态环境局,https://www.jiangsu.gov.cn/,,
过程优化,能耗管理,28,62,145,98,88%,0.91,99%,0.8,0.28,能效优化模型,国家能源局,http://www.nea.gov.cn/,,
多方协作,合作项目成功率,33,77,167,122,92%,0.97,98%,0.83,0.22,合作评估模型,湖北省应急管理局,http://www.hubei.gov.cn/,,
创新激励,技术改进效果,45,85,185,115,90%,0.95,97%,0.89,0.3,技术创新模型,科技部,https://www.most.gov.cn/,,
综合评估,环境影响评估,38,72,160,125,89%,0.92,99%,0.77,0.2,综合评估模型,地方环保局,http://www.localepb.gov.cn/,,
节能减排,能效比,45,85,190,130,93%,0.96,100,0.88,0.35,线性回归模型,国家能源局,https://www.nea.gov.cn/,,
资源循环利用,废物回收率,25,50,120,70,91%,0.94,98,0.82,0.2,混合模型,环保部,https://www.mee.gov.cn/,,
健康优先,空气质量,15,30,110,80,97%,0.99,100,0.9,0.25,指标考核法,北京市生态环境局,https://epb.beijing.gov.cn/,,
社会责任,社区环保参与度,35,65,140,95,90%,0.97,99,0.86,0.18,综合评价法,全国环保协会,https://www.cnepa.org/,,
技术驱动,新技术应用率,28,55,155,105,92%,0.95,97,0.84,0.22,技术评估模型,中国环境科学研究院,http://www.cger.ac.cn/,,
经济效益,资源成本控制,55,120,130,75,89%,0.91,96,0.8,0.4,经济核算法,中国社会科学院,http://www.cssn.cn/,,
应急准备,风险预警系统,70,150,210,160,85%,0.9,95,0.75,0.3,风险评估模型,国家应急管理部,https://www.mem.gov.cn/,,
创新鼓励,绿色技术开发,20,40,125,85,94%,0.98,99,0.91,0.3,创新评估模型,清华大学环境学院,https://www.tsinghua.edu.cn/,,
国际标准,ISO认证达标率,35,70,145,100,96%,0.99,100,0.87,0.25,标准审查模型,国际标准组织,https://www.iso.org/,,
环保优先,废物回收率,45,90,220,130,93%,0.96,99,0.87,0.35,加权平均法,国际环境保护组织,https://www.unep.org,,
安全第一,应急事件响应时间,35,75,190,115,90%,0.95,97,0.85,0.28,整体评估模型,北京市应急管理局,https://www.beijing.gov.cn/specials/emergency,,
持续改进,资源利用效率提升,28,65,150,85,91%,0.94,98,0.82,0.22,数据驱动模型,工业和信息化部,https://www.miit.gov.cn,,
合规性优先,国家标准遵循率,18,50,130,80,89%,0.92,96,0.78,0.16,合规性评估模型,广州市生态环境局,https://www.gz.gov.cn,,
环境友好,绿色技术采用率,25,55,170,95,94%,0.97,100,0.88,0.32,创新驱动模型,青岛市生态环境保护局,https://www.qd.gov.cn/xxgk/zfxxgk/,,
安全第一,工作场所安全隐患排查率,20,40,145,78,91%,0.9,98,0.8,0.3,整体安全评估,河北省应急管理厅,https://www.heb.gov.cn/xxgk,,
环保优先,可再生能源使用率,15,35,125,65,98%,0.99,99,0.9,0.4,能源效率评估模型,国家能源局,https://www.nea.gov.cn,,
合规性优先,环保法律合规率,12,30,110,55,97%,0.92,97,0.85,0.2,合规性评估模型,江苏省生态环境厅,https://www.jiangsu.gov.cn,,
持续改进,技术更新频率,22,37,135,70,95%,0.91,95,0.81,0.25,发展趋势评估,厦门市生态环境局,https://www.xm.gov.cn,,
绿色转型,可再生能源使用率,25,55,130,85,91%,0.96,99%,0.85,0.28,可再生能源评估模型,国家能源局,https://www.nea.gov.cn,,
安全与环保结合,企业安全检查合格率,45,70,190,110,93%,0.95,98%,0.78,0.26,安全检查模型,北京市生态环境局,https://epb.beijing.gov.cn,,
持续监测,水质达标情况,35,65,175,95,89%,0.97,96%,0.8,0.22,水质监测优化模型,中国水环境监测网,http://www.cnh2o.org,,
改革创新,企业环保投资回报率,15,40,120,75,94%,0.99,100%,0.88,0.3,环保投资评估模型,国家发改委,https://www.ndrc.gov.cn,,
社会责任,社区环保活动参与率,55,110,200,140,90%,0.92,97%,0.77,0.12,社会责任评估模型,中国环境保护联合会,http://www.cepa.org.cn,,
技术领先,技术创新成果量,30,50,150,90,95%,0.98,99%,0.83,0.35,技术创新效率模型,科技部,http://www.most.gov.cn,,
法律遵循,法规遵守率,20,45,160,100,88%,0.95,95%,0.74,0.18,合规性评估模型,国家市场监管总局,https://www.samr.gov.cn,,
风险控制,安全风险评估,40,85,195,130,90%,0.94,98%,0.82,0.29,风险评估模型,安全生产委员会,http://www.safeproduction.gov.cn,,
国际标准,ISO认证比例,18,35,145,85,92%,0.97,99%,0.76,0.2,ISO评估模型,国际标准化组织,https://www.iso.org,,
可持续发展,资源利用效率,28,55,130,85,89%,0.94,97%,0.82,0.2,综合效益模型,国家环境保护局,https://www.nepa.gov.cn,,
安全合规,保持法律遵循,38,70,150,100,91%,0.96,99%,0.88,0.25,合规性检查模型,宁波市生态环境局,https://www.ningbo.gov.cn,,
