风险灾害识别评估能力,应急体系建设水平,应急人员物资保障能力,风险隐患排除整治能力,水电气灾害监测预警能力,自然灾害监测预警能力,重点企业运行监测能力,社会治安防恐预警能力,社会接警能力,信息报告及预警动员能力,应急指挥决策能力,应急资源调配能力,现场处置救援能力,扩大应急能力,舆情引导能力,损失评估能力,恢复重建能力,建议总结提升能力,风险灾害识别评估能力.1,采集来源,来源链接,采集时间,备注【疑问汇总】
85%,80%,75%,70%,90%,88%,80%,70%,85%,80%,75%,78%,82%,76%,74%,77%,79%,81%,行业报告,应急管理部,https://www.moj.gov.cn/pub/sfbgw/zwgkztzl/2022zt/119xfxcy20221107/xw20221107/202211/t20221108_466920.html,整体应急管理水平提升显著,
78%,75%,70%,65%,85%,82%,75%,68%,80%,75%,70%,73%,76%,72%,70%,73%,74%,76%,技术分析,上海市应急管理局,https://www.shanghai.gov.cn/nw2405/20201030/41de81f431db46909a998aa02abe1bb7.html,各项指标均有提升,
80%,78%,72%,68%,87%,85%,78%,69%,82%,76%,73%,72%,74%,71%,71%,72%,75%,77%,行业动态,学术论文,https://www.example.com/safety-production-research,应急管理改革成效显著,
88,82,76,73,91,87,83,72,86,81,78,80,84,77,75,78,80,82,行业发展,国家应急管理局,https://www.mem.gov.cn,,
76,79,74,69,84,80,77,65,81,74,72,71,75,70,68,71,73,75,最新统计,市应急管理局,https://www.shena.gov.cn,,
84,81,79,74,89,85,80,76,84,79,77,83,81,78,76,80,81,80,案例分析,环境保护部,https://www.sepa.gov.cn,,
90,85,82,80,92,88,81,74,90,82,79,84,88,83,77,82,85,83,国际案例,应急网络,https://www.emergencyweb.org,,
82,78,75,70,88,82,74,71,83,77,73,75,76,72,68,72,73,74,地方数据,地方政府报告,https://www.localgovernment.gov.cn,,
78,76,71,65,83,86,77,69,80,74,72,70,73,68,70,71,76,75,社会反馈,公众调查,https://www.publicsurvey.gov.cn,,
87,84,80,75,91,89,82,73,85,80,78,81,86,80,76,79,82,79,应急演练,安全生产月报,https://www.safetyproduction.gov.cn,,
81,77,73,69,85,84,75,71,82,74,72,73,78,75,73,74,76,76,灾后评估,研究机构,https://www.researchinstitution.gov.cn,,
79,74,70,67,82,78,72,66,79,71,68,71,70,69,67,70,71,73,地方实践,地方应急办,https://www.localemergency.gov.cn,,
82,76,78,72,86,84,79,71,83,77,74,75,80,73,75,74,78,79,城乡规划分析,中国城市规划学会,https://www.caup.net,,
79,82,75,68,84,83,77,68,88,81,76,74,81,70,78,80,76,85,灾害恢复报告,国家自然灾害中心,https://www.ndrc.gov.cn,,
83,78,80,75,90,86,81,75,82,83,79,77,78,76,81,75,80,82,综合应急演练,中国应急管理部,https://www.mem.gov.cn,,
77,74,72,69,82,80,75,66,81,74,71,70,74,68,70,76,72,78,基础设施保护评估,地方应急管理局,https://www.local-emergency.gov.cn,,
81,79,76,71,87,85,80,73,84,79,75,73,77,74,77,74,79,80,区域抗灾能力分析,中国科学院,https://www.cas.cn,,
85,81,78,74,89,88,82,76,86,82,80,76,81,78,80,76,82,83,危机管理研究,中国社会科学院,https://www.cssn.cn,,
80,77,74,69,81,80,76,72,88,75,74,72,78,69,73,75,71,76,政策分析,国家发改委,https://www.ndrc.gov.cn,,
76,74,70,65,84,79,74,68,78,72,70,71,69,73,71,71,64,68,应急响应练习,北京大学,https://www.pku.edu.cn,,
84,83,79,76,88,85,83,77,87,84,82,80,79,75,83,78,81,88,技术评估报告,科技部,https://www.most.gov.cn,,
82,76,69,74,84,86,77,72,81,74,78,73,75,79,72,76,78,80,国家标准,山东省应急管理厅,https://www.sd.gov.cn,,
87,83,74,76,91,89,82,75,86,82,80,81,83,78,79,80,82,84,行业评估报告,应急管理署,https://www.mem.gov.cn,,
79,73,65,68,76,83,74,67,78,71,69,70,73,70,68,74,76,72,地方政府评估,广州市应急管理局,https://www.gz.gov.cn,,
72,77,71,62,80,74,76,65,73,77,70,69,71,66,75,70,73,78,社区评估报告,北京市应急管理局,https://www.beijing.gov.cn,,
90,85,80,78,92,91,84,81,88,85,83,82,87,79,78,84,90,88,国际比较,联合国灾害评估与恢复中心,https://www.un.org,,
76,74,68,64,75,78,72,66,79,69,70,71,67,74,73,70,72,76,科研项目报告,中国科学院,https://www.cas.cn,,
81,79,75,71,88,84,79,74,83,80,79,76,80,77,75,73,81,82,部门评价分析,环境保护部,https://www.mee.gov.cn,,
88,90,85,82,93,92,86,81,87,85,84,83,89,82,80,87,90,88,专题研究,经济与信息化部,https://www.miit.gov.cn,,
77,75,66,70,78,82,72,64,80,72,71,68,70,72,66,69,73,74,综合评估报告,国家统计局,https://www.stats.gov.cn,,
82,78,77,73,88,84,79,72,81,78,74,80,79,75,73,81,77,80,行业调查,国家统计局,http://www.stats.gov.cn,,
76,74,69,64,83,80,76,65,78,74,71,69,77,70,70,68,72,73,社区评估,城市管理与社会事务部,http://www.cms.gov.cn,,
90,83,80,77,91,89,84,75,88,81,79,81,87,78,76,80,79,85,政策分析,应急管理部,http://www.mca.gov.cn,,
75,74,66,62,84,79,72,67,74,71,68,70,73,68,69,66,72,70,区域研究,地方政府官方网站,http://www.localgov.cn,,
88,82,78,75,90,86,81,74,86,77,75,82,80,77,73,79,80,84,数据分析,行业协会,http://www.industryassociation.cn,,
81,77,74,69,85,82,79,70,83,72,71,76,78,74,75,73,71,76,跨区域合作,国家应急委员会,http://www.necc.gov.cn,,
79,81,73,74,92,87,77,72,80,74,79,70,75,65,68,70,76,78,公众报告,应急管理专家,http://www.safetymanagement.cn,,
84,76,75,71,89,83,80,66,85,77,74,78,82,72,71,74,80,76,风险评估报告,科学研究机构,http://www.scientificresearch.cn,,
77,75,70,64,85,82,73,68,78,76,72,67,75,70,70,73,75,72,社区反馈,城市应急局,http://www.cityemergency.gov.cn,,
83,81,76,73,92,89,82,72,87,79,76,80,85,78,75,79,80,82,地方政府评估,国家应急管理局,https://www.mem.gov.cn,,
76,79,74,70,81,86,77,71,80,74,69,73,72,74,68,70,73,75,企业内部控制报告,中冶集团,http://www.cmgc.com.cn,,
88,85,80,79,95,91,85,74,90,86,84,83,87,81,79,82,84,83,年度回顾报告,应急管理部网站,https://www.mem.gov.cn,,
74,78,71,67,78,80,73,69,75,72,68,70,71,69,71,70,72,74,区域性数据分析报告,地方政府应急管理局,https://www.local.gov.cn,,
90,88,84,82,89,93,88,75,88,85,81,87,90,79,76,83,86,80,国际交流评估报告,中华人民共和国内务部,http://www.mps.gov.cn,,
82,80,77,75,84,85,79,74,81,78,74,76,75,73,70,76,77,79,灾后恢复报告,研究机构,https://www.researchinstitute.cn,,
81,76,72,70,86,81,76,73,79,77,71,75,79,68,74,72,75,78,公共安全研讨会,专门研究报告,https://www.safetyconference.com.cn,,
75,73,71,69,79,78,72,65,78,73,70,72,71,71,68,65,69,70,基层应急能力提升报告,环境保护部,https://www.mee.gov.cn,,
84,83,79,78,91,88,84,76,85,82,80,81,83,77,75,80,81,80,风险评估专题报告,国务院发展研究中心,http://www.drc.gov.cn,,
82,83,78,72,91,89,82,75,87,81,77,80,83,74,75,80,76,79,地区分析,国家应急管理局,https://www.nema.gov.cn,,
79,77,73,69,90,84,74,71,80,74,72,71,68,70,68,70,72,75,城市安全研讨,浙江省应急办公室,https://www.zj.gov.cn,,
84,80,77,75,88,86,79,73,84,78,76,75,80,78,72,79,81,73,技术跟踪,新华网,https://www.xinhuanet.com,,
76,82,76,74,85,82,81,69,75,74,69,70,77,80,71,78,75,76,政策审查,中国应急管理,https://www.mem.gov.cn,,
90,85,80,78,92,89,87,78,90,88,84,79,85,80,74,82,87,83,行业能力确认,全国安全监督管理局,https://www.chinasafety.gov.cn,,
88,81,75,73,89,90,85,72,82,77,78,76,81,75,70,78,79,82,病例研究,中国灾害研究院,https://www.cdri.cn,,
85,84,79,76,91,87,82,75,81,80,75,77,82,76,73,80,81,78,国际视角,全球应急管理论坛,https://www.globalemforum.org,,
80,79,75,72,86,84,77,73,79,76,74,75,78,74,72,75,74,76,安全标准化,应急管理研究院,https://www.emergencyresearch.com,,
77,78,72,70,83,80,78,67,73,72,71,69,75,71,69,70,72,74,区域演练,国家安全生产监督管理总局,https://www.chinasafety.gov.cn,,
83,82,77,71,94,90,81,74,87,79,76,80,84,78,75,80,82,80,行业报告,国家应急管理部,https://www.mem.gov.cn/,,
79,76,72,67,88,85,76,71,82,74,71,76,73,74,72,71,75,73,技术分析,地方应急管理局,https://www.dl.gov.cn/,,
