日期,地区,客运方式,客运量,运输量,增长率,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-04-01,全球,航空,2023年4月同比增长11%,,11,%,国际航空运输协会 (IATA),https://www.iata.org/contentassets/9b548dd59f854a70ab906a8ee6299e3d/2024-05-30-01-cn.pdf,2024-10-12,
2023-11-01,美国,航空,同比增长34.8%,,34.8,%,国际航空运输协会 (IATA),https://www.sohu.com/a/754393849_121123704,2024-10-12,
2023-04-01,中国,航空,同比增长4.0%,,4,%,中国交通运输部,https://www.mot.gov.cn/jiaotonggaikuang/201804/t20180404_3006639.html,2024-10-12,
2023-11-01,亚太地区,航空,同比增长63.8%,,63.8,%,国际航空运输协会 (IATA),https://www.sohu.com/a/754393849_121123704,2024-10-12,
2024年Q1,全国,民航,1.8亿,200.7万吨,0.377,人次,中国民用航空局,http://www.caac.gov.cn/XWZX/MHYW/202404/t20240416_223523.html,2024-10-15,
2024年Q1,全国,铁路,1.6亿,,,人次,中国铁路总公司,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,
2024年Q1,全国,水路,,,,人次,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-10-15,
2024-08-01,全球,航空,,,0.284,人次,国际航空运输协会,https://www.iata.org/contentassets/2d2d7638816047a7818246a35611af7c/2023-10-04-01-cn.pdf,2024-10-15,
2024-01-15,广东省,道路运输,199万,,>2%,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,
2024-01-15,广东省,铁路运输,72万,,>12%,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,
2024-01-15,广东省,水路运输,>6万,,>5%,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,
2024-01-15,广东省,民航,>12万,,,人次,梅州市人民政府门户网站,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,
2024-08-01,全球,航空,,,,人次,国际航空运输协会,https://www.iata.org/contentassets/2d2d7638816047a7818246a35611af7c/2023-10-04-01-cn.pdf,2024-10-15,
2024年Q1,全国,铁路,,,,人次,中国铁路总公司,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-10-15,
2024-05-01,欧洲,航空,同比增长15.4%,nan,15.4,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2023-12-15,中国,航空,同比增长5.7%,nan,5.7,%,中国民用航空局,http://www.caac.gov.cn/,,
2024-07-01,北美地区,航空,同比增长23.2%,nan,23.2,%,美国运输部 (DOT),https://www.transportation.gov/,,
2024-06-01,亚洲,铁路,3亿,350万吨,0.45,人次,亚洲开发银行 (ADB),https://www.adb.org/,,
2024-03-01,全球,公共汽车,同比增长10.5%,nan,10.5,%,国际公交联盟 (UITP),https://www.uitp.org/,,
2024-02-15,东南亚,水路,500万,nan,2.1%,人次,东南亚运输合作组织,https://www.seatransport.org/,,
2024-09-01,中东地区,航空,同比增长28.5%,nan,28.5,%,阿拉伯国家航空运输协会,https://www.aaco.org/,,
2024-04-15,拉丁美洲,铁路,850万,nan,1.9,人次,拉丁美洲铁路协会,https://www.railwayassociation.org/,,
2024-05-15,非洲,航空,同比增长12.3%,nan,12.3,%,非洲民航组织,https://www.icao.int/afac/Pages/default.aspx,,
2024-08-15,全球,混合运输,1亿,105万吨,0.6,人次,国际运输论坛 (ITF),https://www.itf-oecd.org/,,
2024-05-01,欧洲,铁路,同比增长29.4%,nan,29.4,%,欧洲铁路联合会,https://www.era.europa.eu/,,
2023-12-15,中国,城际铁路,5000万,nan,6.5,人次,中国国家铁路集团,http://www.china-railway.com.cn/,,
2024-07-01,中国东南沿海,水路,120万,nan,12.0,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-09-01,日本,航空,同比增长21.0%,nan,21.0,%,日本民间航空局,https://www.mlit.go.jp/en/,,
2023-10-01,全球,道路运输,同比增长18.5%,nan,18.5,%,国际道路运输联合会,https://www.iruc.org/,,
2024-03-15,澳大利亚,航空,750万,nan,14.3,人次,澳大利亚民用航空安全局,https://www.casa.gov.au/,,
2024-02-01,印度,铁路,2.3亿,nan,9.8,人次,印度铁路部,http://www.indianrailways.gov.in/,,
2023-05-01,东南亚,航空,同比增长44.2%,nan,44.2,%,东南亚航空协会,https://www.asean.org/,,
2024-06-01,南美洲,道路运输,300万,nan,8.1,人次,南美洲交通运输委员会,https://www.camt.org/,,
2024-11-01,非洲,水路,350万,nan,10.7,人次,非洲海运协会,https://www.africama.org/,,
2024-05-01,欧洲,航空,同比增长20.5%,nan,20.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-07-01,东南亚,铁道,8000万人次,nan,15,人次,东南亚铁路运输协会,https://www.asianrailways.com/,,
2024-06-01,中东,航空,同比增长8.7%,nan,8.7,%,中东航空运输管理局,https://www.meac.gov/,,
2024-08-01,非洲,水路,500万,50万吨,25,人次,非洲交通运输部,https://www.africa.transport/,,
2024-03-15,中国,民航,2.5亿,nan,5.5,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-02-01,拉丁美洲,道路运输,900万,nan,10.2,人次,拉美交通与物流协会,https://www.latinamericatransportation.org/,,
2024-04-15,全球,航空,同比增长3.3%,nan,3.3,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-09-01,日本,铁路,3亿,nan,12.1,人次,日本运输省,https://www.mlit.go.jp/,,
2024-10-01,加拿大,航空,同比增长18.4%,nan,18.4,%,加拿大运输部,https://www.tc.gc.ca/,,
2024-12-01,澳大利亚,铁路,7200万,nan,9.5,人次,澳大利亚交通与基础设施部,https://www.infrastructure.gov.au/,,
2024-05-01,欧洲,铁路,9500万,425万吨,8.5,人次,欧洲铁路协会,https://www.era.europa.eu/,,
2024-09-01,亚太地区,水路,270万,1万吨,15.2,人次,国际海事组织,https://www.imo.org/,,
2024年Q2,中国,道路运输,2.5亿,nan,9.1,人次,中国交通运输部,http://www.mot.gov.cn/,,
2023-12-01,美国,航空,1.1亿,nan,12.4,人次,美国联邦航空局,https://www.faa.gov/,,
2024-10-01,全球,航空,nan,nan,5.0,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024年Q3,南美洲,铁路,4500万,200万吨,11.8,人次,南美运输部,http://www.southamericatransport.gov/,,
