日期,地区,铁路站点,铁路线路,发送目的地,旅客发送量,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-10-01,全国,广州南站,广深高铁、京广高铁,上海、郑州等,317.0,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241001_15556179.htm,2024-10-12,
2024-10-01,北京,北京西站,京沪高铁,上海,163.5,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241001_15556179.htm,2024-10-12,
2023-09-30,哈尔滨,哈尔滨西站,哈大高铁,沈阳、北京等,,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241001_15556179.htm,2024-10-12,
2023年,全国,各大主要站点,各条主要铁路线路,各大城市,38550.0,万人,交通运输部,https://www.mot.gov.cn/jiaotonggaikuang/201804/t20180404_3006639.html,2024-10-12,
2024-11-10,重庆,重庆北站,渝黔高速铁路,贵阳、武汉,210.7,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-09-25,广州,广州东站,广珠城际铁路,珠海、惠州,112.3,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-20,成都,成都东站,成渝高铁,重庆、南昌,175.5,万人,四川省交通运输厅,http://jtt.sc.gov.cn,,
2023-10-12,深圳,深圳北站,广深港高速铁路,香港、广州,98.8,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2023-11-15,西安,西安北站,西安至商洛高铁,商洛、北京,145.2,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn,,
2024-09-01,南京,南京南站,宁杭高铁,杭州、苏州,250.0,万人,江苏省交通运输厅,http://jst.gov.cn,,
2023-10-05,杭州,杭州东站,沪昆高铁,昆明、上海,135.4,万人,浙江省交通运输厅,http://jtt.zj.gov.cn,,
2024-10-15,福州,福州火车站,福厦高铁,厦门、南昌,89.2,万人,福建省交通运输厅,http://jtt.fujian.gov.cn,,
2023-10-30,沈阳,沈阳北站,沈大高铁,大连、北京,150.6,万人,辽宁省交通运输厅,http://jtti.ln.gov.cn,,
2024-10-01,济南,济南西站,济青高铁,青岛、合肥,120.1,万人,山东省交通运输厅,http://jtt.shandong.gov.cn,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,210.0,万人,中国国家铁路集团有限公司,https://www.china-railway.com.cn/,,
2024-10-03,重庆,重庆北站,渝黔高铁、成渝高铁,成都、贵阳等,125.8,万人,重庆市交通委员会,https://jtw.cq.gov.cn/,,
2024-09-28,广州,广州东站,广达铁路,东莞、深圳等,90.5,万人,广东省交通运输厅,http://jtt.gd.gov.cn/,,
2024-09-27,武汉,武汉站,汉口至黄石铁路,黄石、十堰等,68.2,万人,湖北省交通运输厅,http://jtt.hubei.gov.cn/,,
2024-10-01,西安,西安北站,西成高铁,成都、兰州等,154.0,万人,西安市交通运输局,http://jtysj.xa.gov.cn/,,
2024-10-02,沈阳,沈阳北站,沈哈高铁,哈尔滨、大连等,79.9,万人,辽宁省交通运输厅,http://jtt.ln.gov.cn/,,
2023-09-29,福州,福州站,福厦高铁,厦门、泉州等,110.0,万人,福建省交通运输厅,http://jtt.fj.gov.cn/,,
2024-10-03,合肥,合肥南站,合肥至上海高铁,上海、南京等,130.4,万人,安徽省交通运输厅,http://jtt.ah.gov.cn/,,
2024-10-02,南昌,南昌西站,昌九高铁,九江、赣州等,95.0,万人,江西省交通运输厅,http://jtt.jx.gov.cn/,,
2024-10-03,郑州,郑州东站,郑合高铁,合肥、南昌等,150.3,万人,河南省交通运输厅,http://jtt.henan.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪昆高铁,昆明、广州等,215.0,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
