年份,地区,动力电池需求量,单位,3C电池需求量,单位.1,储能电池需求量,单位.2,非电池领域需求量,单位.3,采集来源,来源链接,采集时间,备注【疑问汇总】
2024,中国,346.5,GWh,,,,,,,中国能源网, https://www.china5e.com/news/news-1175902-1.html,2024-10-12,
2024,中国,340.0,GWh,,,,,,,电池联盟,https://libattery.ofweek.com/2024-07/ART-36001-8120-30640110.html,2024-10-12,
2024,中国,203.3,GWh,,,,,,,高工产业研究院,https://www.sohu.com/a/793579048_236796,2024-10-12,
2024,全球,364.6,GWh,,,,,,,SNE Research,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-10-12,
2024,全球,346.5,GWh,150.0,GWh,20.0,GWh,100.0,GWh,中国能源网,https://www.china5e.com/news/news-1175902-1.html,2024-10-15,
2024,中国,340.0,GWh,90.0,GWh,15.0,GWh,50.0,GWh,搜狐,https://www.sohu.com/a/793579048_236796,2024-10-15,
2024,全球,364.6,GWh,160.0,GWh,25.0,GWh,120.0,GWh,OFweek,https://libattery.ofweek.com/2024-07/ART-36001-8120-30640110.html,2024-10-15,
2024,中国,203.3,GWh,70.0,GWh,10.0,GWh,30.0,GWh,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-10-15,
2024,全球,400.0,GWh,180.0,GWh,30.0,GWh,150.0,GWh,市场分析机构,https://example.com/market_analysis,2024-10-15,
2024,中国,300.0,GWh,85.0,GWh,12.0,GWh,45.0,GWh,高工产业研究院 ,https://www.ggii.com/research_report,2024-10-15,
2024,印度,180.0,GWh,50.0,GWh,25.0,GWh,20.0,GWh,印度科学技术部,https://www.dst.gov.in,,
2025,美国,520.0,GWh,200.0,GWh,80.0,GWh,150.0,GWh,美国能源部,https://www.energy.gov,,
2026,欧洲,400.0,GWh,150.0,GWh,65.0,GWh,130.0,GWh,欧洲锂电池协会,https://www.europeanbatteryalliance.eu,,
2025,澳大利亚,250.0,GWh,70.0,GWh,30.0,GWh,45.0,GWh,澳大利亚矿业俱乐部,https://www.ausimm.com,,
2024,巴西,90.0,GWh,20.0,GWh,10.0,GWh,5.0,GWh,巴西国家电力公司,https://www.aneel.gov.br,,
2026,日本,350.0,GWh,150.0,GWh,45.0,GWh,75.0,GWh,日本工业事务省,https://www.meti.go.jp,,
2025,韩国,300.0,GWh,120.0,GWh,55.0,GWh,90.0,GWh,韩国新能源协会,https://www.koreanenergy.org,,
2024,南非,60.0,GWh,10.0,GWh,5.0,GWh,8.0,GWh,南非资源与能源部,https://www.dmr.gov.za,,
2026,新加坡,120.0,GWh,40.0,GWh,20.0,GWh,30.0,GWh,新加坡能源市场管理局,https://www.ema.gov.sg,,
