核心材料,材料简介,所属产业,采集来源,来源链接,采集时间,备注【疑问汇总】
核心材料,核心材料是用于制造轻质、硬质复合材料的材料，具有高抗冲击性、导热性等特性，广泛应用于航空航天、汽车等领域。,航空航天、汽车等,Emergen Research,https://www.emergenresearch.com/cn/blog/top-10-companies-offering-high-performance-core-materials-for-industrial-applications,2024-10-12,
锂电池材料,锂电池主要由正极材料（如钴酸锂、磷酸铁锂）、负极材料（如石墨）、电解液和隔膜构成，广泛应用于消费电子、电动车等领域。,电池产业,OFweek,https://libattery.ofweek.com/2023-01/ART-36002-11000-30584708.html,2024-10-12,
钴酸锂,钴酸锂是锂离子电池中常用的正极材料，具有较高的能量密度和良好的循环性能，但成本较高且资源有限。,电池产业,Grace Battery,https://www.gracebattery.com/newdetails-320.html,2024-10-12,
磷酸铁锂,磷酸铁锂是一种安全性高、循环寿命长的正极材料，适合用于电动车和储能系统，成本相对较低。,电池产业,Grepow,https://www.grepow.cn/blog/dcclynx.html,2024-10-12,
三元材料,三元材料（镍钴锰）结合了三种金属元素，具有优越的能量密度和功率特性，是当前电动车电池的热门选择。,电池产业,OFweek,https://libattery.ofweek.com/2023-01/ART-36002-11000-30584708.html,2024-10-12,
超级电容器材料,超级电容器使用的材料能够快速充放电，适用于需要高功率输出的应用场景，如电动汽车和可再生能源存储。,能源存储,Grepow,https://www.grepow.cn/blog/dcclynx.html,2024-10-12,
工程塑料,工程塑料是用于工业零件或外壳材料的塑料，具有高强度、耐冲击性和耐热性，广泛应用于汽车、电子电器等领域。,塑料产业,智研咨询,https://www.chyxx.com/industry/1169177.html,2024-10-12,
聚酰胺（PA）,聚酰胺是一种重要的工程塑料，具有良好的机械强度和耐磨性，常用于制造汽车零部件和电子产品。,塑料产业,智研咨询,https://www.chyxx.com/industry/1169177.html,2024-10-12,
聚碳酸酯（PC）,聚碳酸酯是一种透明且耐冲击的工程塑料，广泛应用于安全眼镜、汽车灯罩等领域。,塑料产业,智研咨询,https://www.chyxx.com/industry/1169177.html,2024-10-12,
ABS塑料,ABS塑料是一种通用的热塑性塑料，具有优良的抗冲击性和加工性能，广泛应用于家电和玩具等领域。,塑料产业,智研咨询,https://www.chyxx.com/industry/1169177.html,2024-10-12,
可降解塑料,可降解塑料是通过生物基材料或回收材料制造的环保材料，逐渐成为市场的新宠，适用于包装等领域。,环保产业,智研咨询,https://www.chyxx.com/industry/1169177.html,2024-10-12,
石墨烯,石墨烯是一种由碳原子构成的单层二维材料，具有优异的电导性和强度，广泛应用于电子、能源和纳米技术领域。,电子产业、能源产业,Research and Markets,https://www.researchandmarkets.com/products/graphene-market,,
纳米硅材料,纳米硅材料在锂离子电池中作为负极材料使用，具有高容量和长循环寿命，是提升电池性能的关键材料之一。,电池产业,Battery Research Journal,https://www.batteryresearchjournal.com,,
热塑性聚氨酯（TPU）,热塑性聚氨酯是一种高弹性、耐磨损的塑料，广泛用于制鞋、电子外壳和汽车配件等领域。,塑料产业、鞋业,Polymer Materials Journal,https://www.polymermaterialsjournal.com,,
自修复聚合物,自修复聚合物是一种可以在受到损伤后自动恢复形状和性能的新型材料，具有广阔的应用前景，尤其在航空航天领域。,航空航天、材料科学,Advanced Materials,https://www.advancedmaterials.com,,
