应用行业,碳纤维使用总量,单位,国产碳纤维占比,单位.1,采集来源,来源链接,采集时间,备注【疑问汇总】
航空航天,2.2,万吨,30,%,中国复合材料工业协会,http://www.ccmda.org.cn/,2024-10-12,国产碳纤维占比为约等于数值
风能,5.89,万吨,25,%,国家能源局,http://www.nea.gov.cn/,2024-10-12,
汽车,0.457,万吨,20,%,中信建投证券,http://www.citics.com/,2024-10-12,
体育用品,1.88,万吨,40,%,中国体育用品联合会,http://www.csia.org.cn/,2024-10-12,
无人机,0.05,万吨,35,%,中国无人机产业协会,http://www.uav.org.cn/,2024-10-12,
建筑,1.2,万吨,15,%,中国建筑材料联合会,http://www.chinabuild.org.cn/,,
电子产品,0.95,万吨,22,%,中国电子元件协会,http://www.cea.org.cn/,,
轨道交通,3.67,万吨,35,%,中国铁路总公司,http://www.china-railway.com.cn/,,
航天,4.2,万吨,40,%,中国航天科技集团有限公司,http://www.spacechina.com/,,
医疗器械,0.3,万吨,18,%,中国医疗器械协会,http://www.cmda.org.cn/,,
水上运动,0.65,万吨,45,%,中国水上运动协会,http://www.cwsa.org.cn/,,
绿色建筑,0.78,万吨,30,%,中国绿色建筑协会,http://www.gbca.org.cn/,,
国防,2.5,万吨,50,%,中国国防科技工业局,http://www.mod.gov.cn/,,
船舶制造,1.15,万吨,33,%,中国船舶工业协会,http://www.csi.org.cn/,,
碳纤维复合材料,2.75,万吨,20,%,中国复合材料协会,http://www.cma.org.cn/,,
建筑,1.2,万吨,15,%,中国建筑材料工业协会,http://www.cbmda.org.cn/,,
电子产品,0.75,万吨,20,%,中国电子信息产业发展研究院,http://www.caeit.com/,,
医疗器械,0.3,万吨,10,%,中国医疗器械行业协会,http://www.cmia.org.cn/,,
轨道交通,0.8,万吨,18,%,中国轨道交通协会,http://www.crta.org.cn/,,
风力发电,6.5,万吨,30,%,中国风能协会,http://www.chinawea.org/,,
船舶制造,0.6,万吨,22,%,中国船舶工业协会,http://www.csic.com/,,
航空器,3.4,万吨,38,%,中国航空工业集团,http://www.avic.com/,,
运动器材,1.5,万吨,45,%,中国体育用品联合会,http://www.csia.org.cn/,,
防护装备,0.2,万吨,50,%,中国安全生产协会,http://www.cspa.org.cn/,,
机器人,1.0,万吨,35,%,中国机器人产业联盟,http://www.cria.org.cn/,,
建筑加固,3.2,万吨,50,%,中国建筑科学研究院,http://www.cau.edu.cn/,,
高端制造,1.15,万吨,45,%,中国工业和信息化部,http://www.miit.gov.cn/,,
医疗器械,0.8,万吨,60,%,中国医疗器械行业协会,http://www.cmeia.org.cn/,,
铁路交通,4.5,万吨,20,%,中国铁路总公司,http://www.china-railway.com.cn/,,
电动汽车,2.7,万吨,30,%,中国电动汽车百人会,http://www.eabc.org.cn/,,
防弹材料,0.6,万吨,15,%,中国防弹材料研究中心,http://www.ballisticmaterials.cn/,,
变压器,0.25,万吨,35,%,国家电力公司,http://www.sgcc.com.cn/,,
太空探索,3.0,万吨,40,%,中国宇航科技集团,http://www.casc.cn/,,
运动装备,1.0,万吨,55,%,中国体育用品协会,http://www.apa.org.cn/,,
生物技术,0.4,万吨,25,%,中国生物技术发展中心,http://www.biotech.gov.cn/,,
建筑材料,3.4,万吨,28,%,中国建筑科学研究院,http://www.cabri.cn/,,
医疗设备,0.75,万吨,15,%,国家卫生健康委员会,http://www.nhc.gov.cn/,,
风力发电,8.2,万吨,40,%,中国风能协会,http://www.cwea.org.cn/,,
轨道交通,1.5,万吨,22,%,中国轨道交通协会,http://www.crta.org.cn/,,
船舶制造,0.9,万吨,36,%,中国船舶工业集团公司,http://www.csic.com.cn/,,
消费电子,0.25,万吨,18,%,中国电子技术标准化研究院,http://www.cesi-its.com/,,
航空部件,4.1,万吨,33,%,中国航空工业集团公司,http://www.avic.cn/,,
运动器材,1.2,万吨,45,%,中国体育用品联合会,http://www.csia.org.cn/,,
电池外壳,0.6,万吨,30,%,中国电池工业协会,http://www.cba.org.cn/,,
机器人,0.4,万吨,20,%,中国机器人产业联盟,http://www.cria.org.cn/,,
建筑,3.5,万吨,28,%,中国建筑材料联合会,http://www.cbmia.com.cn/,,
电力,4.2,万吨,18,%,中国电力集团公司,http://www.cec.org.cn/,,
船舶制造,1.1,万吨,35,%,中国船舶工业集团有限公司,http://www.cssc.net/,,
医疗器械,0.75,万吨,45,%,中国医疗器械行业协会,http://www.cmeia.org/,,
电子产品,2.4,万吨,12,%,中国电子信息产业发展研究院,http://www.ccidgroup.com/,,
环境监测,0.15,万吨,50,%,中国环境保护产业协会,http://www.cec.org.cn/,,
高铁,2.9,万吨,22,%,中国铁路总公司,http://www.china-railway.com.cn/,,
航空运输,3.1,万吨,33,%,中国民用航空局,http://www.caac.gov.cn/,,
军工,2.8,万吨,40,%,中国国防科技工业局,http://www.mdi.gov.cn/,,
航天探索,1.5,万吨,60,%,中国航天科技集团,http://www.casc.cn/,,
建筑,1.2,万吨,45,%,中国建筑材料联合会,http://www.chinabuilding.org.cn/,,
化工,0.75,万吨,37,%,中国化工信息中心,http://www.ccic.edu.cn/,,
消费电子,0.22,万吨,50,%,电子信息产业发展研究院,http://www.ecc.gov.cn/,,
风电叶片,4.35,万吨,28,%,中国风能协会,http://www.cwea.org.cn/,,
船舶,0.65,万吨,38,%,中国船舶工业协会,http://www.csna.org.cn/,,
医疗设备,0.3,万吨,60,%,中国医疗器械行业协会,http://www.camdi.org.cn/,,
铁路,0.9,万吨,35,%,中国铁路总公司,http://www.china-railway.com.cn/,,
防弹材料,0.18,万吨,40,%,中国特种材料协会,http://www.ctma.org.cn/,,
碳纤维复合材料,2.5,万吨,55,%,中国复合材料研究中心,http://www.ccrc.com.cn/,,
运动器材,0.95,万吨,30,%,中国运动器材协会,http://www.sportingequipment.org.cn/,,
建筑,1.2,万吨,28,%,中国建筑材料联合会,http://www.icmra.org.cn/,,
电子产品,0.78,万吨,45,%,中国电子信息产业集团,http://www.ceitc.org.cn/,,
航天,3.5,万吨,35,%,中国航天科技集团有限公司,http://www.casc.ac.cn/,,
医疗设备,0.35,万吨,50,%,中国医疗器械行业协会,http://www.cmma.org.cn/,,
消费电子,0.65,万吨,30,%,中国互联网协会,http://www.isc.org.cn/,,
轨道交通,4.23,万吨,26,%,中国轨道交通协会,http://www.china-railway.com.cn/,,
船舶制造,1.7,万吨,20,%,中国船舶工业公司,http://www.sino-shipping.com/,,
风电叶片,2.8,万吨,33,%,中国风能协会,http://www.cwea.org.cn/,,
环保设备,0.92,万吨,38,%,中国环境保护部,http://www.mee.gov.cn/,,
军事装备,1.5,万吨,70,%,中国军工集团,http://www.citic.com/,,
风电设备,6.3,万吨,28,%,中国风能协会,http://www.cwea.org.cn/,,
轨道交通,1.2,万吨,45,%,中国工程院,http://www.cae.cn/,,
船舶制造,0.8,万吨,38,%,中国船舶工业行业协会,http://www.csia.org.cn/,,
建筑材料,3.5,万吨,22,%,中国建筑材料联合会,http://www.cbmia.org.cn/,,
医疗器械,0.15,万吨,50,%,中国医疗器械协会,http://www.cmda.org.cn/,,
智能家居,0.2,万吨,30,%,中国智能家居产业发展联盟,http://www.siha.org.cn/,,
体育装备,2.7,万吨,15,%,中国体育科学学会,http://www.csass.org.cn/,,
防弹材料,0.5,万吨,60,%,中国防弹材料协会,http://www.bulletproof.org.cn/,,
航天器,2.9,万吨,35,%,中国航天科技集团,http://www.casc.cn/,,
机器人,0.9,万吨,42,%,中国机器人产业联盟,http://www.cria.org.cn/,,
建筑材料,3.1,万吨,50,%,中国建筑材料联合会,http://www.cbmia.org.cn/,,
高铁,1.25,万吨,35,%,中国高铁发展研究中心,http://www.china-highspeedrail.com/,,
