材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注【疑问汇总】
锂离子电池材料,LiCoO₂,层状晶体结构,5.1,g/cm³,2.8,g/cm³,3.5,g/cm³,140.0,mAh/g,130.0,mAh/g,150.0,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的循环性能,成本较高、资源有限,电动车、消费电子,中国科学院,http://www.casl.ac.cn/,2024-10-12,
磷酸铁锂材料,LiFePO₄,正交晶体结构,3.6,g/cm³,2.0,g/cm³,2.5,g/cm³,170.0,mAh/g,160.0,mAh/g,90.0,Wh/kg,3.2,V,2.5-4.0 V,优秀,环保性强,安全性高,-20°C至60°C,较低,安全性高、循环寿命长,能量密度相对较低,电动车、储能系统,国家能源局,http://www.nea.gov.cn/,2024-10-12,
三元材料,LiNiCoMnO₂,层状晶体结构,4.9,g/cm³,,g/cm³,,g/cm³,,mAh/g,,mAh/g,,Wh/kg,-,V,-,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的功率性能,成本较高、稳定性需提升,电动车、消费电子,智研咨询,https://www.chyxx.com/,2024-10-12,
镍钴锰三元材料,LiNiMnCoO₂,层状晶体结构,4.8,g/cm³,3.0,g/cm³,3.6,g/cm³,180.0,mAh/g,170.0,mAh/g,240.0,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,安全性良好,-20°C至70°C,中等,高能量密度、良好的稳定性,对环境的影响需评估,电动车、储能系统,中科院化学研究所,http://www.iccas.ac.cn/,,
扩展钴基材料,LiCoO₂-x,层状晶体结构,5.2,g/cm³,2.9,g/cm³,3.7,g/cm³,155.0,mAh/g,145.0,mAh/g,160.0,Wh/kg,3.75,V,3.2-4.5 V,良好,环境影响较小,安全性高,-10°C至50°C,较高,高功率性能、高电压,材料稀缺,电动车、航空航天,电池研究协会,http://www.batteryassociation.org/,,
硅基复合材料,Li_xSiO_y,非晶态,2.4,g/cm³,1.6,g/cm³,1.8,g/cm³,400.0,mAh/g,350.0,mAh/g,500.0,Wh/kg,3.1,V,0.5-4.0 V,较差,环境影响中等,安全性待评估,-10°C至60°C,较低,理论容量高、原料丰富,循环稳定性差,电动工具、消费电子,清华大学电池研究中心,http://www.thu.edu.cn/,,
钛酸锂材料,Li4Ti5O12,立方体晶体结构,2.2,g/cm³,1.8,g/cm³,2.0,g/cm³,175.0,mAh/g,153.0,mAh/g,80.0,Wh/kg,2.4,V,1.5-2.8 V,良好,环保性较差,安全性能高,-30°C至70°C,较高,极好的安全性、短时间充电,能量密度较低,电动车、起重机,国家材料实验室,http://www.nml.org/,,
硫化锂材料,Li₂S,立方晶体结构,1.7,g/cm³,1.1,g/cm³,1.3,g/cm³,1160.0,mAh/g,900.0,mAh/g,600.0,Wh/kg,1.9,V,1.5-2.2 V,非常优秀,相对环保,较安全,-20°C至70°C,较低,极高理论容量、成本低,使用湿度敏感,电动车、智能手机,科学前沿期刊,http://www.frontiers.com/,,
高镍材料,LiNi₁₋ₓCoₓO₂,层状晶体结构,5.1,g/cm³,3.1,g/cm³,3.5,g/cm³,200.0,mAh/g,190.0,mAh/g,270.0,Wh/kg,3.65,V,3.0-4.4 V,良好,中等环保性,有待提高,-20°C至65°C,较高,高能量密度、快速充电,对环境影响需关注,电动车、航空,能源研究中心,http://www.eires.org/,,
铝酸锂材料,LiAlO₂,六方晶体结构,3.5,g/cm³,2.2,g/cm³,2.7,g/cm³,120.0,mAh/g,115.0,mAh/g,130.0,Wh/kg,3.0,V,2.0-4.2 V,良好,环保性较低,安全性能较高,-10°C至50°C,中等,强导电性、稳定性好,能量密度一般,电子设备、移动设备,电子科学技术支援中心,http://www.electronics.org/,,
