终端名称（字符型）,硬件技术（字符型）,细分行业场景（字符型）,核心高端器件（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
智能语音助手,ARM Cortex-A53,家庭智能助手,高性能麦克风阵列,新华网,http://www.news.cn/info/20220104/3f20972b9de2458a9957463f8b7b478f/c.html,2024-10-10,
智能安全摄像头,CMOS传感器,家庭安防,高清图像传感器,智能终端白皮书,https://www.cac.gov.cn/files/pdf/baipishu/ITwhitepaper.pdf,2024-10-10,
适老化智能手机,高集成度SoC,移动通信,ARM处理器,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-10-10,
智能家居控制器,Zigbee模块,家庭自动化,无线通信芯片,中国电子学会、国家电网、麦肯锡等,https://pdf.dfcfw.com/pdf/H3_AP202205231567306872_1.pdf,2024-10-10,
智能电视,OLED显示技术,家庭娱乐,高速处理器,新华网,http://www.news.cn/info/20220104/3f20972b9de2458a9957463f8b7b478f/c.html,2024-10-10,
健康监测设备,生物传感器,健康管理,心率监测模块,智能终端白皮书,https://www.cac.gov.cn/files/pdf/baipishu/ITwhitepaper.pdf,2024-10-10,
适老化智能音箱,DSP处理技术,家庭娱乐,高保真音频芯片,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-10-10,
智能遥控器,红外和蓝牙技术,家庭控制,多功能芯片,中国电子学会、国家电网、麦肯锡等,https://pdf.dfcfw.com/pdf/H3_AP202205231567306872_1.pdf,2024-10-10,
智能语音翻译器,Qualcomm Snapdragon 600,语言翻译,多语言语音识别芯片,科技日报,http://www.stdaily.com/,,
适老化智能手表,低功耗蓝牙5.0,健康监测,心电监测模块,中国健康管理协会,http://www.chinahma.org/,,
智能家居助手,ARM Cortex-A76,家庭智能化,语音交互处理器,未来科技论坛,http://www.futuretechforum.org/,,
适老化健康监控仪,Wi-Fi及蓝牙模块,老年人健康管理,连续血糖监测传感器,健康中国,http://www.healthchina.com/,,
智能愿景辅助系统,增强现实技术,视觉支持,高清显示屏,国际科学技术合作中心,http://www.icstcc.org/,,
智能空气净化器,HEPA过滤技术,空气质量管理,空气质量传感器,家电网,http://www.homeappliances.com/,,
适老化智能门铃,高清摄像头技术,家庭安全,移动监控模块,中国安防行业协会,http://www.security.org.cn/,,
智能运动监测器,MEMS加速度传感器,健康管理,GPS定位模块,运动科技刊,http://www.sports-tech.com/,,
智能药物分配器,微控制器技术,药物管理,自动识别技术,药物管理协会,http://www.drugmanagement.org/,,
适老化智能床垫,压力传感器技术,家居健康,睡眠监测模块,健康产业观察,http://www.healthindustry.com/,,
智能健康手环,蓝牙低功耗技术,健康监测,多功能传感器模块,健康科技动态,https://www.healthtechnews.com,,
老年人社交平板,高性能处理器,社交互动,大容量存储芯片,电子信息日报,https://www.elecmail.com,,
智能语音翻译器,国产AI芯片,语言服务,高灵敏度麦克风,科技创新网,https://www.innovationnews.cn,,
智能眼镜,AR显示技术,增强现实服务,超薄OLED屏幕,未来科技论坛,https://www.futuretechforum.com,,
智能家居监测仪,物联网无线传输,家庭安全,多点传感器,中国智能家居网,https://www.smart-home.cn,,
适老化遥控抬腿器,智能传动系统,健康辅助,驱动电机,家庭健康照护协会,https://www.homehealthcare.org,,
适老化视频聊天设备,高清摄像头技术,远程沟通,高品质音频模块,科技报道杂志,https://www.techreporter.com,,
智能健康检测仪,传感器网络技术,健康管理,心率监测芯片,健康行业观察,https://www.healthindustryobserver.com,,
适老化机器人助手,人机交互技术,日常辅助,智能导航系统,机器人技术论坛,https://www.roboticstechforum.com,,
环境监测智能终端,多传感器融合,宜居环境,气体传感器,环境科技报告,https://www.environmentaltechreport.com,,
适老化平板电脑,高通Snapdragon 8系列,便携式办公,高清多点触控屏,科技日报,http://www.stdaily.com/tech/,,
智能健康手环,低功耗蓝牙5.0,运动监测,加速度计,新华网,http://www.news.cn/info/,,
智能家居安防系统,Wi-Fi 6技术,家庭安全,智能门锁,国家市场监管总局,http://www.samr.gov.cn/,,
老年用户定制化智能音响,ARM Cortex-M4,家庭娱乐,蓝牙音能放大器,中国电子报,http://www.cena.com.cn/,,
智能家居环境监控器,传感器融合技术,环境监测,空气质量传感器,中国互联网络信息中心,http://www.cnnic.net.cn/,,
适老化远程医疗终端,高通Snapdragon 600系列,远程医疗,生物识别模块,健康时报,http://www.jksb.com.cn/,,
智能语音翻译器,MTK处理器,旅行辅助,高精度麦克风,中国科技网,http://www.cstimes.com/,,
适老化移动健康监测仪,ARM Cortex-A55,健身指导,心率监测器,健康管理月刊,http://www.healthmonthly.com/,,
老年人社交平台终端,英特尔Atom处理器,社交互动,高清摄像头,中国网络安全杂志,http://www.cncyz.com/,,
智能药品提醒器,ARM Cortex-A78,健康管理,语音提示芯片,医药经济报,http://www.pharmaeconomics.com/,,
智能药盒,RFID识别技术,老年医疗辅助,智能识别模块,健康中国,http://www.nhc.gov.cn/,,
适老化智能手表,蓝牙低功耗技术,移动健康监测,心电监测传感器,国际电子商情,https://www.asiaic.com/,,
智能门铃,视频监控技术,家庭安全,广角摄像头,中国智能家居网,http://www.smarthome.cn/,,
适老化平板电脑,高分辨率显示屏,数字社交,高效能处理器,IT168,https://www.it168.com/,,
智能照明系统,智能LED驱动技术,家庭自动化,环境传感器,深圳智能硬件,https://www.szih.com/,,
智能语音翻译器,自然语言处理技术,跨语言交流,高性能AI处理器,科技日报,http://www.stdaily.com/,,
智能体重秤,多功能传感器技术,健康管理,生物电阻抗分析仪,梅花网,https://www.meihua.info/,,
适老化视频通话设备,高清音视频编解码技术,远程沟通,高清摄像头,互联网周刊,http://www.ew.com/,,
语音识别遥控器,远场语音感知技术,家庭控制,智能语音芯片,电子技术设计,http://www.elecfans.com/,,
智能健康记录仪,云数据存储技术,健康档案管理,安全加密模块,健康产业观察,http://www.healthindustry.com/,,
智能陪伴机器人,NVIDIA Jetson TX2,老年人陪伴,深度学习模块,百度研究院,http://www.baidu.com/research/,,
便携式健康检测仪,ARM Cortex-M4,个人健康管理,多功能传感器集成,健康中国行动网,http://www.healthchina.com/,,
智能家居监控系统,高性能FPGA,家庭安全防范,360度旋转摄像头,搜狐科技,http://www.sohu.com/technology/,,
适老化平板电脑,高亮度IPS显示技术,移动信息获取,高效能电池管理系统,中国电子报,http://www.cec.org.cn/,,
智能步态监测设备,超低功耗蓝牙4.2,老年人运动监测,精准动作传感器,科技日报,http://www.stdaily.com/,,
药品提醒智能设备,物联网模块,健康管理,智能计时器,新医网,http://www.xyiyuan.com/,,
精准定位智能手环,GPS和心率监测技术,个人安全定位,高精度GPS模块,新华网,http://www.news.cn/,,
老年人社交智能终端,大屏幕触控技术,社交互动,高分辨率显示器,IT168,http://www.it168.com/,,
智能居家健身设备,智能检测系统,居家健身,精密传感器,健康报,http://www.jkb.com.cn/,,
适老化智能手表, AMOLED显示技术,日常生活辅助,生物信息监测模块,电子产业网,http://www.eccn.com/,,
适老化智能平板,Qualcomm Snapdragon 660,移动通信,高分辨率显示屏,中国老龄事业发展基金会,https://www.clfg.org.cn/,,
智能体检仪,ARM Cortex-M4,医疗健康,温度监测传感器,健康中国2023报告,https://www.nhc.gov.cn/,,
智能救援呼叫器,LoRaWAN通信技术,紧急求助,一键呼叫模块,中国紧急救援协会,http://www.chinarescue.org/,,
适老化健身手环,Nordic BLE5.0,健康管理,心率监测传感器,智能穿戴市场分析,https://www.wearabletechinsights.com/,,
智能药盒,IoT智能模块,家庭健康,提醒功能芯片,中国药品监督管理局,http://www.nmpa.gov.cn/,,
老年人辅助通话设备,DSP音频处理,通讯服务,高灵敏度麦克风,中国老龄化信息网络,http://www.chinaelderly.org/,,
智能家庭陪伴机器人,OpenAI GPT-3,家庭陪伴,情感识别模块,机器人技术及应用研究,https://www.robotiq.com/,,
智能安防门锁,RFID和生物识别,家庭安全,指纹识别模块,中国安防协会,http://www.cpsa.org.cn/,,
适老化电子书阅读器,E-ink显示技术,阅读文化,高亮度背光灯,中国图书出版协会,http://www.cppa.org.cn/,,
