服务商（字符型）,拥有内容类型（字符型）,拥有数据库个数（字符型）,拥有加盟数据库个数（字符型）,每日新增全文文献数量（字符型）,每日新增知识元数量（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
RWS,文档、本地化内容,150,30,500,1000,RWS官网,https://www.rws.com/cn/support/professional-services/content-supply-chain/,2024-10-11,
法本信息,行业报告、数据分析,200,50,300,800,法本信息官网,https://www.farben.com.cn/hangyeanli/list.html,2024-10-11,
阿里巴巴国际站,产品信息、市场数据,400,100,600,1200,亿邦动力,https://m.ebrun.com/fws/,2024-10-11,
腾讯云,云计算资源、API文档,250,70,400,900,腾讯云官网,https://cloud.tencent.com/product/,2024-10-11,
Zoho,CRM数据、客户案例,180,40,350,700,Zoho官网,https://www.zoho.com.cn/crm/articles/case0829.html,2024-10-11,
商派软件,零售数据、交易记录,300,60,450,1100,商派官网,https://www.shangpai.com/,2024-10-11,
京东云,电商数据、用户行为分析,220,55,500,950,京东云官网,https://cloud.jd.com/,2024-10-11,
华为云,云服务数据、技术白皮书,300,80,450,1000,华为云官网,https://support.huaweicloud.com/,,
IBM,人工智能模型、行业白皮书,200,55,300,750,IBM官网,https://www.ibm.com/cloud,,
金山云,云存储数据、开发者文档,400,90,600,1250,金山云官网,https://www.kdcloud.com/,,
字节跳动,社交媒体数据、内容创作工具,500,120,800,1500,字节跳动官网,https://www.bytedance.com/,,
微软,软件开发工具、技术支持文档,350,85,400,900,微软官网,https://www.microsoft.com/,,
Fastly,CDN数据、实时分析,180,45,350,800,Fastly官网,https://www.fastly.com/,,
Salesforce,客户关系管理数据、市场分析,700,150,900,1900,Salesforce官网,https://www.salesforce.com/,,
Adobe,内容创作工具、设计模板,250,60,400,650,Adobe官网,https://www.adobe.com/,,
Squarespace,网站建设工具、营销分析,150,30,200,600,Squarespace官网,https://www.squarespace.com/,,
网易云,音乐内容、用户反馈数据,320,75,550,1300,网易云官网,https://music.163.com/,,
快牙科技,数据挖掘、市场研究,350,80,560,1150,快牙科技官网,https://www.kuaiya.com/,,
数海云,软件文档、用户指南,150,30,250,600,数海云官网,https://www.shuhaiyun.com/,,
DataArt,行业分析、技术白皮书,400,100,700,1300,DataArt官网,https://www.dataart.com/,,
华为云,大数据资源、算法库,500,120,800,1500,华为云官网,https://cloud.huawei.com/,,
百度文库,学习资料、教育内容,250,50,400,950,百度文库官网,https://wenku.baidu.com/,,
OpenAI,机器学习模型、研究论文,300,75,550,1400,OpenAI官网,https://www.openai.com/,,
微众银行,金融科技数据、信用评级,200,45,320,850,微众银行官网,https://www.weizhongbank.com/,,
信息化咨询公司,数据分析报告、技术白皮书,280,60,450,1000,信息化咨询官网,https://www.infonet.com.cn/,,
