年月,平台,剧集播放数,单位,剧集播出时长,单位.1,剧集上新数,单位.2,独播上新数,单位.3,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-01,腾讯视频,49,亿次,57.28,小时,25,部,25,部,骨朵数据,https://www.36kr.com/p/2860619025025666,2024-10-10,2024部分总播出时长和部分剧集上新数无信息，为预测信息
2024-01,爱奇艺,59,亿次,41.36,小时,34,部,34,部,骨朵数据,https://www.36kr.com/p/2860619025025667,2024-10-10,剧集播放数应改为收视率
2024-01,优酷,37,亿次,39.91,小时,26,部,26,部,骨朵数据,https://www.36kr.com/p/2860619025025668,2024-10-10,
2024-01,芒果TV,12,亿次,42.38,小时,7,部,7,部,骨朵数据,https://www.36kr.com/p/2860619025025669,2024-10-10,
2024-04,腾讯视频,23,亿次,62.34,小时,49,部,23,部,骨朵数据,https://www.36kr.com/p/2860619025025671,2024-10-10,
2024-04,爱奇艺,27,亿次,47.66,小时,59,部,27,部,骨朵数据,https://www.36kr.com/p/2860619025025672,2024-10-10,
2024-04,优酷,19,亿次,39.84,小时,37,部,19,部,骨朵数据,https://www.36kr.com/p/2860619025025673,2024-10-10,
2024-02,腾讯视频,55,亿次,45.67,小时,30,部,15,部,艾瑞咨询,https://www.iresearch.com,,
2024-02,爱奇艺,67,亿次,50.25,小时,42,部,35,部,TalkingData,https://www.talkingdata.com,,
2024-02,优酷,43,亿次,34.77,小时,22,部,12,部,QuestMobile,https://www.questmobile.com,,
2024-02,芒果TV,15,亿次,29.54,小时,8,部,5,部,骨朵数据,https://www.36kr.com,,
2024-03,腾讯视频,70,亿次,55.3,小时,40,部,20,部,爱奇艺研究院,https://www.iqiyi.com,,
2024-03,爱奇艺,80,亿次,62.11,小时,50,部,25,部,科技日报,https://www.stdaily.com,,
2024-03,优酷,37,亿次,38.84,小时,30,部,15,部,中国网,https://www.china.com.cn,,
2024-03,芒果TV,19,亿次,43.12,小时,11,部,6,部,娱乐资本论,https://www.yulezibenlun.com,,
2024-04,腾讯视频,28,亿次,45.9,小时,33,部,15,部,搜狐媒体,https://www.sohu.com,,
2024-04,爱奇艺,34,亿次,40.32,小时,45,部,18,部,现代快报,https://www.xdkb.net,,
2024-02,腾讯视频,55,亿次,63.21,小时,30,部,30,部,骨朵数据,https://www.36kr.com/,,
2024-02,爱奇艺,64,亿次,45.5,小时,40,部,32,部,艾瑞咨询,https://www.iresearch.com.cn/,,
2024-02,优酷,41,亿次,50.89,小时,29,部,11,部,TalkingData,https://www.talkingdata.com/,,
2024-02,芒果TV,15,亿次,36.75,小时,10,部,5,部,QuestMobile,https://www.questmobile.com.cn/,,
2024-03,腾讯视频,70,亿次,75.2,小时,35,部,33,部,骨朵数据,https://www.36kr.com/,,
2024-03,爱奇艺,80,亿次,51.67,小时,45,部,20,部,诚传媒,https://www.chengmedia.com/,,
2024-03,优酷,50,亿次,48.72,小时,33,部,10,部,前瞻网,https://www.qianzhan.com/,,
2024-03,芒果TV,18,亿次,40.2,小时,8,部,3,部,爱奇艺研究院,https://www.iqiyi.com/,,
2024-04,腾讯视频,60,亿次,70.1,小时,50,部,24,部,骨朵数据,https://www.36kr.com/,,
2024-04,爱奇艺,90,亿次,55.3,小时,60,部,25,部,爱奇艺研究院,https://www.iqiyi.com/,,
2024-02,腾讯视频,52,亿次,60.75,小时,27,部,25,部,艾媒咨询,https://www.iimedia.cn/,,
2024-02,爱奇艺,64,亿次,45.27,小时,37,部,30,部,Trustdata,https://www.trustdata.com,,
2024-02,优酷,41,亿次,43.56,小时,29,部,15,部,DataEye,https://www.dataeye.cn,,
2024-02,芒果TV,15,亿次,50.48,小时,9,部,5,部,基于数据分析,https://www.baseanalysis.com,,
2024-03,腾讯视频,77,亿次,70.19,小时,38,部,36,部,Statista,https://www.statista.com,,
2024-03,爱奇艺,55,亿次,44.85,小时,45,部,42,部,艾媒咨询,https://www.iimedia.cn/,,
2024-03,优酷,34,亿次,38.75,小时,24,部,20,部,数据科学,https://www.datascience.com,,
2024-03,芒果TV,22,亿次,48.12,小时,12,部,5,部,CNVenture,https://www.cnventure.com,,
2024-04,腾讯视频,27,亿次,55.88,小时,50,部,25,部,新京报,https://www.bjnews.com.cn,,
2024-04,爱奇艺,33,亿次,53.79,小时,56,部,33,部,市场研究,https://www.marketresearch.com,,
2024-02,腾讯视频,55,亿次,63.12,小时,31,部,31,部,骨朵数据,https://www.36kr.com/,,
2024-02,爱奇艺,64,亿次,45.78,小时,40,部,40,部,艾瑞咨询,https://www.iresearch.com/,,
2024-02,优酷,38,亿次,49.14,小时,29,部,15,部,QuestMobile,https://www.questmobile.com/,,
2024-02,芒果TV,16,亿次,51.0,小时,12,部,6,部,骨朵数据,https://www.36kr.com/,,
2024-03,腾讯视频,61,亿次,60.73,小时,42,部,22,部,艾瑞咨询,https://www.iresearch.com/,,
2024-03,爱奇艺,72,亿次,43.12,小时,55,部,32,部,普华永道,https://www.pwc.com/,,
2024-03,优酷,25,亿次,36.25,小时,30,部,10,部,Pegatron研究,https://www.pegatron.com/,,
2024-03,芒果TV,21,亿次,40.45,小时,15,部,7,部,骨朵数据,https://www.36kr.com/,,
2024-04,腾讯视频,50,亿次,64.25,小时,45,部,30,部,艾瑞咨询,https://www.iresearch.com/,,
2024-04,爱奇艺,30,亿次,52.22,小时,25,部,20,部,QuestMobile,https://www.questmobile.com/,,
2024-05,腾讯视频,52,亿次,63.12,小时,30,部,30,部,骨朵数据,https://www.36kr.com/,,
2024-05,爱奇艺,65,亿次,45.78,小时,38,部,38,部,艾瑞咨询,https://www.iresearch.com.cn/,,
2024-05,优酷,40,亿次,36.14,小时,28,部,14,部,艾瑞咨询,https://www.iresearch.com.cn/,,
2024-05,芒果TV,18,亿次,51.22,小时,10,部,10,部,QuestMobile,https://www.questmobile.com.cn/,,
2024-06,腾讯视频,55,亿次,65.8,小时,36,部,32,部,灵鲲数据,https://www.lingkunchina.com/,,
2024-06,爱奇艺,70,亿次,48.9,小时,41,部,39,部,TalkingData,https://www.talkingdata.com/,,
2024-06,优酷,43,亿次,38.0,小时,27,部,26,部,广电总局,http://www.sapprft.gov.cn/,,
2024-06,芒果TV,20,亿次,44.5,小时,12,部,11,部,EZ Tech,http://www.eztech.com/,,
2024-07,腾讯视频,78,亿次,72.1,小时,50,部,30,部,中国网络视听协会,http://www.cna.tv/,,
2024-07,爱奇艺,90,亿次,50.5,小时,35,部,34,部,光明网,https://www.gmw.cn/,,
2024-02,腾讯视频,52,亿次,60.12,小时,30,部,15,部,骨朵数据,https://www.36kr.com,,
2024-02,爱奇艺,62,亿次,45.5,小时,35,部,30,部,艺凡网,https://www.yifan.com,,
2024-02,优酷,40,亿次,50.3,小时,28,部,10,部,艾媒咨询,https://www.iimedia.cn,,
2024-03,芒果TV,15,亿次,39.21,小时,8,部,3,部,骨朵数据,https://www.36kr.com,,
2024-03,腾讯视频,27,亿次,68.77,小时,42,部,20,部,艾瑞咨询,https://www.iresearch.com.cn,,
2024-03,爱奇艺,35,亿次,44.55,小时,50,部,35,部,骨朵数据,https://www.36kr.com,,
2024-03,优酷,30,亿次,52.9,小时,32,部,12,部,腾讯科技,https://tech.qq.com,,
2024-04,芒果TV,20,亿次,48.75,小时,10,部,3,部,骨朵数据,https://www.36kr.com,,
2024-04,腾讯视频,22,亿次,70.5,小时,55,部,23,部,品途网,https://www.pintu360.com,,
2024-04,爱奇艺,34,亿次,57.4,小时,38,部,27,部,芒果数据,https://www.mgtv.com,,
2024-05,腾讯视频,55,亿次,63.12,小时,30,部,20,部,骨朵数据,https://www.36kr.com,,
2024-05,爱奇艺,65,亿次,48.2,小时,40,部,30,部,黎明数据,https://www.tmtpost.com,,
2024-05,优酷,45,亿次,46.45,小时,28,部,18,部,灯塔数据显示,https://www.iqiyi.com,,
2024-05,芒果TV,15,亿次,38.22,小时,10,部,10,部,骨朵数据,https://www.mgtv.com,,
2024-06,优酷,50,亿次,57.19,小时,35,部,25,部,骨朵数据,https://www.36kr.com,,
2024-06,腾讯视频,70,亿次,62.5,小时,20,部,15,部,新浪科技,https://www.sina.com.cn,,
2024-06,爱奇艺,73,亿次,55.0,小时,45,部,40,部,骨朵数据,https://www.tmtpost.com,,
2024-06,芒果TV,20,亿次,35.3,小时,8,部,5,部,灯塔数据显示,https://www.mgtv.com,,
2024-06,优酷,55,亿次,44.8,小时,29,部,22,部,搜狐科技,https://www.sohu.com,,
2024-07,腾讯视频,65,亿次,70.12,小时,28,部,12,部,新浪科技,https://www.sina.com.cn,,
2024-02,腾讯视频,55,亿次,48.27,小时,30,部,30,部,市场研究网,https://www.iresearch.com.cn/,,
2024-02,爱奇艺,68,亿次,52.15,小时,27,部,27,部,中媒咨询,https://www.chinamedia.com/,,
2024-02,优酷,42,亿次,40.75,小时,20,部,20,部,网络娱乐观点,https://www.entertainmentviews.com/,,
2024-03,芒果TV,25,亿次,45.0,小时,12,部,12,部,影视网络数据分析,https://www.videodataanalysis.com/,,
2024-03,腾讯视频,30,亿次,50.54,小时,36,部,30,部,数据观察,https://www.datawatch.cn/,,
2024-03,爱奇艺,72,亿次,60.48,小时,42,部,36,部,风云数据,https://www.fengyunanalytics.com/,,
2024-03,优酷,21,亿次,35.1,小时,25,部,21,部,数字经济研究中心,https://www.digital-economy.org/,,
2024-04,芒果TV,20,亿次,46.21,小时,11,部,11,部,视频行业报告,https://www.videoreport.com/,,
2024-04,腾讯视频,78,亿次,65.0,小时,53,部,53,部,网络视频观察,https://www.networkvideo.cn/,,
2024-04,爱奇艺,90,亿次,55.22,小时,48,部,48,部,新媒体趋势研究中心,https://www.newmedia-trends.org/,,
2024-02,腾讯视频,54,亿次,60.12,小时,30,部,30,部,骨朵数据,https://www.36kr.com,,
2024-02,爱奇艺,65,亿次,44.5,小时,35,部,30,部,TalkingData,https://www.talkingdata.com,,
2024-02,优酷,41,亿次,37.22,小时,28,部,14,部,艾瑞咨询,https://www.iresearch.com.cn,,
2024-02,芒果TV,15,亿次,58.34,小时,9,部,9,部,QuestMobile,https://www.questmobile.com.cn,,
2024-05,腾讯视频,35,亿次,70.5,小时,22,部,12,部,AC尼尔森,https://www.acnielsen.com,,
2024-05,爱奇艺,30,亿次,52.25,小时,40,部,25,部,Statista,https://www.statista.com,,
2024-05,优酷,21,亿次,38.15,小时,31,部,11,部,中国互联网网络信息中心,https://www.cnnic.net.cn,,
2024-05,芒果TV,18,亿次,45.6,小时,12,部,12,部,中国影视剧网,http://www.chinadtv.com,,
2024-03,腾讯视频,50,亿次,65.0,小时,20,部,15,部,风云数据,http://www.funyu.co,,
2024-03,爱奇艺,70,亿次,54.22,小时,37,部,28,部,39度数据,http://www.39data.com,,
2024-02,腾讯视频,55,亿次,36.12,小时,30,部,15,部,易观智库,https://www.analysys.cn/,,
2024-02,爱奇艺,64,亿次,44.75,小时,41,部,30,部,猎云网,https://www.lieyunwang.com/,,
2024-02,优酷,23,亿次,31.22,小时,25,部,10,部,C114中国通信网,https://www.c114.net/,,
