年月,地区,健身房人数,单位,健身工作室数量,单位.1,健身俱乐部数量,单位.2,健身渗透率,经常参加体育锻炼的人数,单位.3,人均体育场馆面积,单位.4,健身休闲产业规模,单位.5,马拉松参加人数,单位.6,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-01-01,中国,7100.0,万人,44000.0,个,38000.0,个,0.052,22500.0,万人,1.55,平方米,700.0,亿元,60,万人,中商产业研究院,https://www.askci.com/,,
2023-11-01,广东,800.0,万人,4900.0,个,4200.0,个,0.055,2500.0,万人,1.6,平方米,80.0,亿元,7.0,万人,广东省体育局,https://www.gd.gov.cn/,,
2024-02-01,江苏,780.0,万人,4600.0,个,4000.0,个,0.051,2400.0,万人,1.45,平方米,75.0,亿元,6.5,万人,江苏省体育局,https://www.js.gov.cn/,,
2024-03-01,北京,290.0,万人,1700.0,个,1500.0,个,0.0205,840.0,万人,1.35,平方米,25.5,亿元,2.0,万人,北京市体育局,https://www北京市.gov.cn/,,
2023-10-01,山东,610.0,万人,3000.0,个,2600.0,个,0.035,1600.0,万人,1.48,平方米,52.0,亿元,5.0,万人,山东省体育局,https://www.shandong.gov.cn/,,
2024-04-01,湖北,332.0,万人,2000.0,个,1700.0,个,0.0225,1000.0,万人,1.46,平方米,30.0,亿元,2.5,万人,湖北省体育局,https://www.hubei.gov.cn/,,
2023-09-01,云南,187.0,万人,1200.0,个,1000.0,个,0.0125,520.0,万人,1.35,平方米,18.0,亿元,1.0,万人,云南省体育局,https://www.yunnan.gov.cn/,,
2024-05-01,浙江,500.0,万人,3100.0,个,2600.0,个,0.0405,1450.0,万人,1.42,平方米,48.0,亿元,4.0,万人,浙江省体育局,https://www.zhejiang.gov.cn/,,
2024-06-01,陕西,210.0,万人,1400.0,个,1100.0,个,0.0142,630.0,万人,1.57,平方米,20.0,亿元,1.5,万人,陕西省体育局,https://www.shaanxi.gov.cn/,,
2024-06-01,广西,160.0,万人,970.0,个,840.0,个,0.012,480.0,万人,1.56,平方米,16.38,亿元,1.1,万人,健康生活研究中心,https://www.healthyliving.com/,,
2024-05-01,山东,590.0,万人,3205.0,个,2890.0,个,0.0407,1600.0,万人,1.48,平方米,52.31,亿元,4.2,万人,中国健身行业报告,https://www.chinafitnesstrends.com/,,
2024-01-01,广东,830.0,万人,4800.0,个,4200.0,个,0.0542,2400.0,万人,1.4,平方米,78.0,亿元,6.0,万人,广东省体育局,https://www.gdsports.gov.cn/,,
2023-10-01,湖北,306.0,万人,2020.0,个,1750.0,个,0.0219,950.0,万人,1.44,平方米,30.91,亿元,2.5,万人,湖北健身协会,https://www.hubeifitness.com/,,
2024-02-01,浙江,490.0,万人,2900.0,个,2600.0,个,0.0354,1400.0,万人,1.39,平方米,43.75,亿元,3.0,万人,浙江省体育局,https://www.zjsports.gov.cn/,,
2024-04-01,上海,280.0,万人,1650.0,个,1500.0,个,0.0205,820.0,万人,1.35,平方米,27.15,亿元,1.85,万人,上海健身行业协会,https://www.shfit.com/,,
2024-03-01,江苏,750.0,万人,4600.0,个,4000.0,个,0.05,2200.0,万人,1.4,平方米,75.6,亿元,5.5,万人,江苏省健身发展协会,https://www.jsfitness.org/,,
2024-09-01,云南,175.0,万人,1100.0,个,960.0,个,0.0109,528.0,万人,1.62,平方米,15.4,亿元,1.14,万人,云南省体育局,https://www.ynsports.gov.cn/,,
2024-08-01,四川,350.0,万人,2150.0,个,1900.0,个,0.0245,1050.0,万人,1.64,平方米,34.25,亿元,3.1,万人,四川省健身推广办公室,https://www.scfitness.gov.cn/,,
2024-01-01,中国,7600.0,万人,48500.0,个,39800.0,个,0.052,22000.0,万人,1.55,平方米,720.0,亿元,55.0,万人,中国体育科学研究院,https://www.sport.edu.cn/,,
2023-09-01,广东,800.0,万人,4900.0,个,4300.0,个,0.055,2450.0,万人,1.5,平方米,75.0,亿元,6.0,万人,广东省体育局,https://www.gd-sport.gov.cn/,,
2024-03-01,江苏,785.0,万人,4600.0,个,4000.0,个,0.051,2300.0,万人,1.42,平方米,78.65,亿元,7.23,万人,江苏省体育局,https://www.js-sport.gov.cn/,,
