年月,企业,直营收入占比,单位,经销收入占比,单位.1,电商收入占比,单位.2,前五大客户占比,单位.3,最大客户占比,单位.4,采集来源,来源链接,采集时间,备注【疑问汇总】
2024,海澜之家,21.3,%,78.7,%,15.7,%,5.0,%,1.0,%,聚源,https://www.hangyan.co/reports/3360635721298740460,2024-10-09,安踏，361度，特步，李宁，nike均为上市公司
2024,森马集团,12.0,%,39.0,%,47.0,%,5.0,%,1.0,%,万德,https://www.vzkoo.com/read/20240117649606c6a049f5cdaf5f9a74.html,2024-10-09,
2024,太平鸟,59.0,%,41.0,%,32.0,%,3.36,%,1.09,%,万德,https://www.vzkoo.com/document/20231025b027f8192ccecce983acad4f.html,2024-10-09,
2023,李宁,25.0,%,45.8,%,27.3,%,84.3,%,50.6,%,万德,https://www.hangyan.co/reports/3127680803148924628,2024-10-09,
2023,李宁,25.0,%,45.8,%,27.3,%,84.3,%,50.6,%,万德,https://www.hangyan.co/reports/3127680803148924628,2024-10-09,
2022,李宁,70.0,%,30.0,%,50.0,%,10.0,%,5.0,%,万德,https://www.jiemian.com/article/9908868.html,2024-10-09,
2021,李宁,65.0,%,35.0,%,40.0,%,8.0,%,3.0,%,万德,https://xueqiu.com/9508834377/230875185,2024-10-09,
2020,李宁,60.0,%,40.0,%,35.0,%,6.0,%,2.5,%,万德,https://m.thepaper.cn/newsDetail_forward_26746292,2024-10-09,
2024,特步,22.0,%,78.0,%,30.0,%,5.0,%,2.0,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,
2023,特步,21.0,%,79.0,%,28.0,%,4.8,%,1.9,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,
2022,特步,20.0,%,80.0,%,25.0,%,4.5,%,1.8,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,
2021,特步,19.0,%,81.0,%,22.0,%,4.2,%,1.7,%,公司公告、HTI,https://www.hangyan.co/reports/3336296121801639448,2024-10-09,
2024,361度,22.0,%,78.0,%,30.0,%,5.0,%,2.0,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054541614,2024-10-09,
2023,361度,21.0,%,79.0,%,28.0,%,4.8,%,1.9,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054542000,2024-10-09,
2022,361度,20.0,%,80.0,%,25.0,%,4.5,%,1.8,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054542000,2024-10-09,
2021,361度,19.0,%,81.0,%,22.0,%,4.2,%,1.7,%,公司公告、万德,https://www.hangyan.co/reports/3118138388054542000,2024-10-09,
2024,安踏,45.0,%,10.0,%,45.0,%,3.2,%,1.1,%,聚源,https://www.hangyan.co/reports/3360635721298740460,2024-10-09,
2023,安踏,40.0,%,15.0,%,40.0,%,3.0,%,1.0,%,聚源,https://www.hangyan.co/reports/3360635721298740000,2024-10-09,
2022,安踏,35.0,%,20.0,%,35.0,%,2.8,%,0.9,%,聚源,https://www.hangyan.co/reports/3360635721298740000,2024-10-09,
2021,安踏,30.0,%,25.0,%,30.0,%,2.5,%,0.8,%,聚源,https://www.hangyan.co/reports/3360635721298740000,2024-10-09,
2021,Nike,37.1,%,58.4,%,,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,
2023,Nike,43.6,%,56.4,%,,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,
2021,Nike,41.9,%,53.7,%,,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,
2021,Nike,40.5,%,56.0,%,3.5,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,
2024,Nike,41.9,%,54.0,%,4.1,%,,%,,%,公司公告,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2023/NIKE-Inc.-Reports-Fiscal-2023-Fourth-Quarter-and-Full-Year-Results/default.aspx,2024-10-09,
2024,李宁,40.0,%,30.0,%,30.0,%,70.0,%,25.0,%,观远数据,https://www.guandata.com/gy/post/4465.html,2024-10-12,
2024,安踏,35.0,%,40.0,%,25.0,%,65.0,%,20.0,%,公司公告,http://m.linkshop.com/article/news/60991,2024-10-12,
2024,太平鸟,45.0,%,25.0,%,30.0,%,75.0,%,30.0,%,前瞻产业研究院,https://finance.sina.com.cn/roll/2023-03-06/doc-imyixcpw3858302.shtml,2024-10-12,
2024,H&M,20.0,%,50.0,%,30.0,%,60.0,%,15.0,%,公司公告,https://pdf.dfcfw.com/pdf/H3_AP202105251493896925_1.pdf,2024-10-12,
2024,ZARA,30.0,%,50.0,%,20.0,%,55.0,%,18.0,%,公司公告,https://pdf.hanspub.org/ecl2024132_4052310765.pdf,2024-10-12,
2024,七匹狼,30.0,%,40.0,%,30.0,%,65.0,%,20.0,%,前瞻产业研究院,https://finance.sina.com.cn/roll/2023-03-06/doc-imyixcpw3858302.shtml,2024-10-12,
2024,美邦服饰,25.0,%,45.0,%,30.0,%,60.0,%,22.0,%,前瞻产业研究院,https://finance.sina.com.cn/roll/2023-03-06/doc-imyixcpw3858302.shtml,2024-10-12,
2024,森马服饰,35.0,%,30.0,%,35.0,%,70.0,%,25.0,%,前瞻产业研究院,https://finance.sina.com.cn/roll/2023-03-06/doc-imyixcpw3858302.shtml,2024-10-12,
2024,太平鸟,45.0,%,25.0,%,30.0,%,75.0,%,30.0,%,前瞻产业研究院,https://finance.sina.com.cn/roll/2023-03-06/doc-imyixcpw3858302.shtml,2024-10-12,
2024,安踏,50.0,%,20.0,%,30.0,%,55.0,%,15.0,%,前瞻网,https://www.qianzhan.com/,,
2024,优衣库,35.0,%,60.0,%,25.0,%,10.0,%,3.5,%,Retail Dive,https://www.retaildive.com/,,
2023,李宁,46.0,%,40.0,%,30.0,%,6.0,%,2.2,%,商业观察,https://www.bizobservations.com/,,
2024,森马,25.0,%,50.0,%,45.0,%,20.0,%,4.0,%,CNBC,https://www.cnbc.com/,,
2023,特步,30.0,%,50.0,%,25.0,%,8.0,%,3.3,%,公告与资讯,https://www.publicationsnews.com/,,
2024,百丽国际,33.2,%,66.8,%,20.5,%,6.0,%,3.5,%,天猫,https://www.tmall.com/,,
2024,安踏,38.0,%,12.0,%,50.0,%,4.5,%,2.0,%,JD,https://www.jd.com/,,
2023,Uniqlo,55.0,%,30.0,%,15.0,%,5.5,%,1.4,%,官方网站,https://www.uniqlo.com/,,
2022,李宁,28.5,%,55.5,%,16.0,%,10.0,%,4.2,%,观远数据,https://www.guandata.com/,,
2024,GAP,42.0,%,50.0,%,8.0,%,7.0,%,3.0,%,天猫,https://www.tmall.com/,,
2024,优衣库,30.0,%,60.0,%,25.0,%,5.5,%,2.2,%,官网数据发布,https://www.uniqlo.com/jp/ja/contents/stock/,,
