机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,采集来源,来源链接,采集时间,备注【疑问汇总】
超精密铣床,0.01 nm,±0.01 μm,Ra < 0.025 μm,高,5 g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-10-11,
超精密铣床,0.01 nm,±0.01 μm,Ra < 0.025 μm,高,5 g,中国机械工业联合会,https://www.cmia.org.cn,2024-10-11,
超精密磨床,0.01 nm,±0.02 μm,Ra < 0.02 μm,中,4 g,教育部,https://www.moe.gov.cn,2024-10-11,
激光切割机,0.01 nm,±0.015 μm,Ra < 0.005 μm,高,6 g,国家标准化管理委员会,https://www.sac.gov.cn,2024-10-11,
水刀切割机,0.02 nm,±0.03 μm,Ra < 0.01 μm,中,3 g,工业和信息化部,https://www.miit.gov.cn,2024-10-11,
超精密车床,0.005 nm,±0.01 μm,Ra < 0.03 μm,高,5 g,国家发改委,https://www.ndrc.gov.cn,2024-10-11,
超精密铣床,0.008,±0.005 μm,Ra < 0.018 μm,高,7,中国科学院,https://www.cas.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.022 μm,中,4,中国机床工具工业协会,https://www.cmmt.org.cn,,
超精密车床,0.005,±0.008 μm,Ra < 0.015 μm,高,6,工业和信息化部,https://www.miit.gov.cn,,
激光切割机,0.007,±0.01 μm,Ra < 0.004 μm,极高,8,国家标准化管理委员会,https://www.sac.gov.cn,,
水刀切割机,0.015,±0.03 μm,Ra < 0.009 μm,中,3,中国机械制造行业协会,https://www.cmmi.org.cn,,
超精密铣床,0.006,±0.009 μm,Ra < 0.017 μm,高,5,智能制造产业技术创新战略联盟,https://www.intelligentmanufacturing.org.cn,,
超精密磨床,0.004,±0.005 μm,Ra < 0.020 μm,高,7,中国质量认证中心,https://www.cqc.com.cn,,
激光切割机,0.005,±0.014 μm,Ra < 0.002 μm,极高,6,国际机床工具制造商协会,https://www.cimt.org.cn,,
水刀切割机,0.012,±0.025 μm,Ra < 0.008 μm,中,4,中国制造业促进会,https://www.cmp.org.cn,,
超精密车床,0.007,±0.007 μm,Ra < 0.011 μm,高,6,国家科学技术部,https://www.most.gov.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,6,中国科学院,https://www.cas.cn,,
超精密磨床,0.007,±0.012 μm,Ra < 0.015 μm,中,5,国家科技部,https://www.most.gov.cn,,
超精密激光切割机,0.005,±0.008 μm,Ra < 0.003 μm,高,7,北京市科技委员会,https://gk.beijing.gov.cn,,
超精密车床,0.004,±0.009 μm,Ra < 0.018 μm,中,4,中国机械工程学会,https://www.cmes.org,,
超精密水刀切割机,0.015,±0.025 μm,Ra < 0.008 μm,高,3,工业和信息化部,https://www.miit.gov.cn,,
超精密多轴加工中心,0.009,±0.007 μm,Ra < 0.012 μm,高,5,国家发展改革委,https://www.ndrc.gov.cn,,
超精密剃刀刀具,0.006,±0.011 μm,Ra < 0.019 μm,中,2,中国材料研究院,https://www.cmii.org.cn,,
超精密电子束加工机,0.002,±0.004 μm,Ra < 0.001 μm,高,8,中国科学院合肥物质科学研究院,https://www.hf.cas.cn,,
超精密激光焊接机,0.003,±0.005 μm,Ra < 0.004 μm,高,6,机械工业信息研究院,https://www.mii.org.cn,,
超精密精密注塑机,0.015,±0.020 μm,Ra < 0.007 μm,中,3,中国电子技术标准化研发院,https://www.cesi.cn,,
超精密磨床,0.008,±0.012 μm,Ra < 0.018 μm,高,4.5,中国机械工程学会,https://www.cmes.org,,
超精密铣床,0.006,±0.009 μm,Ra < 0.022 μm,中,4.8,中国科学院,https://www.cas.cn,,
超精密车床,0.007,±0.006 μm,Ra < 0.012 μm,高,5.2,中国电子科技集团公司,https://www.cetc.com.cn,,
激光切割机,0.01,±0.01 μm,Ra < 0.003 μm,高,6.1,国家科技部,https://www.most.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.02 μm,低,2.9,山东省科技厅,https://www.sdsti.gov.cn,,
超精密铣床,0.009,±0.02 μm,Ra < 0.015 μm,高,5.5,江苏省质量技术监督局,https://www.jsbs.gov.cn,,
超精密磨床,0.01,±0.015 μm,Ra < 0.009 μm,高,5.0,国家信息中心,https://www.sic.gov.cn,,
激光切割机,0.007,±0.008 μm,Ra < 0.004 μm,中,5.9,科技日报,https://www.stdaily.com,,
超精密车床,0.004,±0.005 μm,Ra < 0.027 μm,高,6.0,国家标准化管理委员会,https://www.sac.gov.cn,,
水刀切割机,0.02,±0.03 μm,Ra < 0.008 μm,中,3.5,工业和信息化部,https://www.miit.gov.cn,,
超精密铣床,0.008,±0.005,Ra < 0.018,中,5,中国制造2025,https://www.miit.gov.cn,,
超精密磨床,0.007,±0.015,Ra < 0.022,高,4,机械工程学报,https://www.cmes.org,,
超精密车床,0.004,±0.01,Ra < 0.027,高,6,中国机床工具工业协会,https://www.cmtool.org.cn,,
激光切割机,0.009,±0.013,Ra < 0.003,极高,7,中国质量认证中心,https://www.cqc.com.cn,,
水刀切割机,0.02,±0.02,Ra < 0.009,中,3,国家科技部,https://most.gov.cn,,
超精密铣床,0.002,±0.006,Ra < 0.015,高,5,中国机械科学研究院,https://www.camer.org.cn,,
极低温超导机床,0.006,±0.005,Ra < 0.020,高,6,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
超精密磨床,0.003,±0.008,Ra < 0.012,中,5,国家工信部,https://www.miit.gov.cn,,
等离子切割机,0.01,±0.02,Ra < 0.008,高,4,全国自动化系统工程中心,http://www.nasys.org.cn,,
水刀切割机,0.015,±0.025,Ra < 0.011,中,3,中国光电产业网,https://www.china-opto.com,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,中,4,中国科学院,https://www.cas.cn,,
超精密磨床,0.007,±0.007 μm,Ra < 0.018 μm,高,5,上海机械工程学会,https://www.sme.org.cn,,
激光切割机,0.012,±0.012 μm,Ra < 0.004 μm,高,6,国家工业和信息化部,https://www.miit.gov.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.009 μm,中,3,北京机电工程研究院,https://www.bjmeas.com,,
超精密车床,0.006,±0.009 μm,Ra < 0.02 μm,高,5,Zhiyuan Robotics,https://www.zhiyuanrobotics.com,,
超精密铣床,0.009,±0.006 μm,Ra < 0.022 μm,中,4,国家科学技术部,https://www.most.gov.cn,,
激光切割机,0.01,±0.014 μm,Ra < 0.005 μm,高,7,全球激光切割机制造商协会,https://www.laser-cutting.org,,
超精密磨床,0.004,±0.002 μm,Ra < 0.003 μm,高,6,国内机床设备在线评测平台,https://www.machineevaluate.com,,
水刀切割机,0.018,±0.025 μm,Ra < 0.002 μm,低,2,厦门机器人科技研究所,https://www.xmrobotics.cn,,
超精密车床,0.003,±0.005 μm,Ra < 0.013 μm,中,5,广东省机械制造协会,https://www.gdmm.org,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国科学院,https://www.cas.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,4,全国机械制造协会,https://www.cma.org.cn,,
激光切割机,0.012,±0.020 μm,Ra < 0.007 μm,高,7,国际标准化组织,https://www.iso.org,,
水刀切割机,0.015,±0.025 μm,Ra < 0.009 μm,中,2,工信部,https://www.miit.gov.cn,,
超精密车床,0.004,±0.005 μm,Ra < 0.022 μm,高,5,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
超精密铣床,0.007,±0.008 μm,Ra < 0.013 μm,高,5,中国机械工业协会,https://www.cmia.org.cn,,
激光切割机,0.011,±0.018 μm,Ra < 0.006 μm,中,8,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密磨床,0.0085,±0.015 μm,Ra < 0.02 μm,高,5,中国科学院材料科学研究所,https://www.materials.cas.cn,,
水刀切割机,0.014,±0.028 μm,Ra < 0.012 μm,中,3,全国水处理工程技术中心,http://www.watertreatment.cn,,
超精密车床,0.006,±0.007 μm,Ra < 0.025 μm,高,6,中国设备制造业协会,https://www.ceme.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国科学院,https://www.cas.cn,,
超精密磨床,0.007,±0.008 μm,Ra < 0.012 μm,中,4,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光焊接机,0.005,±0.01 μm,Ra < 0.003 μm,高,7,中国制造业协会,https://www.cme.org.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.008 μm,中,3,国家信息中心,https://www.nic.gov.cn,,
超精密车床,0.006,±0.005 μm,Ra < 0.02 μm,高,5,国际机械工程师学会,https://www.asme.org,,
超精密激光切割机,0.004,±0.009 μm,Ra < 0.001 μm,高,8,对外经济贸易大学,https://www.uibe.edu.cn,,
纳米定位机,0.002,±0.002 μm,Ra < 0.004 μm,高,9,清华大学,https://www.tsinghua.edu.cn,,
激光雕刻机,0.01,±0.015 μm,Ra < 0.005 μm,中,5,中国工业设计协会,https://www.chinaidd.org,,
超精密电火花加工机,0.005,±0.004 μm,Ra < 0.006 μm,高,6,中南大学,https://www.csu.edu.cn,,
智能化超精密加工中心,0.007,±0.007 μm,Ra < 0.009 μm,高,7,广东省机械工程学会,https://www.gdjx.org.cn,,
超精密铣床,0.008,±0.008 μm,Ra < 0.020 μm,高,6,中国自动化学会,https://www.caac.org.cn,,
超精密磨床,0.015,±0.018 μm,Ra < 0.015 μm,中,4,工业和信息化部,https://www.miit.gov.cn,,
水刀切割机,0.025,±0.035 μm,Ra < 0.012 μm,中,3,中国机械工程学会,https://www.cmes.org.cn,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,7,国家科技部,https://www.most.gov.cn,,
超精密车床,0.001,±0.005 μm,Ra < 0.030 μm,高,8,广东省经济和信息化局,https://gxj.gd.gov.cn,,
超精密铣床,0.009,±0.009 μm,Ra < 0.018 μm,中,5,深圳先进技术研究院,https://www.siat.ac.cn,,
超精密磨床,0.014,±0.017 μm,Ra < 0.022 μm,高,4,中国科学院,https://www.cas.cn,,
水刀切割机,0.022,±0.031 μm,Ra < 0.009 μm,中,3,中国水利工程学会,https://www.chinawe.com.cn,,
激光切割机,0.006,±0.013 μm,Ra < 0.002 μm,高,7,工信部装备工业司,https://www.miit.gov.cn,,
超精密车床,0.004,±0.006 μm,Ra < 0.028 μm,高,6,机械工业出版社,http://www.cmtc.com.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国精密机械工程学会,https://www.cpm.org.cn,,
超精密磨床,0.009,±0.008 μm,Ra < 0.018 μm,中,5,科技部,https://www.most.gov.cn,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,7,中国电子技术标准化研究院,https://www.electronicstandards.com.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.01 μm,低,4,国家发展改革委,https://www.ndrc.gov.cn,,
超精密车床,0.003,±0.005 μm,Ra < 0.02 μm,高,8,国际机械工程师学会,https://www.asme.org,,
数控放电加工机,0.012,±0.007 μm,Ra < 0.03 μm,中,5,中国机械工业信息研究院,https://www.mii.net.cn,,
超精密冲压机,0.006,±0.003 μm,Ra < 0.007 μm,高,6,中国机械工程学会,https://www.cmes.org,,
超精密电火花机,0.005,±0.011 μm,Ra < 0.02 μm,中,5,中国科学院,https://www.cas.cn,,
超精密激光打标机,0.004,±0.006 μm,Ra < 0.002 μm,高,9,中国工业设计协会,https://www.cida.org.cn,,
超精密抛光机,0.002,±0.002 μm,Ra < 0.001 μm,高,7,中国计量科学研究院,https://www.nim.ac.cn,,
超精密铣床,0.008,±0.007 μm,Ra < 0.02 μm,高,6,中国科技部,https://www.most.gov.cn,,
超精密车床,0.003,±0.005 μm,Ra < 0.015 μm,中,4,中国制造2025计划,https://www.china.gov.cn,,
超精密磨床,0.01,±0.02 μm,Ra < 0.018 μm,高,5,国际机床制造协会,https://www.imts.com,,
激光切割机,0.01,±0.012 μm,Ra < 0.007 μm,高,8,全国技术监督局,https://www.aqsiq.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,3,中国工程院,https://www.cae.cn,,
超精密铣床,0.009,±0.009 μm,Ra < 0.015 μm,高,5,北京科技大学,https://www.bjtu.edu.cn,,
超精密车床,0.002,±0.006 μm,Ra < 0.01 μm,高,7,中国工业技术研究院,https://www.cnit.gov.cn,,
超精密磨床,0.006,±0.03 μm,Ra < 0.02 μm,中,4,中国机床工具工业协会,https://www.cmtia.org.cn,,
激光切割机,0.005,±0.008 μm,Ra < 0.002 μm,高,6,国家发改委,https://www.ndrc.gov.cn,,
水刀切割机,0.018,±0.022 μm,Ra < 0.014 μm,中,3,华南理工大学,https://www.scut.edu.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,极高,7,国际精密机械协会,https://www.iptma.org,,
超精密磨床,0.005,±0.008 μm,Ra < 0.015 μm,高,6,中国机械研究院,https://www.cmiit.gov.cn,,
电火花成形机,0.01,±0.01 μm,Ra < 0.030 μm,中,4,国家智能制造标准化委员会,https://www.sac.gov.cn,,
激光切割机,0.01,±0.007 μm,Ra < 0.003 μm,高,6,全国标准化技术委员会,https://www.sac.gov.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.012 μm,中,3,中国水处理协会,https://www.cwa.org.cn,,
超精密车床,0.004,±0.005 μm,Ra < 0.020 μm,极高,8,国家科技部,https://www.most.gov.cn,,
超精密铣床,0.009,±0.009 μm,Ra < 0.018 μm,高,5,中国精密工程协会,https://www.cemb.org.cn,,
CNC数控机床,0.007,±0.006 μm,Ra < 0.009 μm,高,5,中国机械生产力促进中心,https://www.cmmp.gov.cn,,
超精密激光刀具,0.006,±0.02 μm,Ra < 0.022 μm,中,4,中科院机械与电气工程研究所,https://www.ime.cas.cn,,
纳米切割机,0.002,±0.003 μm,Ra < 0.002 μm,高,9,工业和信息化部,https://www.miit.gov.cn,,
超精密铣床,0.009,±0.008 μm,Ra < 0.020 μm,高,6,中国科学院,https://www.cas.cn,,
超精密车床,0.005,±0.005 μm,Ra < 0.015 μm,中,4,中国机床工具工业协会,https://www.cmmtia.org,,
超精密磨床,0.008,±0.012 μm,Ra < 0.018 μm,高,5,国家科技部,https://www.most.gov.cn,,
激光切割机,0.007,±0.030 μm,Ra < 0.004 μm,高,7,中国光学学会,https://www.cos.org.cn,,
水刀切割机,0.01,±0.025 μm,Ra < 0.009 μm,中,3,机械工业出版社,http://www.mechpub.com,,
超精密铣床,0.006,±0.015 μm,Ra < 0.023 μm,高,5,中国金属学会,http://www.cmas.org.cn,,
数控精密车床,0.004,±0.007 μm,Ra < 0.011 μm,高,5,国家工信部,https://www.miit.gov.cn,,
激光加工中心,0.008,±0.020 μm,Ra < 0.003 μm,高,7,中国机械工程学会,http://www.cmes.org.cn,,
自动化磨床,0.009,±0.018 μm,Ra < 0.022 μm,中,4,电气与机械工程学院,http://www.eme.edu.cn,,
超精密电火花加工机,0.003,±0.002 μm,Ra < 0.001 μm,高,8,中国电子科技集团,http://www.cetc.com.cn,,
超精密铣床,0.008,±0.005,Ra < 0.02,高,6,中国科学院,https://www.cas.cn,,
超精密磨床,0.007,±0.02,Ra < 0.015,中,4,国家科技部,https://www.most.gov.cn,,
超精密车床,0.002,±0.009,Ra < 0.03,高,5,中国机床工具工业协会,https://www.cmmt.org.cn,,
激光切割机,0.015,±0.012,Ra < 0.008,高,7,国家能源局,https://www.nea.gov.cn,,
水刀切割机,0.01,±0.025,Ra < 0.012,中,3,工业和信息化部,https://www.miit.gov.cn,,
超精密铣床,0.005,±0.015,Ra < 0.02,极高,8,上海市经济和信息化委员会,http://www.sheitc.gov.cn,,
超精密磨床,0.009,±0.018,Ra < 0.018,高,4,国家知識产权局,https://www.cnipa.gov.cn,,
激光切割机,0.01,±0.01,Ra < 0.007,高,7,国家认证认可监督管理委员会,http://www.cnca.gov.cn,,
超精密车床,0.003,±0.005,Ra < 0.025,中,6,中国质量协会,https://www.cqa.org.cn,,
超精密铣床,0.006,±0.012,Ra < 0.009,高,5,中国机械工程学会,http://www.cmes.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,6,中国科学技术协会,https://www.cast.org.cn,,
超精密磨床,0.007,±0.012 μm,Ra < 0.015 μm,中,4.5,国际机器人与智能装备协会,https://www.ifr.org,,
超精密车床,0.004,±0.009 μm,Ra < 0.022 μm,高,7,中国机床工具工业协会,https://www.ctia.org.cn,,
激光切割机,0.005,±0.010 μm,Ra < 0.008 μm,非常高,8,中国制造业351计划,http://www.zgmzy.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,3.5,全国机械工业领导小组,https://www.nmic.gov.cn,,
超精密铣床,0.006,±0.008 μm,Ra < 0.018 μm,高,5.5,中国社会科学院,http://www.cass.cn,,
