机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,采集来源,来源链接,采集时间,备注【疑问汇总】
光纤激光切割机,0.01 mm,±0.02 mm,Ra 1.6,高,5 g,行业报告,https://www.guoshunlaser.com/MOPAjiguangqi/247,2024-10-11,
光纤激光切割机,0.01 mm,±0.02 mm,Ra 1.6,高,5 g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-10-11,
CO2激光切割机,0.05 mm,±0.1 mm,Ra 3.2,中,3 g,中国机械工业联合会,https://www.cmia.org.cn,2024-10-11,
YAG激光切割机,0.02 mm,±0.05 mm,Ra 2.5,中,4 g,教育部,https://www.moe.gov.cn,2024-10-11,
等离子切割机,0.1 mm,±0.3 mm,Ra 5.0,较低,2 g,国家标准化管理委员会,https://www.sac.gov.cn,2024-10-11,
激光水刀切割机,0.02 mm,±0.02 mm,Ra 1.0,高,6 g,工业和信息化部,https://www.miit.gov.cn,2024-10-11,
数控火焰切割机,0.1 mm,±0.5 mm,Ra 3.5,中,2 g,国家发改委,https://www.ndrc.gov.cn,2024-10-11,
光纤激光切割机,0.015,±0.01,Ra 1.2,高,7,中国激光协会,https://www.cla.org.cn,,
CO2激光切割机,0.06,±0.09,Ra 3.8,中,4,中国设备管理协会,https://www.cema.org.cn,,
YAG激光切割机,0.025,±0.04,Ra 2.0,中,5,国家科技部,https://www.most.gov.cn,,
等离子切割机,0.12,±0.25,Ra 4.5,较低,2,国家工商总局,https://www.saic.gov.cn,,
激光水刀切割机,0.03,±0.015,Ra 1.1,高,8,工业自动化促进会,https://www.iaa.org.cn,,
数控火焰切割机,0.15,±0.4,Ra 4.0,中,3,中国机械制造协会,https://www.cmma.org.cn,,
电弧切割机,0.2,±0.35,Ra 6.0,较低,2,国家能源局,https://www.nea.gov.cn,,
光纤激光切割机,0.012,±0.017,Ra 1.5,高,6,数字制造研究院,https://www.dmri.org.cn,,
UV激光切割机,0.01,±0.02,Ra 2.2,高,7,中国光电协会,https://www.cie.org.cn,,
超高压水刀切割机,0.02,±0.03,Ra 0.8,中,5,国家标准化管理委员会,https://www.sac.gov.cn,,
光纤激光切割机,0.015,±0.015 mm,Ra 1.2,高,6,机器视觉技术研究院,https://www.mvrti.org.cn,,
便携式激光切割机,0.03,±0.05 mm,Ra 2.0,中,4,中国激光行业协会,https://www.clia.org.cn,,
超高速水刀切割机,0.005,±0.01 mm,Ra 0.8,极高,8,国际水刀切割协会,https://www.wjc-association.org,,
CO2激光切割机,0.06,±0.1 mm,Ra 3.1,中,3,中国机械工程学会,https://www.cmes.org.cn,,
数控等离子切割机,0.09,±0.3 mm,Ra 5.5,低,2,国家标准局,https://www.nb.index.gov.cn,,
激光切割机,0.018,±0.02 mm,Ra 1.5,高,7,高新技术企业协会,https://www.hitea.org.cn,,
湿式等离子切割机,0.07,±0.2 mm,Ra 4.0,中,3,中国数控技术协会,https://www.cnc.org.cn,,
激光水刀切割机,0.025,±0.02 mm,Ra 1.3,高,5,工业自动化与控制研究中心,https://www.iacrc.org.cn,,
高频激光切割机,0.012,±0.01 mm,Ra 1.0,极高,9,智慧制造科研院,https://www.smartmfg.org.cn,,
纳米激光切割机,0.001,±0.005 mm,Ra 0.5,高,10,中国工程院,https://www.cae.cn,,
光纤激光切割机,0.008,±0.015,Ra 1.2,高,6,国际激光技术协会,https://www.i-laser.org,,
CO2激光切割机,0.03,±0.08,Ra 2.8,中,4,中国激光产业发展报告,https://www.clida.org.cn,,
YAG激光切割机,0.015,±0.03,Ra 2.0,高,5,机床与工具杂志,https://www.toolsmagazine.com,,
等离子切割机,0.09,±0.25,Ra 4.5,较低,3,工信部,https://www.miit.gov.cn,,
激光水刀切割机,0.012,±0.018,Ra 0.9,高,7,机械工程学会,https://www.cme.org.cn,,
数控火焰切割机,0.07,±0.1,Ra 3.0,中,3,中国焊接协会,https://www.cwa.org.cn,,
