硬件名称（字符型）,应用领域（字符型）,应用场景（字符型）,使用技术（字符型）,应用行业（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
跳频卫星通信装置,交通运输,航空与海上交通,高效跳频技术,海事,国际海事组织,http://www.imo.org/,2024-09-10,,,,,,,,,,,,
智能跳频收发装置,远程医疗,患者数据传输,跳频通信、OFDM,医疗,医疗技术创新网,https://www.medtechinnovation.com/,2024-09-10,,,,,,,,,,,,
越境OFDM跳频系统,国际通信,跨国数据传输,OFDM、频率跳变,国际业务,国际电信联盟,https://www.itu.int/en/ITU-T/Pages/default.aspx,2024-09-10,,,,,,,,,,,,
增强跳频OFDM系统,城域网,大规模用户接入,增强型OFDMA,互联网服务,IEEE,https://www.ieee.org/,2024-09-10,,,,,,,,,,,,
车载OFDM跳频系统,车联网,车辆间通信,车载OFDM跳频技术,汽车工业,CSDN,https://blog.csdn.net/,2024-09-10,,,,,,,,,,,,
增强型OFDM跳频发射器,直播视频传输,实时高质量视频广播,OFDM、频域跳变,媒体传播,多媒体期刊,https://www.journalofmultimedia.com/,2024-09-10,,,,,,,,,,,,
新型高速跳频发射机,卫星通信,低地球轨道卫星,OFDM与超紧凑跳频技术,航空航天,空间研究网,https://www.space.com/,2024-09-10,,,,,,,,,,,,
5G跳频模块,蜂窝网络,高密度用户环境,5G信号调制,移动通信,,https://telecoms.com/,2024-09-10,,,,,,,,,,,,
宽频跳频模块,卫星通信,地面与轨道卫星通信,宽带OFDM、跳频,航空航天,中国航天科技网,http://www.cas.org.cn/,2024-09-10,,,,,,,,,,,,
宽频跳频系统,智能家居网络,家庭自动化,OFDM、跳频网络技术,智能家居,科技日报,http://www.stdaily.com/,2024-09-10,,,,,,,,,,,,
