层级（字符型）,关键作用（字符型）,涉及学科（字符型）,涉及工艺（字符型）,应用领域（字符型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
数据层,实时数据处理与智能决策,数据科学、人工智能,深度学习、大数据分析,智能制造、智能交通,百度公司,百度在线网络技术（北京）有限公司,企业及各类分析企业,商业周刊,https://www.businessweek.com/,2024-09-11,,,,,,,,,
安全层,数据安全与隐私保护,网络安全、法律等,区块链技术、入侵检测系统等,医疗健康、安全监控等,IBM,IBM公司,普通用户,CISO Magazine,https://www.cisomag.com/,2024-09-11,,,,,,,,,
感知层,智能监控与环境感知,自适应传感器、物联网技术,高精度传感器、物联网设备,城市智能管理、环境监测,京东集团,京东科技有限公司,智慧城市管理者,经济日报,https://www.ce.cn/,2024-09-11,,,,,,,,,
网络层,高带宽低延迟的信号传输,通信工程、网络协议等,光纤通信、LPWAN,城市基础设施、智慧农田,中信科无线,中信科通信科技股份有限公司,服务提供商,通信行业协会,https://www.cac.gov.cn/,2024-09-11,,,,,,,,,
应用层,用户交互与服务开发,用户体验设计、软件开发,移动端应用、API集成,智能家居、智能客服,阿里云计算有限公司,阿里巴巴集团,普通消费者,应用市场,https://www.appmarket.com/,2024-09-11,,,,,,,,,
控制层,渠道与资源优化管理,资源管理、系统工程等,动态资源分配技术,数据中心、云计算提供商,阿里巴巴云智能科技有限公司,阿里云网络科技有限公司,企业用户,中国计算机学会,https://www.ccf.org.cn/,2024-09-11,,,,,,,,,
安全层,数据保护与访问控制,网络安全、信息安全等,生物识别技术、加密协议等,智能金融、电子商务等,宏碁科技股份有限公司,宏碁（中国）有限公司,个人用户、企业用户,信息安全技术协会,https://www.isect.org.cn/,2024-09-11,,,,,,,,,
应用层,提供行业解决方案与服务,软件开发、系统架构,云应用开发、API集成,智能制造、物流管理,阿里巴巴云,阿里巴巴云计算有限公司,制造业用户,信息化建设网,http://www.informet.cn/,2024-09-11,,,,,,,,,
安全层,数据隐私保护与网络安全,网络安全、信息加密,认证技术、加密算法,在线交易、电子支付,安恒信息技术有限公司,安恒信息,普通用户,网络安全行业协会,http://www.cinwa.com/,2024-09-11,,,,,,,,,
感知层,环境参数监测与数据收集,传感器技术、物联网通信,红外传感器、智能城市感知设备,城市管理、环境保护,百度智能云有限公司,百度,政府机构,中国物联网发展研究院,https://www.iot.edu.cn/,2024-09-11,,,,,,,,,
