网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
智能视频监控网络,安全通信系统,AI视频分析,大华股份,2023-05-30,大华股份,大华技术股份有限公司,公共安全,安全技术报告,http://www.dahuasecurity.com,2024-09-11,,,,,,,,,
边缘计算系统,云计算系统,Edge Computing,阿里巴巴,2023-07-30,阿里云,阿里巴巴集团,开发者,行业报告,https://cloud Alibaba.com,2024-09-11,,,,,,,,,
南非长距离通信网,长途通信系统,光纤网络,Telkom South Africa,2019/3/20,Telkom,南非电信公司,企业用户,南非通信局,https://www.telkom.co.za/,2024-09-11,,,,,,,,,
城市智能交通系统,智慧城市通信,C-V2X,中兴通讯,2022/3/2,中兴,中兴通讯股份有限公司,政府与企业,国家交通运输部,http://www.zte.com.cn/,2024-09-11,,,,,,,,,
量子通信网络,量子通信,量子密钥分发,中国科学技术大学,2023/9/12,中国科学技术大学,中国科学技术大学,实验室及科研机构,中国量子通信研究中心,http://www.ustc.edu.cn/,2024-09-11,,,,,,,,,
高通量宽带通信网络,卫星通信,Ka-band,Inmarsat,2022/1/20,Inmarsat,Inmarsat Global Limited,企业用户,国际卫星通信联盟,https://www.inmarsat.com,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信,NB-IoT,华为技术有限公司,2017/12/1,华为,华为技术有限公司,智能城市用户,中国工业和信息化部,https://www.huawei.com/,2024-09-11,,,,,,,,,
Wi-Fi 7,无线通信系统,802.11be,高通,2023/9/15,Qualcomm,高通公司,企业及个人用户,IEEE,https://www.qualcomm.com/,2024-09-11,,,,,,,,,
巴西5G网络,移动通信系统,5G NR,Claro Brasil,2021/11/30,Claro,Claro S.A.,普通用户,巴西国家电信局,https://www.anatel.gov.br,2024-09-11,,,,,,,,,
光纤宽带网络,固定通信系统,光纤,中国电信,2019/10/1,中国电信,中国电信股份有限公司,普通用户,中国信息通信研究院,https://www.caiinfo.com,2024-09-11,,,,,,,,,
