设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位.1,施加推力,单位.2,数据类型,采集来源,来源链接,采集时间,备注,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
服务机器人,扫地机器人,0.8,mm,5,±0.4,mm,10,N,字符型,中国智能制造业协会,https://www.cam-iot.org,2024-09-24,,,,,,,,,,
特种机器人,无人机监测机器人,1.5,mm,4,±0.5,mm,70,N,字符型,国家航空航天局,https://www.nasa.gov,2024-09-24,,,,,,,,,,
并联机械手,高速Delta机器人,0.3,mm,3,±0.08,mm,55,N,字符型,北京市机械工程协会,https://www.bjme.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha SCARA,0.1,mm,4,±0.1,mm,35,N,字符型,机器人技术与应用协会,https://www.roboticsapp.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA KR AGILUS,0.12,mm,7,±0.04,mm,40,N,字符型,德国机械工程协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
服务机器人,城市清洁机器人,2.0,mm,4,±1.0,mm,30,N,字符型,中国城乡建设协会,https://www.ccca.org.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR3,0.4,mm,6,±0.1,mm,24,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.04,mm,6,±0.03,mm,65,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.2,mm,6,±0.05,mm,65,N,字符型,国家发展改革委员会,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,消防机器人,2.5,mm,3,±1.5,mm,70,N,字符型,国家火灾救援队,https://www.nfd.gov.cn,2024-09-24,,,,,,,,,,
