机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
医疗机器人,0.5,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,4.0,m/s,1.0,m/s,6.0,m/s,2.0,m/s,字符型,国家交通部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,家电网,https://www.homeappliance.com.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,0.8,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,游戏产业协会,http://www.cgigames.org,2024-09-23,,,,,,,,,,,
物流机器人,1.8,m/s,0.7,m/s,2.3,m/s,1.3,m/s,字符型,国际物流协会,https://www.international-logistics.org,2024-09-23,,,,,,,,,,,
消防机器人,1.3,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,中华人民共和国应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,4.0,m/s,1.5,m/s,6.0,m/s,3.0,m/s,字符型,国家交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
组装机器人,2.2,m/s,0.8,m/s,3.2,m/s,1.4,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,1.0,m/s,3.0,m/s,1.4,m/s,字符型,中国物流学会,http://www.clogistics.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,2.0,m/s,0.4,m/s,2.2,m/s,1.0,m/s,字符型,中国服务机器人产业发展联盟,http://www.csaria.org,2024-09-23,,,,,,,,,,,
