机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
物流机器人,移动自主平台,高效路径规划、自动充电,仓库管理、配送,中国物流与采购联合会,https://www.clp.org.cn,2024-09-22,,,,,,,,,,,,
无人驾驶汽车,传感器与AI引擎结合,实时导航、安全规避,智能交通、共享出行,交通运输部,http://www.mot.gov.cn,2024-09-22,,,,,,,,,,,,
特种机器人,遥控无人机,多用途、灵活机动,环境监测、救援行动,中国航空器运输协会,http://www.cata.org.cn,2024-09-22,,,,,,,,,,,,
水下机器人,潜水器,深水作业、高清成像,海洋探索、环境监测,海洋与淡水生态研究中心,https://www.oceanecology.cn,2024-09-22,,,,,,,,,,,,
工业机器人,直角坐标机械臂,高负载、重复精准,汽车制造,中国机器人产业发展报告,https://www.robotics.org.cn/report,2024-09-22,,,,,,,,,,,,
建筑机器人,自动化施工平台,高效施工、材料搬运,建筑工地、基础设施建设,中国建筑业协会,https://www.cah.gov.cn,2024-09-22,,,,,,,,,,,,
物流机器人,智能传送带,自动调度、路径优化,仓库管理、配送中心,国际物流协会,https://www.iwa.org,2024-09-22,,,,,,,,,,,,
救援机器人,多功能操作臂,强力抓握、障碍物探测,灾害救援,国家地震局,https://www.cea.gov.cn,2024-09-22,,,,,,,,,,,,
清洁机器人,智能识别系统,自主清扫、障碍物识别,公共场所清洁、家用,中国家庭服务业协会,http://www.chfa.org.cn,2024-09-22,,,,,,,,,,,,
救援机器人,全地形移动结构,多功能、障碍物绕行,灾后救援、消防,国家应急管理部,https://www.mem.gov.cn,2024-09-22,,,,,,,,,,,,
