机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
医疗机器人,康复中心,1.2,米,1.7,米,0.2,米,4,医学人工智能研究中心,http://www.medai.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,智能温室,12,米,14,米,0.8,米,15,国家农业科技中心,http://www.nact.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,2.8,米,3.5,米,0.2,米,6,教育技术研究中心,https://www.edutech.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,4,米,5.5,米,0.2,米,7,中国电子科技集团公司,http://www.csec.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,物流仓库,2.5,米,3,米,0.3,米,7,中国制造业协会,https://www.cma.org.cn,2024-09-23,,,,,,,,,,,
救援机器人,灾区,9,米,10,米,0.9,米,20,中国红十字会,https://www.redcross.cn,2024-09-23,,,,,,,,,,,
移动机器人,公共交通站,5.5,米,7.5,米,0.8,米,11,城市交通部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市街道,6,米,8,米,0.6,米,12,交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,急救现场,1.2,米,1.8,米,0.15,米,4,中国医学科学院,https://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6.5,米,8,米,0.6,米,11,人工智能研究协会,https://www.aira.org,2024-09-23,,,,,,,,,,,
