细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
激光焊接,广州迅维激光科技股份有限公司,600,1-4000 kHz,12-500 ns,>7,≤1.3,广州市科学技术局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州精锐激光设备有限公司,600,1-7500,5-300,3,<1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光精密制造,合肥光电技术有限公司,450,1-4000,20-500,5,<1.7,成都市经济和信息化局,https://www.chengdu.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,无锡普瑞激光有限公司,320,1-5000,5-300,4,≤1.7,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光清洗,无锡蓝海激光工程有限公司,200,1-5800,10-300,12,≤1.7,中国制造网,https://www.made-in-china.com,2024-09-25,,,,,,,,,,
激光切割,南京铭泰激光设备有限责任公司,400,1-3500 kHz,2-400 ns,3,≤1.4,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,江苏启宇激光设备有限公司,600,1-5500,15-480,≥2.0,<1.6,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光镭射,重庆光源激光技术有限公司,400,1-5500,6-500,18,≤1.3,国家重点研发计划,http://www.973.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津豪华激光科技有限公司,210,1-4500 kHz,8-450 ns,5,<1.5,江苏省市场监管局,https://www.jssupervision.gov.cn,2024-09-25,,,,,,,,,,
激光混合焊接,青岛星辰激光科技有限公司,450,1-8000,3-200,15,≤1.1,广东省卫生健康委员会,http://www.gd.gov.cn,2024-09-25,,,,,,,,,,
