核心技术名称,所属产业类别,核心零部件,技术重要性评分,功能描述,掌握该项技术的企业,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
激光凹雕,艺术品制造,激光切割机、图案设计软件,8,使用激光技术在多种材料上雕刻精美图案，广泛应用于艺术品制作,Epilog Laser,艺术与设计中心,https://www.artanddesign.org,2024-09-24,,,,,,,,,,
激光模具修复,模具制造,激光修复系统、激光扫描仪,7,通过激光精确修复和重建磨损模具,Formlabs,模具行业分析中心,https://www.mouldindustryanalysis.org,2024-09-24,,,,,,,,,,
激光焊接,建筑工程,激光焊接机、机器人臂,9,用于金属结构连接的精确、高效焊接技术,通用电气,建筑行业协会,https://www.naiop.org,2024-09-24,,,,,,,,,,
激光微穿孔,包装,高精度激光头、控制软件,6,在材料上实现微小孔洞，增强透气性，广泛应用于食品包装。,立邦,食品包装技术杂志,http://www.packagingtech.com,2024-09-24,,,,,,,,,,
激光监测技术,环境监测,激光传感器、数据采集器,8,通过激光技术监测环境质量，提供实时数据,先正达,环境保护部,http://www.mee.gov.cn,2024-09-24,,,,,,,,,,
激光成像,影像医疗,激光成像机、传感器,9,在医疗成像中提升图像质量，助力早期诊断,飞利浦,医学成像与技术协会,http://www.isiaco.org,2024-09-24,,,,,,,,,,
激光切割,建筑工程,CO2激光器、控制系统,7,使用高功率激光进行建筑材料的精确切割，提升施工效率。,博世,建筑业发展委员会,http://www.cabinet.gov.cn,2024-09-24,,,,,,,,,,
激光智能检测,制造业,激光传感器、数据采集装置,7,利用激光技术进行产品的全方位智能检测与评估,海尔,中国生产力学会,https://www.cpl.org.cn,2024-09-24,,,,,,,,,,
激光表面处理,机械制造,高能激光器、冷却系统,8,通过激光改变材料表面的性质，提高耐磨性,阿特拉斯·科普柯,德国机械设备制造业协会,http://www.vdma.org,2024-09-24,,,,,,,,,,
激光扫描制造,消费电子,3D激光扫描仪、控制系统,9,利用激光扫描技术进行快速模具制造和逆向工程,索尼,日本经济新闻,https://www.nikkei.com,2024-09-24,,,,,,,,,,
