零件名称,主要作用,采集来源,来源链接,采集时间,备注,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
视觉系统,通过摄像头及算法进行物体识别，提升机器人的环境理解能力,中国电子科技集团公司,http://www.cetc.com,2024-09-25,,,,,,,,,,,,,,,
视觉识别模块,通过摄像头和算法识别环境中的物体,中国人工智能研究院,http://www.ai-china.com,2024-09-25,,,,,,,,,,,,,,,
通信模块,确保机器人与控制系统之间的实时数据传输,中国信息通信研究院,https://www.caict.ac.cn,2024-09-25,,,,,,,,,,,,,,,
送料系统,自动化送料，提升生产效率与稳定性,国家智能制造标准化技术委员会,http://www.sac.gov.cn,2024-09-25,,,,,,,,,,,,,,,
激光发射器,用于精确雕刻和切割材料，提升制造精度,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,,,,,,
温度传感器,监测机器人工作环境的温度，保证安全运行,国家环境保护部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,,,,,,
运动控制板,控制机器人和激光设备的协调运动,国家智能制造发展战略研究中心,https://www.smartmanufacturing.gov.cn,2024-09-25,,,,,,,,,,,,,,,
温度传感器,监测工作环境的温度，确保设备安全运行,国家环境保护部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,,,,,,
传动系统,将动力从电机传递到机械部件，提高效率,国家能源局,http://www.nea.gov.cn,2024-09-25,,,,,,,,,,,,,,,
齿轮传动系统,传递动力和增加扭矩，确保系统运转平稳,中国机器人发展研究中心,https://www.chinarobot.org,2024-09-25,,,,,,,,,,,,,,,
