激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注,Unnamed: 21
超短脉冲激光器,800 nm,15%-20%,900,W,1.2,良好,优良,优秀,塑料、金属,中,中型,每年,中等,较便捷,14000,小时,计算机与激光制造技术研究中心,https://www.computerlasertech.org,2024-09-25,,
绿光激光器,532 nm,18-28%,800,W,>1.6,一般,较差,一般,打标、刻蚀,中,小型,每半年,较高,便捷,25000,小时,创新与科技发展研究所,https://www.innovationlab.cn,2024-09-25,,
NASA激光器,1064 nm,28-34%,3500,W,>2.0,一般,较差,优秀,电子元件、打标,中,超小型,每年,中等,便捷,35000,小时,国家工业信息技术中心,https://www.miit.gov.cn,2024-09-25,,
光声激光器,1550 nm,10-20%,800,W,>1.7,一般,中等,良好,打标、表面处理,中,小型,每半年,中等,便捷,25000,小时,中国半导体激光技术协会,https://www.slt.org.cn,2024-09-25,,
双色激光器,450 nm / 850 nm,20-30%,2000,W,1.8,良好,中等,较好,木材、塑料、金属,中,大型,每年,较高,较便捷,7000,小时,润发激光科技公司,https://www.runfa-laser.com,2024-09-25,,
小型化激光器,940 nm,45-50%,300,W,<1.0,优良,良好,优秀,光纤、金属,低,小型,每半年,中等,非常便捷,20000,小时,国家通信局,https://www.miit.gov.cn,2024-09-25,,
半导体激光器,850 nm,45%-55%,600,W,1.3,优良,优良,良好,金属、塑料,高,中型,每年,中等,非常便捷,12000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
绿色激光器,532 nm,20-30%,300,W,>2.0,一般,中等,中等,塑料、木材,低,大型,每年,较高,较复杂,7000,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
超临界二氧化碳激光器,10.4 µm,10-15%,900,W,<1.3,优良,优秀,优秀,金属、塑料、复合材料,高,中型,每年,中等,非常便捷,25000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
低压汞灯激光器,254 nm,10-15%,400,W,1.9,良好,中等,一般,金属、非金属,中,小型,每半年,较高,便捷,7000,小时,光学材料研究所,https://www.opticalmaterials.com,2024-09-25,,
