弹簧类型,弹簧刚度,单位,弹簧外径,单位.1,自由长度,单位.2,内径,单位.3,弹簧材料,极限载荷,单位.4,采集来源,来源链接,采集时间,备注,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
扭转弹簧,120,N/mm,18,mm,90,mm,8.0,mm,钛合金,200,N,中国材料科学学会,cms.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,17,mm,75,mm,6.0,mm,钛合金,230,N,中国机械设计制造工程学报,cmmejournal.com,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,27,mm,125,mm,17.0,mm,碳素弹簧钢,500,N,机械工程学报,jemer.com,2024-09-27,,,,,,,,,,
微型压缩弹簧,95,N/mm,9,mm,55,mm,4.0,mm,镍钛合金,120,N,国家半导体器件标准化技术委员会,nstc.org.cn,2024-09-27,,,,,,,,,,
变形量压缩弹簧,130,N/mm,26,mm,155,mm,21.0,mm,聚合物材料,250,N,中国材料与工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,28,mm,130,mm,16.0,mm,钼铬合金钢,450,N,国际弹簧协会,ispa.org,2024-09-27,,,,,,,,,,
扭矩压缩弹簧,130,N/mm,18,mm,95,mm,9.0,mm,铬硅钢,210,N,国际标准化组织,iso.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,140,mm,17.0,mm,铬钼合金钢,450,N,中国机械工程协会,cme.org.cn,2024-09-27,,,,,,,,,,
调节型压缩弹簧,110,N/mm,18,mm,95,mm,11.0,mm,碳钛弹簧钢,285,N,国际调节技术协会,www.adjustmenttech.org,2024-09-27,,,,,,,,,,
特种压缩弹簧,300,N/mm,34,mm,200,mm,22.0,mm,钛合金,600,N,中国航空学会,csae.org.cn,2024-09-27,,,,,,,,,,
