应用行业,核心参数,技术说明,国外最高水平,国外主流水平,国内最高水平,国内主流水平,国内在研项目,采集来源,来源链接,采集时间,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生物医学仪器,灵敏度 0.1 ng/mL,用于检测极低浓度生物样本中的特定分子,美国阿美利康，灵敏度达到0.05 ng/mL,德国默克，灵敏度达到0.1 ng/mL,中国华大基因，灵敏度达到0.2 ng/mL,国内多家研究所，灵敏度达到0.3 ng/mL,新型生物标志物检测仪器研发,中国生物医学工程学会,cme.org.cn,2024-09-26,,,,,,,,,
智能控制系统,处理能力 2000 执行指令/s,用于工业过程自动化控制,德国西门子，处理能力可达3000 执行指令/s,美国罗克韦尔，处理能力达到2500 执行指令/s,中国华为，处理能力达到2200 执行指令/s,国内多家企业，处理能力达到1800 执行指令/s,边缘计算智能控制研发,国家工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
光电子,波长范围 400-700 nm,用于可见光谱范围的光学设备,美国英特尔，波长范围可达300-800 nm,德国博世，波长范围可达400-750 nm,中国天津光电，波长范围可达400-720 nm,国内多家光电企业，波长范围可达450-750 nm,下一代光谱仪研发,中国电子技术标准化研究院,netec.org.cn,2024-09-26,,,,,,,,,
半导体设备,晶圆加工精度 ±0.0001 mm,用于高端半导体芯片制造,日本东京电子，精度达到±0.00005 mm,美国应用材料，精度达到±0.0001 mm,中国中芯国际，精度达到±0.0002 mm,国内多家企业，精度达到±0.0003 mm,先进半导体制造设备研发,中电子科技集团,cec.gov.cn,2024-09-26,,,,,,,,,
工业机器人,重复性 ±0.005 mm,用于高精度工业组装作业,德国ABB，重复性可达±0.002 mm,日本安川电机，重复性约±0.005 mm,中国埃夫特，重复性达到±0.008 mm,国内多家企业，重复性约±0.010 mm,智能制造机器人开发,国家发改委,ndrc.gov.cn,2024-09-26,,,,,,,,,
机器人技术,重复定位精度 ±0.01 mm,用于精密装配和搬运的工业机器人,德国KUKA，精度达到±0.005 mm,日本富士通，精度达到±0.01 mm,中国安川，精度达到±0.02 mm,国内多家企业，精度达到±0.03 mm,高精度柔性制造系统研发,中国自动化学会,caa.org.cn,2024-09-26,,,,,,,,,
能源监测,功率精度 ±0.01 kW,用于能源消耗监测和优化,美国施耐德，功率精度可达±0.005 kW,日本三菱，功率精度达到±0.01 kW,中国南方电网，功率精度达到±0.02 kW,国内多家企业，功率精度达到±0.03 kW,智能能源管理系统研发,国家能源局,nea.gov.cn,2024-09-26,,,,,,,,,
自动化控制,精准控制精度 ±0.01 %,用于工业流程自动化控制,德国倍福，精准控制精度可达±0.005 %,美国西门子，精准控制精度±0.01 %,中国中控，精准控制精度±0.015 %,国内多家企业，精准控制精度±0.02 %,新一代工业自动化控制系统研发,中国自动化学会,caa.gov.cn,2024-09-26,,,,,,,,,
导航设备,定位精度 ±5 cm,用于高精度自动驾驶及导航系统,美国高通，定位精度可达±1 cm,德国博世，定位精度约±5 cm,中国四维图新，定位精度约±7 cm,国内多家企业，定位精度约±10 cm,下一代Lidar导航系统研发,中国科学院地球物理研究所,igps.gs.cn,2024-09-26,,,,,,,,,
导航系统,定位精度 ±5 m,用于高精度无人驾驶汽车和航空航天,美国谷歌，定位精度可达±1 m,德国博世，定位精度约±5 m,中国航天科技，定位精度±10 m,国内多家公司，定位精度约±12 m,自主导航系统的研发,国家卫星导航办公室,sgs.gov.cn,2024-09-26,,,,,,,,,
