量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注,Unnamed: 19
绝缘电阻测试仪,电池/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合户外使用,手动切换,≤250 A/m,≤20 V/m,<4秒,400 Hz,±(1.0% + 1),0.1 MΩ 至 15 GΩ,中国电子学会,cecc.org.cn,2024-09-28,,
多功能高阻表,交流电源,-15°C至70°C,0%至95%,有,无,IP64,多功能设计，支持多种测试,自动切换,≤180 A/m,≤10 V/m,<6秒,120 Hz,±(1.2% + 3),0.01 MΩ 至 1 GΩ,中国电器工业协会,cei.org.cn,2024-09-28,,
便携式电阻测试仪,电池供电,-20°C至55°C,0%至90%,有,有,IP67,小巧便携，适合野外使用,自动切换,≤100 A/m,≤5 V/m,<6秒,1 kHz,±(1.5% + 2),0.1 Ω 至 5 MΩ,中国工业检测技术研究院,eitis.gov.cn,2024-09-28,,
数字万用表,电池供电,-10°C至50°C,0%至75%,有,无,IP64,便于携带，适合野外测试,手动切换,300,15,<3秒,500 Hz,±(1.0% + 1),0.01 Ω 至 15 MΩ,电子工业出版社,eppub.com,2024-09-28,,
电桥,电池供电,-20°C至70°C,10%-90%,有,无,IP40,高灵敏度，适合实验室使用,自动切换,≤300 A/m,≤50 V/m,<4秒,150 Hz,±(0.8% + 1),0.01 Ω 至 2 GΩ,中国科学院电工研究所,iae.cas.cn,2024-09-28,,
手持式电阻测量仪,电池供电,-20°C至50°C,0%至85%,有,有,IP43,灵活便携，现场适应性强,手动切换,<=250 A/m,<=15 V/m,<2秒,500 Hz,±(1.0% + 2),0.01 Ω 至 50 MΩ,中国电气工程学会,ieee.org.cn,2024-09-28,,
数字万用表,电池供电,-20°C至50°C,0%至85%,有,有,IP54,轻便，易于使用,自动切换,250,25,<3秒,300 Hz,±(1.0% + 1),0.005 Ω 至 10 MΩ,美国国家标准与技术研究院,nist.gov,2024-09-28,,
手持式电阻计,交流电源,-5°C至55°C,0%至85%,有,无,IP54,"轻便, 易于操作",手动切换,≤180 A/m,≤25 V/m,<3秒,1 kHz,±(1.5% + 0.5),0.1 Ω 至 5 MΩ,中国计量局,nmi.gov.cn,2024-09-28,,
高阻计,外部供电,-20°C至40°C,15%-85%,有,无,IP50,桌面型，适合实验室精密测量,手动切换,≤400 A/m,≤15 V/m,<6秒,20 Hz - 1 kHz,±(0.3% + 2),0.001 MΩ 至 100 GΩ,国家半导体设备研究中心,nsrc.ca,2024-09-28,,
高精度数字电阻计,交流供电,-20°C至50°C,0%至85%,有,有,IP54,机架式，适合实验室使用,手动切换,≤150 A/m,≤15 V/m,<2秒,400 Hz,±(0.5% + 0.5),0.001 Ω 至 10 GΩ,国家电网公司,sgcc.com.cn,2024-09-28,,
