能源类别,年度,合作国别,发展研究方式,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
风能,2023,中国、德国,双边技术交流,德国可再生能源联合会,https://www.bee-ev.de,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、南非,推动技术创新,中国科学院生物能源研究所,http://www.qdbeir.ac.cn,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、孟加拉国,政府与非政府组织合作,亚洲开发银行,https://www.adb.org/,2024-09-29,,,,,,,,,,,,,
波浪能,2025,中国、澳大利亚,科研合作,中国海洋科学与技术研究院,http://www.noc.ac.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,公共与私营部门合作,南非可再生能源行业协会,https://www.sarec.org.za/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,区域合作计划,非洲能源委员会,https://www.afsias.org,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、泰国,高校与企业合作,中国农业大学,https://www.cau.edu.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、俄罗斯,政府资助科研,中国电池联盟,http://www.chinabatteries.org/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、法国,科研合作计划,中国国际工程咨询公司,http://www.ccecc.com.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,跨国研究网络,菲律宾地热能源管理局,https://www.doe.gov.ph/renewable-energy/geothermal,2024-09-29,,,,,,,,,,,,,
