金属名称,金属特性,所属类别,地球已知存量,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
铜,导电性强、延展性好,有色重金属,"800,000,000 吨",中国有色金属工业协会,http://www.cmc.org.cn/,2024-09-30,,,,,,,,,,,,,
铅,密度大、耐腐蚀,有色重金属,"200,000,000 吨",国家统计局,http://www.stats.gov.cn/,2024-09-30,,,,,,,,,,,,,
铟,硬度高、耐磨损,稀有金属,"7,000,000 吨",中国矿产资源开发协会,http://www.cmra.org.cn/,2024-09-30,,,,,,,,,,,,,
钼,低毒性、密度大,有色金属,"3,000,000 吨",国家有色金属数据中心,http://www.color-metals.org/,2024-09-30,,,,,,,,,,,,,
铍,高熔点、强度大、耐氧化,有色金属,"7,000,000 吨",矿业资源网,http://www.miningresources.com/,2024-09-30,,,,,,,,,,,,,
钲,轻质、导电性优良、抗腐蚀性强,有色轻金属,80000000 吨,国际锂协会,https://www.international-lithium.org/,2024-09-30,,,,,,,,,,,,,
钌,优良的化学稳定性、导电性,有色重金属,500000 吨,中国化工材料协会,http://www.ccma.org.cn/,2024-09-30,,,,,,,,,,,,,
铈,抗氧化、耐腐蚀、高导电性,有色重金属,7000 吨,国际铑业协会,https://www.rhodiumassociation.org/,2024-09-30,,,,,,,,,,,,,
钇,耐高温、耐酸,有色稀有金属,200000吨,国际钽铌协会,http://www.tanb.org/,2024-09-30,,,,,,,,,,,,,
硒,高密度、极良好的耐热性,有色重金属,700000吨,国际钨业协会,http://www.van-tec.com/,2024-09-30,,,,,,,,,,,,,
