年份,国家,新能源类型,装机规模,单位,发电量,单位.1,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2018,中国,潮汐能,800.0,亿千瓦,150,亿千瓦时,中国水利部,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2012,中国,潮汐能,800.0,亿千瓦,1200,亿千瓦时,中国海洋能协会,http://www.chinamarinenrg.com,2024-09-30,,,,,,,,,,,,
2010,中国,潮汐能,300.0,亿千瓦,100,亿千瓦时,中国海洋工程咨询协会,http://www.cmoe.org.cn/,2024-09-30,,,,,,,,,,,,
2008,中国,地热能,200.0,亿千瓦,220,亿千瓦时,中国地热能协会,http://www.geotherm.org.cn/,2024-09-30,,,,,,,,,,,,
2023,中国,海洋能,800.0,亿千瓦,120,亿千瓦时,中国海洋能开发利用协会,http://www.cohla.org/,2024-09-30,,,,,,,,,,,,
2023,中国,核能,400000000.0,亿千瓦,2200,亿千瓦时,中国核能协会,http://www.cnnra.gov.cn/,2024-09-30,,,,,,,,,,,,
2021,中国,氢能,250.0,亿千瓦,150,亿千瓦时,中国氢能产业技术创新战略联盟,http://www.hydrogenalliance.org/,2024-09-30,,,,,,,,,,,,
2014,中国,氢能,1000.0,亿千瓦,750,亿千瓦时,中国氢能产业联盟,http://www.chinahydrogen.org/,2024-09-30,,,,,,,,,,,,
2017,英国,生物质,900.0,亿千瓦,450,亿千瓦时,英国可再生能源办公室,https://www.renewableuk.com/,2024-09-30,,,,,,,,,,,,
2013,中国,水电,4.55,亿千瓦,5000,亿千瓦时,中国水利水电建设集团,http://www.chinawater.com/,2024-09-30,,,,,,,,,,,,
